Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB,CAB_cbj,CAB_cbij
0,5.5837419036,5.5837419036,5.5837419036,5.5837419036,5.5837419036,5.5837419036
1,11.4989818322,12.8819745427,9.27305120695,11.8750762101,12.0177648721,12.2639003856
2,16.2551756586,16.8184180574,12.1858755012,16.8006979619,16.150622604,17.2481040716
3,20.0953540671,20.240860113,15.2565452137,21.8082405884,19.6206705113,19.6901722996
4,23.590005739,23.6092295045,17.2488765492,24.9513770274,21.8671328965,22.0132437134
5,26.2270892156,25.9533107239,18.607026538,27.8380177854,23.9248926558,23.6932182137
6,28.9598694274,28.5474701209,20.0549707573,30.3973417499,25.5660815124,25.6111026928
7,30.8746152674,30.4564556735,21.3710321406,32.696412661,27.7383564691,27.8193412295
8,32.9467515747,32.2446700026,22.761532782,35.0577115028,29.8286547024,29.4788451106
9,34.5298074042,34.0119821133,24.4853880684,36.8971493478,31.3708285695,31.270050688
10,36.248997289,34.3620057762,25.7662243709,38.4019478383,32.877957066,32.834776731
11,38.2004437283,35.3341177796,26.8241497643,39.875439164,33.9784549334,33.944231419
12,40.3787857902,36.7032510613,27.849589962,41.638661177,35.7486962417,35.3129851006
13,41.3693349552,37.3668148918,28.6963427802,42.8268623355,36.8301740492,36.3031210695
14,42.4877757143,38.3033791063,29.2002394422,44.1704254393,37.6641052104,37.0357818805
15,44.1863191711,38.5794675052,29.7399777887,45.7543644091,38.649789004,37.6212911443
16,45.2296337976,38.8963188684,30.2591492996,47.1109213016,39.1127324998,38.0983670836
17,45.7387148068,39.6126123332,30.7833663884,47.6818090388,39.6347103681,38.7174972055
18,46.6597878181,40.1625386983,31.0308844836,48.3816583108,40.1675715561,39.0860103493
19,47.2517616071,40.7093008786,31.2263946775,49.3996961079,40.4220047492,39.7997765077
20,47.7810585938,41.286650083,31.4751930575,49.9676341064,40.9259831339,40.3512718435
21,48.349849109,41.9079633029,32.2201335465,50.9978790139,41.5388544648,41.1487566688
22,49.2041774986,42.4869288808,32.5459097177,51.9409944711,42.2462203288,41.7716857303
23,49.8656990339,42.6272213988,32.5672076056,52.6986220886,42.6217437517,42.0691531252
24,50.6837592176,43.0238039819,32.6370234795,53.4951143544,42.7501309142,42.230719901
25,50.8085967467,43.464611268,32.7238753711,53.8349661726,42.8025860529,42.3860193679
26,51.4830538823,43.8098497961,32.9125854862,54.3317037773,43.0555882757,42.9602485498
27,51.6360718155,44.1881238599,32.9449213225,54.7841249808,43.1413264819,43.0409765495
28,52.2362624041,44.5370630566,33.1128208965,55.7081873236,43.4008228354,43.3405198076
29,52.5054516577,44.8829835345,33.2433445489,56.1434645266,43.7096176393,43.5673775864
30,52.9463004586,45.2729201226,33.409529162,56.587822913,43.9279155384,43.7529605417
31,53.4044645495,45.6143482003,33.4975068848,57.0810893509,43.9936569384,43.7805451927
32,53.9886673866,45.8740708558,33.6384250259,57.5485669323,44.0944667492,44.0421379624
33,54.4159195835,46.4920416715,33.8598503299,58.0062319325,44.4121575667,44.5697443234
34,54.953582727,46.5709614288,34.0631694151,58.9274162361,44.7052487949,44.7989393933
35,55.6150914165,46.8274915057,34.08251537,59.3932065176,44.7206292306,45.0080184767
36,55.875716155,46.8996487006,34.1613777989,59.8605557781,44.9687579177,45.095622443
37,56.2899657771,47.1266833122,34.2891706554,60.3307345533,45.2590604963,45.2618079264
38,56.405621466,47.3487133946,34.3678070506,60.604015012,45.4580914081,45.4349678692
39,56.8805303208,47.5838264843,34.792854096,61.1602477159,45.6076876908,45.6305270117
40,57.4557808385,47.9035268789,34.8945959553,61.5859738108,45.7126702904,45.7339875018
41,57.7652508528,48.0620898403,34.9162801014,61.6714986087,45.7892247784,45.9642858252
42,57.9968321337,48.3956669425,35.1135434334,62.0641864874,46.1111109209,46.3324416966
43,58.1372750999,48.4122867164,35.248552845,62.3763561033,46.2154666091,46.3676043442
44,58.4323535918,48.5233157589,35.3572983669,62.6225151571,46.3192816972,46.4837107671
45,59.0637088247,48.6373333122,35.49710678,63.0367290191,46.3732482575,46.5691072187
46,59.3045404865,48.7422617457,35.524529248,63.2812623419,46.4023403089,46.6037624322
47,59.6830748484,49.0155586146,35.5610482171,63.4057368254,46.4881847009,46.6991409411
48,60.2629156817,49.04287649,35.7843494558,63.9060715667,46.6643474213,46.7510477912
49,60.4456945749,49.135567571,35.8720898106,64.1643343223,46.7570385022,46.8213598304
50,60.5700304171,49.2163589682,35.9203960628,64.2070682167,46.8072193357,46.8286541575
51,60.8371343377,49.5245163432,35.9771797995,64.6053074534,46.8439655122,47.0253633572
52,60.9307334515,49.5855144339,36.0450170579,64.7044196703,46.8965303228,47.1599362756
53,60.9533910722,49.5855144339,36.047629728,64.7048132634,46.8965303228,47.3436138149
54,61.2476500079,49.7452438948,36.1309566759,64.8202468546,47.0459836395,47.4932495107
55,61.4880016981,49.8188882783,36.178155629,65.0151495175,47.3322996041,47.7795654754
56,61.6040726133,49.9088664271,36.3100442844,65.1678849603,47.3535068267,47.8001802787
57,61.6580046056,50.0056975612,36.3100442844,65.3033447917,47.3898168361,47.8364902882
58,61.7175606584,50.0523910178,36.3208420533,65.4327014773,47.4152799193,47.8717709213
59,61.8395831292,50.053273327,36.3255565876,65.4464578175,47.5045153646,47.9215479784
60,61.864533907,50.1275031936,36.3380025638,65.6616230368,47.5331206712,47.9339939546
61,62.0802916453,50.1991545206,36.3466943803,65.8902877258,47.5331206712,48.108506475
62,62.2224109538,50.4044895373,36.3875308793,66.1395363522,47.6673940474,48.2740173537
63,62.2399369192,50.4079290833,36.3909704253,66.150578976,47.6819915997,48.2886149061
64,62.5048675529,50.5948660739,36.6387501129,66.4968445719,47.8203759567,48.4763473785
65,62.7564755138,50.6918930936,36.642291059,66.6102000888,47.835849227,48.5243443992
66,62.8589516331,50.763801296,36.6570252445,66.7736052229,47.8432580586,48.5870630084
67,62.9166740097,50.7807690382,36.6888746556,66.8039438612,47.9054765496,48.635105581
68,62.9871861615,50.8099870832,36.6942355838,66.8472499972,47.9662196755,48.6404665091
69,63.096993269,50.8666890844,36.7161611102,66.9126420119,48.0604105848,48.6954412771
70,63.115497971,50.8891558054,36.72556789,66.9126420119,48.0604105848,48.6954412771
71,63.2535972699,50.9048104663,36.7291563122,66.9221801724,48.0604105848,48.6954412771
72,63.3905169092,50.9751737337,36.8051184239,67.0047647033,48.0818263343,48.7719240075
73,63.5215321533,51.2584519534,36.9419219359,67.2178721383,48.2189860998,48.9029392515
