Time(Iteration),CABDiffCoTheta,CABCoTheta,,,,,,
0,0.98752741496,0.98752741496,,,,,,
1,0.980872275868,0.980872275868,,,,,,
2,0.956738857092,0.956738857092,,,,,,
3,0.934772446054,0.934772446054,,,,,,
4,0.90651299082,0.90651299082,,,,,,
5,0.875053612766,0.875053612766,,,,,,
6,0.864354766269,0.864354766269,,,,,,
7,0.8482842393,0.8482842393,,,,,,
8,0.833903359748,0.833903359748,,,,,,
9,0.815066600093,0.815066600093,,,,,,
10,0.793921831325,0.793921831325,,,,,,
11,0.781862001016,0.781862001016,,,,,,
12,0.773145978801,0.773145978801,,,,,,
13,0.759909171843,0.759909171843,,,,,,
14,0.743518782168,0.743518782168,,,,,,
15,0.729137907543,0.729137907543,,,,,,
16,0.717915501346,0.717915501346,,,,,,
17,0.70409723442,0.70409723442,,,,,,
18,0.683933911886,0.683933911886,,,,,,
19,0.6739202789,0.6739202789,,,,,,
20,0.669969689155,0.669969689155,,,,,,
21,0.662183932696,0.662183932696,,,,,,
22,0.653286253418,0.653286253418,,,,,,
23,0.646533665182,0.646533665182,,,,,,
24,0.635644184672,0.635644184672,,,,,,
25,0.632584806753,0.632584806753,,,,,,
26,0.626247719227,0.626247719227,,,,,,
27,0.622669903516,0.622669903516,,,,,,
28,0.610713199002,0.610713199002,,,,,,
29,0.605574193366,0.605574193366,,,,,,
30,0.599037698383,0.599037698383,,,,,,
31,0.589279592954,0.589279592954,,,,,,
32,0.57956005022,0.57956005022,,,,,,
33,0.574795603936,0.574795603936,,,,,,
34,0.571067573335,0.571067573335,,,,,,
35,0.569245877418,0.569245877418,,,,,,
36,0.564017502224,0.564017502224,,,,,,
37,0.558826587621,0.558826587621,,,,,,
38,0.551676433704,0.551676433704,,,,,,
39,0.547799254648,0.547799254648,,,,,,
40,0.542048454889,0.542048454889,,,,,,
41,0.539532234908,0.539532234908,,,,,,
42,0.534366344497,0.534366344497,,,,,,
43,0.529845837659,0.529845837659,,,,,,
44,0.523670110429,0.523670110429,,,,,,
45,0.520862997719,0.520862997719,,,,,,
46,0.518520400812,0.518520400812,,,,,,
47,0.513662080606,0.513662080606,,,,,,
48,0.501190070982,0.501190070982,,,,,,
49,0.49788018642,0.49788018642,,,,,,
50,0.492099641303,0.492099641303,,,,,,
51,0.483100762675,0.483100762675,,,,,,
52,0.479543792632,0.479543792632,,,,,,
53,0.477875179788,0.477875179788,,,,,,
54,0.476153554159,0.476153554159,,,,,,
55,0.474949775725,0.474949775725,,,,,,
56,0.472639186995,0.472639186995,,,,,,
57,0.467323773773,0.467323773773,,,,,,
58,0.46398226815,0.46398226815,,,,,,
59,0.456433210594,0.456433210594,,,,,,
60,0.456114353221,0.456114353221,,,,,,
61,0.453514231659,0.453514231659,,,,,,
62,0.447827936437,0.447827936437,,,,,,
63,0.44466396452,0.44466396452,,,,,,
64,0.441565262278,0.441565262278,,,,,,
65,0.440624627412,0.440624627412,,,,,,
66,0.439617477575,0.439617477575,,,,,,
67,0.434592914291,0.434592914291,,,,,,
68,0.43197036467,0.43197036467,,,,,,
69,0.428127553924,0.428127553924,,,,,,
70,0.426610539022,0.426610539022,,,,,,
71,0.423788761714,0.423788761714,,,,,,
72,0.422177916393,0.422177916393,,,,,,
73,0.417795207392,0.417795207392,,,,,,
74,0.416950099848,0.416950099848,,,,,,
75,0.413149826237,0.413149826237,,,,,,
76,0.411640825664,0.411640825664,,,,,,
77,0.410278133478,0.410278133478,,,,,,
78,0.408701055974,0.408701055974,,,,,,
79,0.405549231283,0.405549231283,,,,,,
80,0.402379963241,0.402379963241,,,,,,
81,0.399321114883,0.399321114883,,,,,,
82,0.397862714754,0.397862714754,,,,,,
83,0.39150614285,0.39150614285,,,,,,
84,0.390632777336,0.390632777336,,,,,,
85,0.388835896963,0.388835896963,,,,,,
86,0.388060838073,0.388060838073,,,,,,
87,0.386670269122,0.386670269122,,,,,,
88,0.385990213584,0.385990213584,,,,,,
89,0.384689340279,0.384689340279,,,,,,
90,0.381906915107,0.381906915107,,,,,,
91,0.380260407676,0.380260407676,,,,,,
92,0.378292307115,0.378292307115,,,,,,
93,0.377576386296,0.377576386296,,,,,,
94,0.376592211091,0.376592211091,,,,,,
95,0.375143067469,0.375143067469,,,,,,
96,0.37337253501,0.37337253501,,,,,,
97,0.372678928764,0.372678928764,,,,,,
98,0.370763091963,0.370763091963,,,,,,
99,0.369633335035,0.369633335035,,,,,,
100,0.366691800942,0.366691800942,,,,,,
101,0.365276697821,0.365276697821,,,,,,
102,0.358629943363,0.358629943363,,,,,,
103,0.357628179425,0.357628179425,,,,,,
104,0.355147913195,0.355147913195,,,,,,
105,0.353524392529,0.353524392529,,,,,,
106,0.3519089032,0.3519089032,,,,,,
107,0.350882433198,0.350882433198,,,,,,
108,0.350355468113,0.350355468113,,,,,,
109,0.349781512742,0.349781512742,,,,,,
110,0.347002548439,0.347002548439,,,,,,
111,0.344828402779,0.344828402779,,,,,,
112,0.344371358816,0.344371358816,,,,,,
113,0.343755862566,0.343755862566,,,,,,
114,0.34309111059,0.34309111059,,,,,,
115,0.341773991521,0.341773991521,,,,,,
116,0.341544783962,0.341544783962,,,,,,
117,0.336627302983,0.336627302983,,,,,,
118,0.33609146193,0.33609146193,,,,,,
119,0.334861255121,0.334861255121,,,,,,
120,0.333321930969,0.333321930969,,,,,,
121,0.32744130947,0.32744130947,,,,,,
122,0.327257999426,0.327257999426,,,,,,
123,0.322424010265,0.322424010265,,,,,,
124,0.321205820895,0.321205820895,,,,,,
125,0.320453515517,0.320453515517,,,,,,
126,0.319628932107,0.319628932107,,,,,,
127,0.318678511232,0.318678511232,,,,,,
128,0.316112547164,0.316112547164,,,,,,
129,0.315221431559,0.315221431559,,,,,,
130,0.314626390227,0.314626390227,,,,,,
131,0.312166403192,0.312166403192,,,,,,
132,0.311724134145,0.311724134145,,,,,,
133,0.310436955977,0.310436955977,,,,,,
134,0.309962505127,0.309962505127,,,,,,
135,0.308274058703,0.308274058703,,,,,,
136,0.306011064928,0.306011064928,,,,,,
137,0.305850713703,0.305850713703,,,,,,
138,0.305022331302,0.305022331302,,,,,,
139,0.304476413239,0.304476413239,,,,,,
140,0.293191333853,0.293191333853,,,,,,
141,0.292382152794,0.292382152794,,,,,,
142,0.291833435837,0.291833435837,,,,,,
143,0.290136473974,0.290136473974,,,,,,
144,0.28982553991,0.28982553991,,,,,,
145,0.289263190995,0.289263190995,,,,,,
146,0.285282989158,0.285282989158,,,,,,
147,0.281829917669,0.281829917669,,,,,,
148,0.279426644692,0.279426644692,,,,,,
149,0.276546157921,0.276546157921,,,,,,
150,0.276005916153,0.276005916153,,,,,,
151,0.275943142741,0.275943142741,,,,,,
152,0.275578496791,0.275578496791,,,,,,
153,0.275243584494,0.275243584494,,,,,,
154,0.274964126482,0.274964126482,,,,,,
155,0.273046754956,0.273046754956,,,,,,
156,0.272699423978,0.272699423978,,,,,,
157,0.27098842762,0.27098842762,,,,,,
158,0.270106433006,0.270106433006,,,,,,
159,0.270006822297,0.270006822297,,,,,,
160,0.268947619875,0.268947619875,,,,,,
161,0.26823676411,0.26823676411,,,,,,
162,0.268140579492,0.268140579492,,,,,,
163,0.266806581873,0.266806581873,,,,,,
164,0.266431103028,0.266431103028,,,,,,
165,0.266019300785,0.266019300785,,,,,,
166,0.265953190611,0.265953190611,,,,,,
167,0.265712892019,0.265712892019,,,,,,
168,0.264193809656,0.264193809656,,,,,,
169,0.263953993673,0.263953993673,,,,,,
170,0.262978771203,0.262978771203,,,,,,
