Time(Iteration),CAB_UserCoTheta,CABCoTheta,CAB_originalCoTheta,LinUCBCoTheta,,,,,,
0,0.34492741655,0.34492741655,0.34492741655,0.338817843176,,,,,,
1,0.33626025109,0.33626025109,0.33626025109,0.329352115485,,,,,,
2,0.327486754253,0.327486754253,0.327486754253,0.320731150183,,,,,,
3,0.317172444643,0.317172444643,0.317172444643,0.316472487216,,,,,,
4,0.311196276796,0.311196276796,0.311196276796,0.310085820484,,,,,,
5,0.303593289578,0.303593289578,0.303593289578,0.305298440569,,,,,,
6,0.293740059921,0.293740059921,0.293740059921,0.295856569865,,,,,,
7,0.287594883013,0.287594883013,0.287594883013,0.292244625617,,,,,,
8,0.281405077858,0.281405077858,0.281405077858,0.284008211376,,,,,,
9,0.275269358682,0.275269358682,0.275269358682,0.278118754188,,,,,,
10,0.267757356343,0.267757356343,0.267757356343,0.270636786547,,,,,,
11,0.263442255536,0.263442255536,0.263442255536,0.267678452761,,,,,,
12,0.257591398306,0.257591398306,0.257591398306,0.261025550933,,,,,,
13,0.253197213611,0.253197106755,0.253197213611,0.255577867715,,,,,,
14,0.248470572681,0.248492491703,0.248470572681,0.249275374195,,,,,,
15,0.244773545388,0.244765351154,0.244773545388,0.243527298795,,,,,,
16,0.241772676215,0.241626168872,0.241772676215,0.240232608897,,,,,,
17,0.235384984586,0.234892714559,0.235384984586,0.23747616672,,,,,,
18,0.229860749223,0.229237714048,0.229860749223,0.234059200367,,,,,,
19,0.22545279697,0.225617562921,0.22545279697,0.228792444894,,,,,,
20,0.223927877939,0.223967171628,0.223927877939,0.225515115059,,,,,,
21,0.219985456799,0.219772560147,0.219985456799,0.223041491921,,,,,,
22,0.215471441523,0.215292304081,0.215471441523,0.218906458587,,,,,,
23,0.212205002803,0.211933862809,0.212205002803,0.215388606801,,,,,,
24,0.210278227734,0.209365834557,0.210278227734,0.21337499493,,,,,,
25,0.20868831511,0.207686782713,0.20868831511,0.211550561479,,,,,,
26,0.206909167907,0.205814289628,0.206909167907,0.209239816585,,,,,,
27,0.20369130791,0.202445125001,0.20369130791,0.207696057899,,,,,,
28,0.200813560801,0.199492523027,0.200813560801,0.205287416639,,,,,,
29,0.198298864575,0.196460120481,0.198298864575,0.203513789299,,,,,,
30,0.196659442305,0.194994356175,0.196659442305,0.201384760382,,,,,,
31,0.195426160752,0.193962696826,0.195426160752,0.199526976723,,,,,,
32,0.194625022242,0.192858875199,0.194625022242,0.196099243505,,,,,,
33,0.194565098406,0.192122613751,0.194565098406,0.195081658469,,,,,,
34,0.191474406618,0.189695332434,0.191474406618,0.193473924753,,,,,,
35,0.189982166961,0.188117827858,0.189982166961,0.191273153855,,,,,,
36,0.18914113534,0.187701341881,0.18914113534,0.187192141689,,,,,,
37,0.18713713556,0.185910853069,0.18713713556,0.184536952381,,,,,,
38,0.18425084617,0.183494587906,0.18425084617,0.181526348627,,,,,,
39,0.18312492952,0.182176125141,0.18312492952,0.180067275629,,,,,,
40,0.18223747249,0.180990895247,0.18223747249,0.178397610102,,,,,,
41,0.178277727174,0.177265956159,0.178277727174,0.175764025081,,,,,,
42,0.177168298736,0.175928391937,0.177168298736,0.174423941662,,,,,,
43,0.176473201801,0.175026960108,0.176473201801,0.173512606193,,,,,,
44,0.175203667985,0.173799120682,0.175203667985,0.171409969737,,,,,,
45,0.1747845895,0.173335544931,0.1747845895,0.170363829387,,,,,,
46,0.17309665444,0.171737198492,0.17309665444,0.170127843785,,,,,,
47,0.170796556717,0.169353615722,0.170796556717,0.167434246929,,,,,,
48,0.167908476623,0.166214863691,0.167908476623,0.165754469949,,,,,,
49,0.166121125145,0.164168257077,0.166121125145,0.163274806261,,,,,,
50,0.164573726592,0.162946443405,0.164573726592,0.161999633641,,,,,,
51,0.164242125366,0.162453551985,0.164242125366,0.161060403078,,,,,,
52,0.163764880094,0.162111811657,0.163764880094,0.159533989568,,,,,,
53,0.16292230421,0.160853798796,0.16292230421,0.158760380102,,,,,,
54,0.160527241956,0.158701048464,0.160527241956,0.1571903626,,,,,,
55,0.158985584027,0.157377141573,0.158985584027,0.154812448245,,,,,,
56,0.158594217884,0.157046806186,0.158594217884,0.153802037265,,,,,,
57,0.15707633472,0.155997152757,0.15707633472,0.152907973242,,,,,,
58,0.156088427243,0.154296756393,0.156088427243,0.151863558633,,,,,,
59,0.155136312281,0.153342820384,0.155136312281,0.14965111685,,,,,,
60,0.153593492379,0.151806177588,0.153593492379,0.148606103387,,,,,,
61,0.151079546054,0.149703286039,0.151079546054,0.145032675281,,,,,,
62,0.150675940249,0.148811820137,0.150675940249,0.142912656296,,,,,,
63,0.150135490016,0.148322284606,0.150135490016,0.142248977017,,,,,,
