Time(Iteration),CAB_true_decrease
0,6.29257349875
1,8.32403345195
2,10.8228641581
3,13.5441785893
4,16.4856224318
5,19.3252082529
6,21.6158696569
7,24.7013033904
8,27.4339193985
9,29.4071338616
10,31.5606911326
11,33.093629822
12,33.874431509
13,35.3902014537
14,36.7452769651
15,37.7427099137
16,38.9934392297
17,40.9526423538
18,42.7666873317
19,44.3834888484
20,45.9622995586
21,47.6651934718
22,49.6610893892
23,50.740594921
24,51.8231658936
25,53.8611920346
26,54.8866904749
27,56.7463781867
28,58.1686234892
29,59.7028055314
30,61.2416246341
31,62.7178590794
32,64.1181573506
33,64.9674419867
