Time(Iteration),CAB_2_3,CAB_original,CAB_optimal,CAB_5_6
0,9.3216650622,7.98401530584,9.3216650622,9.3216650622
1,15.0688354964,11.8730357981,11.9186227663,12.6823059162
2,18.4028699714,15.4647206228,13.2659198029,15.641975459
3,21.4142462798,18.6226022106,14.281032001,18.5579222807
4,23.2228127279,20.8797222986,15.0563689128,20.7357337972
5,26.7090671716,23.9074478141,15.9604792767,24.2790443893
6,29.4635031938,25.769174112,17.51568028,27.2211863428
7,32.4186174077,28.7850029657,17.8904333975,30.7229829034
8,34.4368548443,29.7855788814,18.9297013302,32.8819428126
9,36.8045507876,30.9205149202,19.5052091118,35.16987927
10,39.8176526029,32.4022937537,20.4262963811,38.9109965099
11,41.5723712284,33.1852987513,20.963720311,40.3047282092
12,43.611373728,33.9846055966,21.2941822552,42.2039558459
13,46.1153454635,34.5170589092,21.5802810528,44.5143541683
14,48.219526242,34.8186303337,22.1706409617,46.5577136297
15,50.4177972131,35.6437462732,23.0447017164,49.0495240718
16,52.1328038849,36.30339196,23.247576977,50.7254501699
17,54.3683719668,37.2066663168,23.596967724,52.5516995398
18,56.4303572517,38.3174325788,24.4524206389,54.7717571811
19,58.0924478394,38.5049297643,24.7757193381,56.6028316036
20,59.8744034397,39.2877436209,25.2991417584,58.0524455843
21,62.1030317149,39.5382913188,25.3697096231,59.5648196931
22,64.179443009,39.67006186,25.6817910187,61.1032381147
23,66.1885965029,40.3359337411,26.152792675,62.3601070187
24,68.1822939906,40.5991246602,26.6652160878,63.8484826806
25,70.4101990404,41.0713807255,26.8213130745,65.797298465
26,71.7748524551,41.2792564024,27.0919961781,66.9293577158
27,72.5086419194,41.6178894414,27.4925900798,67.8505754787
28,74.3721678678,42.106959236,27.7836027799,69.4400357649
29,76.2545690219,42.2501866401,28.3051197661,70.6359536834
30,77.744953844,42.6662947624,28.6217080259,71.6191587677
31,78.5188535533,42.9270885484,28.6716420173,72.0665664769
32,79.8285091585,43.1039609916,28.9937650641,73.1294327593
33,82.3286698528,43.1544143476,29.3742530227,74.4085989397
34,83.4802801143,43.4427774161,29.5229512227,75.2430793933
35,85.2500610755,43.6940729994,29.6962615529,76.457522112
36,86.2444166431,43.8360274133,29.7617154036,77.3540421839
37,87.8367289594,44.3323755959,29.9525860775,78.9292952494
38,90.2565195153,44.3957364843,30.0873901163,80.051143739
39,91.3959895228,44.6010829809,30.2045761176,80.9586649108
40,93.1633192592,44.6723233702,30.303006786,81.9693157934
41,93.8997128318,44.751013721,30.5173687835,82.7498193147
42,95.9432553428,44.7894217464,30.570822117,84.4148796132
43,98.0421827131,44.8632555179,30.6187187273,86.3475170808
44,99.009981018,44.9113272622,30.733897788,87.2269931593
45,99.8249100495,44.9963213857,30.8154841174,87.9550786599
46,102.217694623,45.0088656299,30.8280283617,89.8781498942
47,103.428999411,45.1628595233,30.921916521,91.1160122993
48,105.299145283,45.2987263562,30.9291522256,92.694327911
49,107.218522397,45.39846025,31.0015745069,93.562262027
50,109.040251933,45.6826555692,31.19035893,95.0535083874
51,110.294750769,45.8292510175,31.2237844436,96.3080072235
52,111.651955056,45.9456164454,31.2655953707,98.0562053819
53,112.651341788,45.9893005967,31.2683054676,99.8470950055
54,113.883585458,46.0063805661,31.2734883308,101.407137268
55,115.49719955,46.1320445928,31.4065357427,103.78040658
56,116.405794576,46.1726605301,31.4065357427,105.039262772
57,117.177400006,46.3124683426,31.4885542325,105.810868202
58,117.610863563,46.4090397991,31.5111446324,106.353686618
59,118.419919491,46.4642647474,31.5868272777,107.162742546
60,119.548425666,46.470097025,31.6098817742,108.291248722
61,120.689743703,46.4732810136,31.6130657629,109.525640217
62,122.178926941,46.5287532758,31.6462120133,110.82748777
63,123.188188779,46.5438700279,31.6657991614,113.013638336
64,124.422368401,46.5980736965,31.7318837252,114.354349972
65,125.56809918,46.6514085866,31.7318837252,115.500080752
66,126.850913253,46.6777372101,31.7762301956,116.907102981
67,128.559622951,46.7602505288,31.7880313191,118.541674218
68,129.457692329,46.7818888636,31.7923221246,119.177644845
69,130.183515301,46.7954414548,31.8058747158,119.761377856
70,131.428718231,46.8426399456,31.8530732066,121.286634991
71,132.343939727,46.9453912581,31.868688991,121.994498937
72,133.311105392,46.9571982147,31.8783710843,122.999675539
73,134.479145893,47.0626296501,31.9315280855,124.389496501
