Time(Iteration),CAB_full,CAB_cbj,CAB_original,CAB_cbij,LinUCB
0,5.25806257398,5.25806257398,6.51890351258,5.25806257398,5.16693728952
1,10.178153246,10.3173476318,10.9373621529,9.97175466074,10.3897970254
2,13.8720364091,14.0603288265,14.5139897038,13.6801746195,14.4165925742
3,17.7947347459,17.527718164,17.9247364005,16.8919121776,17.3677024173
4,21.1008207529,20.0342903675,19.9268908668,20.2692735311,21.0351362345
5,23.4234103515,22.5213462561,22.2976371273,22.913402799,23.2392320782
6,25.4375172282,24.5637845223,24.3602657621,25.2744897229,24.6826894183
7,27.3106073688,26.5834171774,25.8768096177,27.5017938113,26.4784288128
8,29.0053867711,28.4378873367,27.4507995464,29.0983277286,27.6646231614
9,30.208699283,29.0017055585,28.5247171763,29.7421026526,28.3860807328
10,31.8564213333,30.6718507494,29.7583788578,31.1383208216,29.8153040062
11,32.7409452517,31.5086537437,30.7396850516,31.9651922339,30.4076816623
12,33.8976252873,32.632150257,31.7290667989,32.7372943978,31.3531183137
13,35.1867570862,33.4258716633,32.4546188883,33.8248722115,32.3826449169
14,35.668540801,33.784292679,33.2537441944,34.5869657214,33.0925026158
15,36.2147188345,34.4055194359,33.5122050553,34.9985639329,34.0351387375
16,37.0959082898,35.2568666161,34.2562835683,35.8387019048,34.4368172326
17,38.1530002034,36.4038361506,34.761846963,36.6751450359,35.0566177216
18,38.4326801132,36.8631058884,35.3771042241,37.4132481417,35.7625718808
19,39.4624321356,38.0017583843,37.1472887715,38.5256385454,37.1113800464
20,40.4752340274,38.6880362842,37.9957704135,39.1527840829,38.1994407533
21,41.4433019569,39.6220103097,38.4758479679,39.6274446282,38.7462204619
22,42.1833922935,39.8750993185,38.7416771634,39.7892104151,39.2310238037
23,42.4367985686,40.1331792455,39.0274818,40.1751136928,39.4931251163
24,42.7298653528,40.3803830262,39.5085115947,40.4041792719,39.7730556854
25,44.2778597469,41.2683866637,40.4360589645,41.6637055331,41.1847304132
26,44.5571440111,41.7399026649,40.9433683379,42.078964044,41.6473875414
27,45.0838132404,42.1864157132,41.6662248735,42.5053535595,42.1323223409
28,45.4023864108,42.5715266553,42.0543678864,42.930708406,42.4888869673
29,45.6605429671,43.2810945506,42.4121331056,43.417471799,43.0945910529
30,45.7961755093,43.6122870494,42.6912214474,43.7199057382,43.3690748943
31,46.4570393417,43.9899405892,43.6222810549,44.0529601096,44.1740249609
32,47.215964289,44.5395932595,44.0886560488,44.4482893708,44.5663742974
33,47.5801104969,44.8080620973,44.2621448412,44.5523983429,44.7353792241
34,48.0340603297,45.2744761927,44.6209799953,45.0666345904,44.9475958708
35,48.437085784,45.7650339525,44.7776346373,45.4846392771,45.1623643984
36,49.0855083105,45.9799833195,45.2070542768,45.7986724031,45.5934277492
37,49.2478282783,46.1808366238,45.6511162346,45.9210526927,45.8992825972
38,50.0434029223,46.7218204067,46.1511350728,46.1631966892,46.1750282953
39,50.3595323314,47.1400772257,46.5869615619,46.37053552,46.5691694533
40,50.5591969897,47.4278447131,46.9692561278,46.6116087091,46.9386403913
41,50.6710702634,47.8408842395,47.1866873642,47.1302081614,47.1296642747
42,50.7604122032,48.1289087643,47.597346374,47.1858378239,47.501402429
43,51.2652145697,48.6323253177,47.7948786862,47.4969504492,47.9952609951
44,51.3418148509,48.7013185855,48.0070905846,47.5845931228,48.2077924329
45,51.4749852953,48.8344890299,48.0747824055,47.6518374297,48.3718332265
46,51.6850705763,49.0169514244,48.118263875,47.7360006795,48.5313596576
47,51.8358117388,49.1833024879,48.2458128326,47.8906004334,48.6910145052
48,52.2147337859,49.5223142475,48.4461120829,48.1715666359,48.8099331117
49,52.4623231146,49.5998895151,48.7246128499,48.2518870442,49.0961142575
50,52.68636316,49.7957023245,48.9137441983,48.3812465834,49.2789555039
51,53.1642869166,50.2084103312,49.2081172339,48.8246816341,49.5684726267
52,53.525317568,50.6597602501,49.5181445124,48.9193803664,50.2190944751
53,53.7187856973,50.8681194872,49.6767817717,49.2083881948,50.335036613
54,53.7977619411,50.9625220645,49.872992598,49.2669722002,50.3817963652
55,53.9457825515,51.2358685261,50.1600153624,49.559961998,50.6375479073
56,54.1700501649,51.4442207788,50.2758775356,49.7496553949,50.7953651249
57,54.4877189171,51.6593388298,50.4002745179,50.0377695819,50.9593890446
58,54.6293759908,51.8486228842,50.7178031467,50.3050143318,51.142138373
59,55.1895462436,52.3323330885,51.0020226528,50.769508953,51.6204530103
60,55.4679194736,52.5059672697,51.4770547915,50.8687814851,52.1221205022
61,55.7780509195,52.9596071012,51.757079157,51.228332791,52.4021448677
62,55.931004761,53.1185612554,52.0101483861,51.3856082029,52.7535223634
63,56.2040929728,53.2894851035,52.2883915655,51.4601238924,52.9426366457
64,56.2383801075,53.3924148677,52.4654658132,51.5383558717,52.9765269546
65,56.539815314,53.5282359604,52.6449106061,51.7757238059,53.1627434931
66,56.5909376999,53.622979308,52.6816970754,51.9255094027,53.221388027
67,56.6918330132,53.7020324657,52.8285613352,51.9727390482,53.3031178148
68,56.9350473879,53.9665979069,53.0106003665,52.1437859634,53.5360257984
69,57.0074714844,54.0461964339,53.2046641978,52.2219758671,53.5563065885
70,57.1919245665,54.394551695,53.5814454287,52.4108521493,53.8623627956
71,57.2061486337,54.4087757622,53.5928148257,52.4497287342,53.9012393805
