Time(Iteration),CAB_2_3CoTheta,CAB_3_2CoTheta,CAB_originalCoTheta,CAB_5_6CoTheta,CAB_optimalCoTheta,,,,,,
0,0.978736385024,0.978736385024,0.98241951888,0.978736385024,0.978736385024,,,,,,
1,0.957711401333,0.939009677609,0.957279465601,0.94839566174,0.952588430762,,,,,,
2,0.941988167368,0.915910473096,0.931374793187,0.926695257689,0.924446841484,,,,,,
3,0.912826812522,0.893283749994,0.910643108015,0.897655177816,0.901061253834,,,,,,
4,0.894340959947,0.877296352851,0.896177058634,0.871920050079,0.878289502899,,,,,,
5,0.868376718283,0.850015242578,0.869573658197,0.848170844844,0.852539871856,,,,,,
6,0.845204761639,0.825515626547,0.856304153973,0.820927442281,0.821249361623,,,,,,
7,0.820519785493,0.806863849001,0.833998680413,0.79672893834,0.785970260179,,,,,,
8,0.791277741599,0.77902548495,0.80918575475,0.77403047616,0.761378680902,,,,,,
9,0.772450832165,0.76420669218,0.79476000073,0.752901807203,0.751451545432,,,,,,
10,0.756864681946,0.745954849457,0.776189549337,0.736698823691,0.735825078428,,,,,,
11,0.737314284977,0.729767270111,0.757512330325,0.719421526536,0.725144690174,,,,,,
12,0.716406834809,0.717179419946,0.733909801356,0.700658627675,0.704469085176,,,,,,
13,0.693972363835,0.697957005091,0.713638893321,0.676768397983,0.691927054792,,,,,,
14,0.682921006817,0.686480294842,0.696597824463,0.663023393526,0.679550254493,,,,,,
15,0.667079466373,0.674503976884,0.68878529323,0.645149635411,0.666723140843,,,,,,
16,0.656133829884,0.659007250522,0.672504454827,0.628847465189,0.656309643877,,,,,,
17,0.643320670689,0.644152725471,0.658609139714,0.604768121222,0.632989691959,,,,,,
18,0.626420841107,0.627711028348,0.650576526206,0.592755168766,0.624300844395,,,,,,
19,0.612013195035,0.613154507455,0.640972904887,0.576108210683,0.61492755756,,,,,,
20,0.600643352172,0.597729740295,0.631554096809,0.566993625414,0.608507069981,,,,,,
21,0.586255827286,0.585107371944,0.6244166359,0.549115389656,0.594633327426,,,,,,
22,0.577832484335,0.580026109624,0.616921106572,0.541823785494,0.58941682319,,,,,,
23,0.570708023204,0.571869330528,0.608419200598,0.536902165137,0.581694330512,,,,,,
24,0.557482609779,0.562897443442,0.601722494989,0.524964360882,0.573784732395,,,,,,
25,0.551052540883,0.552125290044,0.59143644735,0.518432265961,0.567080754533,,,,,,
26,0.545932542176,0.543689079783,0.586533517717,0.512184370461,0.557479137308,,,,,,
27,0.531371480779,0.527726195544,0.578409799606,0.499353410339,0.549514711263,,,,,,
28,0.520813678344,0.522831340806,0.570875575559,0.49302930632,0.545244424801,,,,,,
29,0.512482584575,0.516296151756,0.564552446934,0.484389154469,0.537976246139,,,,,,
