Time(Iteration),LinUCBCoTheta,,,,,,
0,0.345540365779,,,,,,
1,0.336040165037,,,,,,
2,0.328691111409,,,,,,
3,0.320823340987,,,,,,
4,0.313507757087,,,,,,
5,0.304607802554,,,,,,
6,0.296666049671,,,,,,
7,0.286818494503,,,,,,
8,0.279921058891,,,,,,
9,0.267710098191,,,,,,
10,0.258151961127,,,,,,
11,0.241619197867,,,,,,
12,0.229190802297,,,,,,
13,0.216585740065,,,,,,
14,0.21004608411,,,,,,
15,0.20290911279,,,,,,
16,0.190377748141,,,,,,
17,0.179980588867,,,,,,
18,0.174316098665,,,,,,
19,0.164923625441,,,,,,
20,0.157436501732,,,,,,
21,0.148604206468,,,,,,
22,0.14329647854,,,,,,
23,0.137582009333,,,,,,
24,0.133839981211,,,,,,
25,0.13005964254,,,,,,
26,0.127226314067,,,,,,
27,0.123222007036,,,,,,
28,0.117833134291,,,,,,
29,0.110449765792,,,,,,
30,0.107691683721,,,,,,
31,0.104671888194,,,,,,
32,0.100031332981,,,,,,
33,0.0983295317929,,,,,,
34,0.0956643545673,,,,,,
35,0.0929253987145,,,,,,
36,0.0916251403052,,,,,,
37,0.0890796292503,,,,,,
38,0.0866491387215,,,,,,
39,0.0838423316322,,,,,,
40,0.0818165772286,,,,,,
41,0.0805357971091,,,,,,
42,0.0775907055698,,,,,,
43,0.0762548572385,,,,,,
44,0.0748944416611,,,,,,
45,0.07298430209,,,,,,
46,0.0712556466107,,,,,,
47,0.0695371355214,,,,,,
48,0.0675725312688,,,,,,
49,0.0664338587219,,,,,,
50,0.0657583700905,,,,,,
51,0.0649651978589,,,,,,
52,0.0640168565851,,,,,,
53,0.06294714075,,,,,,
54,0.0615076747517,,,,,,
55,0.0611328324344,,,,,,
56,0.0603030208795,,,,,,
57,0.0593443436505,,,,,,
58,0.0585937524201,,,,,,
59,0.0578838264875,,,,,,
60,0.0577297219913,,,,,,
61,0.0574955424711,,,,,,
62,0.0574761996926,,,,,,
63,0.0568193304001,,,,,,
64,0.055771276133,,,,,,
65,0.0556392661917,,,,,,
66,0.0550721916314,,,,,,
67,0.0546944617112,,,,,,
68,0.0534684705395,,,,,,
69,0.0525762651808,,,,,,
70,0.0519969423551,,,,,,
71,0.0515624047284,,,,,,
