Time(Iteration),CAB_full,CAB_cbj,CAB_original,CAB_cbij,LinUCB
0,5.83502242145,5.83502242145,3.78695686845,5.83502242145,5.87510300257
1,10.737108693,10.4920745147,7.49580960994,9.48049095699,9.34276107333
2,15.9829532818,15.4880707931,11.6576094005,14.0152065248,13.8758468706
3,18.8228638793,18.171782121,14.2833426361,16.4370574158,16.4593006556
4,22.5714971009,20.699001069,17.7215682716,19.2199980816,19.4128461277
5,26.2873258778,23.5439148103,20.7439657679,22.2414874142,22.4053065088
6,29.7182355405,26.8139217656,23.6656371349,24.8667925621,24.6770754371
7,32.7942014792,28.4795555384,25.8970268691,26.783339737,25.9931384181
8,36.1340294669,30.6629387776,28.4803146974,29.2107952404,27.8182228325
9,38.967667534,32.4642540093,31.0427791046,31.8698627802,29.9428725763
10,41.1064908009,34.2773656421,32.8705095638,33.8137118069,31.0701284368
11,43.5177170464,35.6899766811,34.4074290211,35.4698218698,32.7325988664
12,45.946558679,36.910175885,35.7205472038,37.3257506321,34.1251656277
13,48.1697565671,38.0013093257,36.7785683301,38.5797446176,34.7836101794
14,51.3069940162,39.5005276825,38.2262771268,39.8378605408,35.5000787751
15,53.6038366313,40.6494427006,39.6519302406,41.0180272903,36.2583132577
16,55.9884482261,42.0535959403,41.7731693177,42.7050320347,37.7876451376
17,58.0963658831,43.3319771689,43.0881800313,44.462492654,38.774197143
18,59.510727133,44.3358790052,44.4883990124,45.6190230436,39.4980829912
19,61.0169199164,45.2315602505,45.9916120467,46.4654088669,40.4499166909
20,62.1800470517,46.2024293776,47.0949646758,47.1639264107,41.1205889101
21,62.9860346919,46.6998391499,47.6493417561,47.4745413905,41.8532142619
22,63.5641496287,47.3521437111,48.360076389,47.8281896221,42.2302964118
23,65.2176552602,47.779757918,48.8847080419,48.255803829,42.3835463044
24,65.9525052844,48.0703967545,49.0785367449,48.4642828034,42.6698217524
25,67.4337423419,49.0517593383,50.1386776815,49.4238374848,43.4444002615
26,67.7941285697,49.149576683,50.2754398769,49.5486678184,43.614436214
27,68.3636086179,49.8262477308,50.8484426601,50.0284202905,43.9211582224
28,68.9673786469,50.4319744827,51.70699954,50.6191280973,44.3565531941
29,69.5400742009,51.0230093675,52.0884700748,51.4988663543,44.8256424414
30,69.9397673819,51.5290493192,52.6649146224,51.8864184865,45.123905051
31,71.0393362157,52.364984042,53.6604438721,52.7219820626,45.6679439675
32,71.4510402104,52.8635015959,53.9901879969,53.0603555989,45.8262641751
33,71.8148405014,53.246734418,54.5291906472,53.4241558899,46.1451233373
34,72.5161611444,53.5971172044,54.7508057974,53.9444391958,46.2962178442
35,73.0418765914,54.056310852,55.0443540289,54.2533313313,46.6757323799
36,73.5025058145,54.9420945925,56.2303725567,55.029152859,47.0248074398
37,73.8831988305,55.4662421134,56.7655040538,55.6051814002,47.4552968131
38,74.3219020604,55.8460717764,57.2845800923,56.0205484807,47.6335439184
39,74.8427173107,56.3472986507,57.7879332983,56.5256058432,47.8871033362
40,75.6173489693,56.7132061508,58.668476164,56.8958724412,48.2315515465
41,76.050099528,57.143331836,58.9191484206,57.1687711139,48.422700083
42,76.6209709827,57.4021147836,59.5743588489,57.4092826713,48.6081610085
43,76.9594642614,57.7100923657,60.0134383191,57.7853186992,48.9343549832
44,77.6801712947,58.2109329052,60.6743513419,58.1970538841,49.3939672264
45,78.107509233,58.6507724918,61.1896715251,58.5577233577,49.7201196114
46,78.4561802509,58.8568281887,61.6732782993,58.8604035333,49.9242303143
47,78.9522071725,59.0106133635,62.1685141287,59.0406341199,50.0442350193
48,79.5203271167,59.7274771643,62.8400644908,59.6338914455,50.4075215557
49,79.9177118194,60.0673324422,63.096004966,59.9831507903,50.6471047924
50,80.2831839127,60.1845522149,63.2591876978,60.0459323573,50.7214128645
51,80.4951414099,60.3075382545,63.4703508245,60.2916345875,50.838511302
52,80.7939285551,60.6041168551,63.7511755208,60.5248552228,50.9585546079
53,81.3280785,60.9221701907,64.2763638068,60.6844954449,51.0840617449
54,81.7082116273,61.0172447774,64.4809060732,60.849588779,51.2306776517
55,82.6703392895,61.5892613258,65.0347896072,61.5767620464,51.3674380938
56,82.9878265918,61.8319838033,65.3659900928,61.7959326326,51.6762556774
57,83.2322773129,61.8889153373,65.8603639911,62.0933195955,51.7329275132
58,83.5155785931,62.1722166175,66.0978848967,62.3766208758,51.8348887496
59,83.7342412491,62.2762428443,66.1841133532,62.4947316334,51.956405135
60,84.2246658732,62.4234952056,66.8712694293,62.7218933531,52.1286349409
