Time(Iteration),CAB_originalCoTheta,LinUCBCoTheta,,,,,,
0,0.942195882565,0.942195882565,,,,,,
1,0.905479389358,0.905598428504,,,,,,
2,0.875038042493,0.875244027282,,,,,,
3,0.862200580885,0.862430088601,,,,,,
4,0.838011953227,0.837161198193,,,,,,
5,0.812745618258,0.807744173422,,,,,,
6,0.791644041312,0.788441335995,,,,,,
7,0.769832748182,0.778132445976,,,,,,
8,0.743311527745,0.753600710238,,,,,,
9,0.728775862199,0.738100100383,,,,,,
10,0.719804794706,0.729215321432,,,,,,
11,0.708325780489,0.719566697732,,,,,,
12,0.696711197446,0.707670128576,,,,,,
13,0.683080467789,0.696767868026,,,,,,
14,0.663714006523,0.672971551885,,,,,,
15,0.655172332392,0.662750669174,,,,,,
16,0.651076627494,0.656846675057,,,,,,
17,0.642455706233,0.647510967641,,,,,,
18,0.63823343276,0.642313228218,,,,,,
19,0.631883296802,0.636544787227,,,,,,
20,0.624781257839,0.627282678294,,,,,,
21,0.618108812677,0.619574793612,,,,,,
22,0.61170790575,0.61461223228,,,,,,
23,0.604185951821,0.60732246258,,,,,,
24,0.599944210982,0.602310988334,,,,,,
25,0.592062936475,0.592437503621,,,,,,
26,0.580744408146,0.587395883013,,,,,,
27,0.571059039841,0.579276199804,,,,,,
28,0.56241690609,0.56449070655,,,,,,
29,0.552748678326,0.556781049292,,,,,,
30,0.547532813957,0.546932812186,,,,,,
31,0.539786988568,0.536617871744,,,,,,
32,0.53223992328,0.530611849801,,,,,,
33,0.528846721489,0.528138697374,,,,,,
34,0.516133606746,0.513900255524,,,,,,
35,0.510049016272,0.508715565229,,,,,,
36,0.505337686338,0.5023291855,,,,,,
37,0.496729939759,0.496764245201,,,,,,
38,0.489074865759,0.490351975712,,,,,,
39,0.484578152344,0.486216069059,,,,,,
40,0.482326304977,0.482348549751,,,,,,
41,0.475337553912,0.477747885465,,,,,,
42,0.471549657926,0.47272285774,,,,,,
43,0.466383597331,0.465373045465,,,,,,
44,0.46290652856,0.462587673013,,,,,,
45,0.451042183546,0.453018207676,,,,,,
46,0.44583878218,0.44809201117,,,,,,
47,0.443349659204,0.445737481076,,,,,,
48,0.440771237161,0.444706670091,,,,,,
49,0.42817380544,0.429861888617,,,,,,
50,0.421211607166,0.424642436096,,,,,,
51,0.414175117984,0.416984882208,,,,,,
52,0.412000381138,0.414680046949,,,,,,
53,0.408897362308,0.411699809582,,,,,,
54,0.404066659475,0.408148879424,,,,,,
55,0.401310008327,0.405479198287,,,,,,
56,0.399007190927,0.404132417684,,,,,,
57,0.397454677092,0.402971333023,,,,,,
58,0.394567705086,0.400790004428,,,,,,
59,0.392942435669,0.39911805098,,,,,,
60,0.389659756557,0.39817482114,,,,,,
61,0.38851142084,0.39764663895,,,,,,
62,0.387892643243,0.397330646528,,,,,,
63,0.384788739859,0.394327256982,,,,,,
64,0.381498452934,0.39133566978,,,,,,
65,0.380327269338,0.38982608605,,,,,,
66,0.37684193782,0.385540622273,,,,,,
67,0.373696179257,0.381731148938,,,,,,
68,0.372370827263,0.380727516508,,,,,,
69,0.369921496925,0.378996900656,,,,,,
70,0.368628950191,0.376605857079,,,,,,
71,0.36772144187,0.375752796816,,,,,,
72,0.365703307138,0.375267910543,,,,,,
73,0.362056340153,0.371658444251,,,,,,
74,0.361087214715,0.37013528032,,,,,,
75,0.360377865012,0.36783835274,,,,,,
76,0.35939481374,0.367680225456,,,,,,
77,0.358451425498,0.366250535958,,,,,,
78,0.355894884917,0.364557186015,,,,,,
79,0.35514414883,0.363901094934,,,,,,
80,0.347543922835,0.361737112975,,,,,,
81,0.346840836907,0.357350004821,,,,,,
82,0.342606005628,0.352543838448,,,,,,
83,0.341313551078,0.350629351707,,,,,,
84,0.34065958895,0.349714224745,,,,,,
85,0.334688534063,0.344156101441,,,,,,
86,0.334078081329,0.343549309319,,,,,,
87,0.3314794728,0.341179301327,,,,,,
88,0.326297521413,0.340333608667,,,,,,
89,0.324804878306,0.337308050938,,,,,,
90,0.319293223932,0.331064493352,,,,,,
91,0.318785628215,0.330460037766,,,,,,
92,0.317672321953,0.326825079584,,,,,,
93,0.316987461214,0.326259105523,,,,,,
94,0.316669168711,0.325565416342,,,,,,
95,0.31522107871,0.323908789418,,,,,,
96,0.314033643766,0.323056919008,,,,,,
