Time(Iteration),CAB_5_2CoTheta,CAB_3_1CoTheta,CAB_originalCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.977291687673,0.977291687673,0.965740719488,0.977291687673,0.978256076139,,,,,,
1,0.946887809819,0.944876938177,0.943122209394,0.933469232131,0.950952869666,,,,,,
2,0.932666722839,0.932554353139,0.923961562611,0.911276135453,0.928052663683,,,,,,
3,0.905834236318,0.906379010316,0.892059043667,0.882558572179,0.896089784246,,,,,,
4,0.88142860271,0.882007361057,0.864933887387,0.863675774303,0.874074244626,,,,,,
5,0.858005759678,0.861235329663,0.842644481003,0.843675580435,0.85173192922,,,,,,
6,0.835996355058,0.845693784461,0.827353743731,0.828795904892,0.824219536469,,,,,,
7,0.807758343337,0.811126813054,0.796893976371,0.797449293344,0.805914086015,,,,,,
8,0.790072859304,0.788859115524,0.7886025066,0.781490186054,0.79309660792,,,,,,
9,0.774512966622,0.775266886893,0.771900242937,0.768755742269,0.773964107053,,,,,,
10,0.75825246176,0.757568963592,0.760332440526,0.751705439915,0.758629784347,,,,,,
11,0.741459901984,0.744022860706,0.742788787564,0.727882178735,0.73205970236,,,,,,
12,0.731203742494,0.729288453467,0.72619195652,0.716539466401,0.713683863855,,,,,,
13,0.709452333656,0.712713203312,0.712042825072,0.701954811375,0.696446312172,,,,,,
14,0.698343121637,0.699681664408,0.691448157495,0.689813558346,0.677047114315,,,,,,
15,0.678616908866,0.680600368723,0.671790096924,0.678811848559,0.663595050339,,,,,,
16,0.660655369616,0.659192559609,0.655402308279,0.667497669618,0.650335098804,,,,,,
17,0.646886419571,0.648348483352,0.640469370961,0.658143230899,0.635290941466,,,,,,
18,0.6351719855,0.639703646007,0.633763608582,0.643938918132,0.625182832854,,,,,,
19,0.621144551199,0.630435098464,0.623805285696,0.638957560041,0.615937703962,,,,,,
20,0.614993496052,0.622562441468,0.609777674138,0.631585721452,0.610302692115,,,,,,
21,0.602983176057,0.613621258512,0.602009766713,0.625985058923,0.603153921275,,,,,,
22,0.589469060272,0.604428205854,0.593157320501,0.615994881175,0.591783149956,,,,,,
23,0.582298062454,0.596235781832,0.583445413044,0.61164540686,0.588740965181,,,,,,
24,0.571206291648,0.58748174033,0.576450177187,0.608138450135,0.585242613355,,,,,,
25,0.566386671643,0.582004187345,0.571040668701,0.604206449883,0.575968758161,,,,,,
26,0.549061391762,0.566079188125,0.564379839109,0.60085376524,0.569051624589,,,,,,
27,0.538522593083,0.556926670526,0.554198182898,0.596147233693,0.561785030177,,,,,,
28,0.528795206425,0.548453689748,0.546277516698,0.58853107054,0.5521328403,,,,,,
29,0.518199997937,0.536510010058,0.539548641487,0.583761088948,0.547204514708,,,,,,
30,0.511196978275,0.526478829772,0.534685861869,0.573722599412,0.538531180476,,,,,,
31,0.506543264573,0.517756603943,0.524565626542,0.566475257305,0.532347550262,,,,,,
32,0.494764213403,0.505356075982,0.516388391519,0.560081814704,0.519042044396,,,,,,
33,0.484146686841,0.496758342116,0.511271320875,0.554743772897,0.514240357406,,,,,,
34,0.480354022494,0.489586045985,0.506074721482,0.550077303984,0.508371815831,,,,,,
35,0.477438878699,0.485255538238,0.502162066943,0.540089934934,0.504863250629,,,,,,
36,0.470839822269,0.479088958165,0.501103571795,0.534933010508,0.501202758986,,,,,,
37,0.464087334581,0.465724415997,0.487070406204,0.52315897104,0.487338559616,,,,,,
38,0.454068790225,0.460073127548,0.481931312169,0.521204235669,0.481886377935,,,,,,
39,0.450565941618,0.456220082544,0.475807787438,0.51696911928,0.478665674901,,,,,,
40,0.444733564299,0.452265435869,0.474729416314,0.514857817281,0.472435343066,,,,,,
41,0.438138655332,0.44623681794,0.469995544512,0.509817230089,0.46935300808,,,,,,
42,0.435163225653,0.443280449465,0.466368913808,0.505083311371,0.463826863464,,,,,,
43,0.427554365868,0.437235100426,0.460197438071,0.498642091758,0.457073706627,,,,,,
44,0.424528561472,0.434479991937,0.458552833064,0.494316710196,0.454759894878,,,,,,
45,0.422486866678,0.431223997534,0.457567238711,0.49237021588,0.45230950213,,,,,,
46,0.420585960699,0.428435704038,0.454134966794,0.488103845935,0.450082999206,,,,,,
47,0.416348322439,0.423404537252,0.45066920403,0.484674517192,0.445895340475,,,,,,
48,0.406187875135,0.417149210142,0.445532191901,0.479351569018,0.442497956779,,,,,,
49,0.404543030166,0.414446802056,0.438522315487,0.474282030652,0.436356519233,,,,,,
50,0.401273739456,0.410348184578,0.434040204604,0.469891509108,0.431469770708,,,,,,
51,0.399088316284,0.407828249202,0.433243254736,0.467548211325,0.430211471328,,,,,,
52,0.394540743772,0.404038524834,0.42577414153,0.461669036439,0.42221237857,,,,,,
53,0.393590647451,0.402345004234,0.425079343026,0.459073758945,0.420232802859,,,,,,
54,0.387360469055,0.394173305351,0.416674528092,0.457428171356,0.417804700005,,,,,,
