Time(Iteration),CAB_User,CAB,LinUCB
0,3.32390581744,3.32390581744,4.75172220302
1,5.02244708523,5.02244708523,10.0857925123
2,6.98965453094,6.98965453094,12.9931819768
3,8.10133485436,8.10133485436,16.3990374783
4,9.61848089169,9.61848089169,20.6394358963
5,11.0758151328,11.0758151328,23.9841410507
6,12.3192854436,12.3192854436,26.3932634535
7,14.0859197642,14.0859197642,28.0362700326
8,15.7448201122,15.7448201122,29.6313305791
9,16.9625982519,16.9625982519,31.6244965593
10,18.715522375,18.715522375,34.0801394444
11,19.9146871625,19.9146871625,35.8434615726
12,21.019044318,21.019044318,36.9314887267
13,22.5098090515,22.5098090515,38.4902169239
14,23.9763543272,23.9763543272,39.6001505361
15,24.8785275389,24.8785275389,40.1307376895
16,25.9082379366,25.9082379366,41.0728281819
17,27.1503975662,27.1503975662,41.8321044612
18,28.0614278981,28.0614278981,42.6114221383
19,28.4683033239,28.4683033239,43.8290883643
20,29.4025311763,29.4025311763,44.3137983102
21,29.890173793,29.890173793,44.5928532449
22,30.6102660797,30.6102660797,45.1833805049
23,31.2249379987,31.2249379987,45.7169677883
24,31.9886782414,31.9886782414,46.3230142913
25,32.2625081898,32.2625081898,46.4660716168
26,32.8766333365,32.8766333365,46.8319287587
27,33.4114644723,33.4114644723,47.5159930255
28,33.8266213141,33.8266213141,47.6617839455
29,34.5592561277,34.5592561277,48.0969858657
30,34.8126699587,34.8126699587,48.2838364948
31,35.1666223232,35.1666223232,48.7213085304
32,35.3651794145,35.3651794145,48.8115843974
33,35.7014696467,35.7014696467,49.0588093163
34,35.9420935173,35.9420935173,49.3221326052
35,36.2862712285,36.2862712285,49.5630581525
36,36.4548782276,36.4548782276,49.6259166525
37,36.5694150518,36.5694150518,49.8463489517
38,36.8030172857,36.8030172857,50.0654999063
39,36.902403653,36.902403653,50.1511402786
40,37.0638999939,37.0638999939,50.3863309546
41,37.4341828889,37.4341828889,50.4946263357
42,37.5437632576,37.5437632576,50.6526954813
43,37.8044598963,37.8044598963,50.790441095
44,38.2994928198,38.2994928198,51.0234034478
45,38.5080968601,38.5080968601,51.0991947961
46,38.8046596662,38.8046596662,51.213870565
47,39.0122550783,39.0122550783,51.3124589987
48,39.479689407,39.479689407,51.5262278386
49,39.5668091184,39.5668091184,51.7809732682
50,39.8160403995,39.8160403995,52.0271498812
51,39.9979535219,39.9979535219,52.3227615493
52,40.1022381142,40.1022381142,52.5224768715
53,40.3039681341,40.3039681341,52.6685854943
54,40.3298601234,40.4287935396,52.7135462861
55,40.3657506811,40.4646840974,52.8614305869
56,40.4219168314,40.5208502476,52.9170036727
57,40.6321635242,40.7310969404,52.9598445028
58,40.8387955487,40.9377289649,52.9884536761
59,40.9088367204,41.0077701367,53.1340040883
60,41.163882652,41.2628160683,53.2659964857
61,41.3256310853,41.4245645016,53.3399941598
62,41.407581549,41.4879522119,53.3498891876
63,41.5239374986,41.6043081615,53.5261359194
64,41.7627936625,41.8431643255,53.575556451
65,41.9347048324,42.0150754953,53.6267350221
66,41.9451066426,42.0254773056,53.7182783619
67,42.2017876556,42.2821583185,53.7488746118
68,42.3163716809,42.3967423439,53.7488746118
69,42.479882905,42.5393436306,53.7692818743
70,42.4986810634,42.5625410086,53.7880800327
71,42.6632870711,42.7271470163,53.8576979725
72,42.7378811913,42.8017411364,53.9230310856
73,42.7378811913,42.8017411364,53.9297803402
74,42.8282005548,42.8920605,54.0263028032
75,42.9846617487,43.0485216939,54.0999218728
76,43.0870880339,43.1509479791,54.1362847732
77,43.1699443229,43.2224563628,54.1824875341
78,43.335569849,43.3880818889,54.2188716031
79,43.3659873214,43.4184993613,54.2273208201
80,43.3867288963,43.4322225913,54.2273208201
81,43.4308038766,43.4762975716,54.2911888482
82,43.5129912776,43.4859051864,54.3352894705
83,43.5404636951,43.5133776039,54.3587214604
84,43.6406722336,43.6135861424,54.4696164311
85,43.7880893398,43.7610032486,54.5239805773
86,43.8822824956,43.8551964044,54.5953642099
87,43.9463923345,43.9193062433,54.6072908064
88,44.087796992,44.0607109008,54.720268968
89,44.3103168416,44.229131393,54.7854795674
90,44.3635119416,44.282326493,54.8156584084
91,44.4465939854,44.3654085368,54.84034332
92,44.4560462239,44.3748607753,54.8813309712
93,44.4881660049,44.4069805563,54.9189051923
94,44.5839797996,44.4196333607,55.07821003
95,44.7607004395,44.5963540005,55.086766616
96,44.8225619131,44.6605673838,55.1572576064
97,44.9432727983,44.781278269,55.224473407
98,44.9982471639,44.8362526346,55.224473407
99,44.9982471639,44.8362526346,55.3303021177
100,45.0562210543,44.8883447625,55.3484721801
101,45.0926544422,44.9247781504,55.3490913903
102,45.1795232436,45.0116469518,55.3506034175
103,45.3365699195,45.1686936277,55.3591250202
104,45.4801180665,45.3122417747,55.3834292026
105,45.540682872,45.3714058386,55.4367634898
106,45.6568100845,45.4875330511,55.4402862958
107,45.7558820358,45.5866050024,55.5061991523
108,45.778782793,45.6095057596,55.5143674486
109,45.866857927,45.6975808935,55.6671850237
110,46.029024883,45.8597478496,55.6671850237
111,46.0611905578,45.9197135729,55.6905134049
112,46.2583625625,46.1168855776,55.6940414802
113,46.2671825994,46.1291661503,55.7423609087
114,46.3135710834,46.1755546342,55.7423609087
115,46.425987469,46.2879710198,55.7715577966
116,46.4267278172,46.288711368,55.7782763913
117,46.5375105102,46.3994940611,55.8113394014
118,46.5988552889,46.4527002301,55.8746281499
119,46.6517999442,46.5056448854,55.9454071882
120,46.6890219008,46.542866842,55.9495522136
121,46.8126916078,46.5970419462,55.9957543839
122,46.9664655059,46.7508158442,56.0488330026
123,47.1717661557,46.956116494,56.062251495
124,47.2011410506,46.9899171203,56.1209324655
125,47.2877607157,47.070534423,56.226705231
126,47.2923228422,47.0750965496,56.245296595
127,47.3758086332,47.1585823406,56.2519486515
128,47.4924704929,47.2752442002,56.2519486515
129,47.5149887751,47.2977624824,56.2519841768
130,47.5473759802,47.3301496875,56.2954670095
131,47.5646035064,47.3473772138,56.2965165731
132,47.5922785258,47.3750522331,56.2965165731
133,47.5987826494,47.3815563567,56.2965172531
134,47.6074675894,47.3902412967,56.2969057518
135,47.6082337358,47.3910074431,56.3172930715
136,47.662252577,47.4230005383,56.3357218387
137,47.8067795785,47.5675275398,56.34476384
138,47.8067795785,47.5675275398,56.34476384
139,47.8454946226,47.606242584,56.3489352301
140,47.9657410981,47.7264890594,56.4275140394
141,48.0786700197,47.7894547233,56.4826376426
142,48.125772904,47.8365576077,56.4965066386
143,48.1556255043,47.866410208,56.5015482069
144,48.3432373033,48.054022007,56.5015482069
145,48.4674811202,48.1394385138,56.5370594131
146,48.4935244251,48.1654818187,56.5962516407
147,48.5515814819,48.2235388755,56.5962516407
148,48.6054101393,48.2773675329,56.5962516407
149,48.6786589858,48.3271389971,56.6153640945
150,48.7065433145,48.3749207893,56.6432484233
151,48.7981845657,48.4665620405,56.6942129565
152,48.889398306,48.5853220705,56.7088198892
153,49.0037497563,48.6996735208,56.8143679345
154,49.0095082248,48.7054319893,56.8201264031
155,49.0095082248,48.7054319893,56.8201264031
156,49.0729053583,48.767310882,56.821671053
157,49.0878939054,48.7822994291,56.8223271324
158,49.1831665771,48.8831832922,56.8563806404
159,49.2396266525,48.9396433676,56.8805823321
160,49.3529345832,49.0529512983,56.8996690226
161,49.4328210295,49.1328377446,56.8996690226
162,49.4956759728,49.1914378559,56.8996690226
163,49.5252203749,49.220982258,56.9131786217
164,49.5356963405,49.2370985068,56.9236545873
165,49.5521835816,49.253585748,56.9767781986
166,49.5597259496,49.2611281159,56.9803294797
167,49.6545161003,49.3559182667,57.0261187942
168,49.6547241103,49.3561262766,57.0263268041
169,49.6657524515,49.3671546178,57.0263268041
170,49.6723194781,49.3737216444,57.0279370476
171,49.6723194781,49.3795207777,57.043201553
172,49.6945217789,49.4064635458,57.0486349071
173,49.778352757,49.490294524,57.100060615
174,49.778352757,49.490294524,57.1703820542
175,49.8529677299,49.5649094969,57.1703820542
176,49.8806394059,49.5925811728,57.185255253
177,49.8903539642,49.6022957311,57.185255253
178,49.9041426953,49.6160844622,57.1864460731
179,49.9041426953,49.6160844622,57.1864460731
180,49.9141195845,49.6260613514,57.1864460731
181,49.9249613064,49.6412962625,57.1910032988
182,49.9579368782,49.6742718343,57.1910032988
183,50.1072228788,49.8235578349,57.2178378754
184,50.1108672436,49.8326539012,57.2200341753
185,50.1201815664,49.841968224,57.2200341753
186,50.1555146222,49.8773012799,57.2212096238
187,50.1732718539,49.8950585115,57.2389668554
188,50.2567961621,49.9785828197,57.2389668554
189,50.2786523971,50.015385788,57.2609261791
190,50.3918063785,50.1285397694,57.3044171983
191,50.4530231888,50.1897565797,57.3209467496
192,50.4602729453,50.1970063362,57.328196506
193,50.4974379615,50.2284327145,57.3450018212
194,50.5179156396,50.2489103927,57.3450018212
195,50.5328014168,50.2637961698,57.3450018212
196,50.5863330076,50.3173277606,57.3548693598
197,50.6157108449,50.3467055979,57.4607647206
198,50.6173916732,50.3483864262,57.4621337443
199,50.6212524051,50.3522471581,57.4710540219
200,50.7064280453,50.4304881584,57.4710540219
201,50.7310302807,50.4550903938,57.5155361452
202,50.7961499949,50.520210108,57.5155361452
203,50.8119330062,50.5359931193,57.5232550712
204,50.8502391473,50.5742992604,57.5347276304
205,50.9020377084,50.6260978215,57.5347276304
206,50.9080936359,50.632153749,57.5407835578
207,50.972206114,50.6962662271,57.5407835578
208,50.9726208066,50.7094448651,57.5417055266
209,51.0740310468,50.8108551054,57.5776434238
210,51.0760470122,50.8128710708,57.6875294514
211,51.1311767665,50.8680008251,57.7369949728
212,51.160298217,50.8971222755,57.7661164233
213,51.1911136158,50.9279376743,57.7717870743
214,51.1988771295,50.935701188,57.7826775558
215,51.1988771295,50.935701188,57.7826775558
216,51.2860595695,51.022883628,57.7826775558
217,51.3081463154,51.0449703739,57.7939592327
218,51.3456640078,51.0824880664,57.8821975637
219,51.3610425469,51.0978666054,57.8906933229
220,51.3844015551,51.1212256136,57.8906933229
221,51.4030828028,51.1399068613,57.9093745705
222,51.4204075069,51.1572315654,57.922282607
223,51.4204075069,51.1572315654,57.922282607
224,51.443051266,51.1798753245,57.9287766099
225,51.443051266,51.1798753245,57.9287766099
226,51.443051266,51.1798753245,57.9291542454
227,51.5482120726,51.2850361311,57.9907743643
