Time(Iteration),CAB_original,CAB_cbj+cbij
0,4.33210625492,7.16720936987
1,8.63759420803,11.6080709753
2,12.1016883929,15.2063225694
3,14.6867322849,18.0799545648
4,16.8518542233,21.3024746641
5,17.8638956016,23.7975829621
6,19.0967877929,26.6530767578
7,20.170738122,27.9456652262
8,21.9954558795,29.1565698241
9,23.6692124666,30.8680800095
10,24.868706471,32.9035313017
11,26.053900541,34.1953409701
12,26.6556933447,35.1707148607
13,27.9206527867,36.6018255634
14,29.1380884547,38.0306806016
15,29.6173573107,38.9876924927
16,29.7591011645,39.3581606573
17,30.8550180834,40.5122035058
18,31.3206361282,40.8530057532
19,31.9530956765,41.7781041013
20,32.8537544105,42.4114361193
21,32.9643694477,42.6659970472
22,33.4308629123,43.1373183145
23,33.6414972162,43.3511401328
24,34.028147197,43.8406574588
25,34.1930026707,44.4631171749
26,35.0238808609,45.2102237899
27,35.5060411376,45.8719079949
28,35.7953779581,46.5061524621
29,36.1269928368,46.9661169538
30,36.5926571019,47.2978562299
31,36.8723481323,47.8541916488
32,37.0740694386,48.0567106676
33,37.6050546994,48.6519552328
34,37.6060906398,48.9692260617
35,37.8298999549,49.2242606797
36,38.1878582733,49.6666258759
37,38.3500396795,49.8347258606
38,38.4797333527,49.9868747288
39,38.7766723826,50.349730554
40,39.2875081718,50.8417329969
41,39.5196573667,50.8736901536
42,39.7268306264,51.0724527534
43,39.8493019936,51.1642434597
44,40.0652117243,51.4733895182
45,40.0887955448,51.6335072255
46,40.4143215653,51.8769873028
47,40.8730660927,52.133587998
48,41.1946600029,52.3209215679
49,41.2702696479,52.5202427907
50,41.3145102048,52.6118051829
51,41.6765535392,52.8654019227
52,42.1476870139,53.1760463387
53,42.2347717306,53.1979136829
54,42.4379526241,53.334645081
55,42.7237954499,53.382815487
56,42.7693695464,53.5094557449
57,42.8886515029,53.6660703303
58,42.9136373259,54.0200100523
59,43.0253273474,54.1031484748
60,43.169294261,54.3396910118
61,43.2669640333,54.4211531491
62,43.3833700912,54.5113029312
63,43.471326386,54.5755603368
64,43.5579420047,54.8094175863
65,43.6023965933,54.9098131507
66,43.7738990624,55.023561041
67,43.7820119192,55.102030043
68,43.9328892042,55.3274140217
69,44.0383086672,55.6315976967
70,44.1347535482,55.6990298714
71,44.2286696046,55.8340777229
72,44.2579685836,55.8599195124
73,44.6402334859,56.325761209
74,44.7797833783,56.4939717364
75,44.8481470894,56.6960381331
76,44.8935448821,56.8610729507
77,45.0580561303,56.9521500201
78,45.0580561303,57.0481215996
79,45.0686543384,57.3196211377
80,45.1658370491,57.4509163248
81,45.2491652755,57.5145005516
82,45.2720888705,57.5374241466
83,45.3174783259,57.617930176
84,45.3826802573,57.7301875051
85,45.453038944,57.7951562337
86,45.541467562,57.8026691118
87,45.5900222824,57.8535673119
88,45.673585922,57.927775413
89,45.6770894729,57.9829698156
90,45.7412855407,58.0133652859
91,45.7412855407,58.1287325384
92,45.8184326285,58.229503452
93,45.8524789612,58.377967551
94,45.8605555393,58.3949968423
95,45.8913693384,58.4258106414
96,45.9944712851,58.5478629243
97,46.0329498387,58.5979710516
98,46.0733157712,58.671960533
99,46.0783227848,58.6935568332
100,46.09337879,58.7065750575
101,46.1254218291,58.7386180967
102,46.1637762429,58.9735169383
103,46.2553736158,59.0305830184
104,46.2701879305,59.1035634481
105,46.2841543789,59.1346433393
106,46.3239922729,59.3263183908
107,46.3250429636,59.41373365
108,46.4289980581,59.4217994094
109,46.4758782432,59.447137432
110,46.5317163687,59.5541509605
111,46.5623212166,59.5675121545
112,46.5712140577,59.5764049956
113,46.6252197741,59.6282744171
114,46.6642162441,59.7739518401
115,46.6978687726,59.7812659619
116,46.7195726435,59.7827717266
117,46.7195726435,59.7827717266
118,46.7287047256,59.9004774055
119,46.7287047256,60.1199082346
120,46.750051946,60.196037893
