Time(Iteration),CABCoTheta,CAB_originalCoTheta,LinUCBCoTheta,,,,,,
0,1.99150394353,1.99150394353,1.94888170292,,,,,,
1,1.94805529124,1.94802633102,1.90598071301,,,,,,
2,1.86357628048,1.91124672005,1.82494479177,,,,,,
3,1.77978705492,1.82304787161,1.75565472142,,,,,,
4,1.71613926504,1.72498874673,1.69016015695,,,,,,
5,1.7106639077,1.71231569194,1.66459205689,,,,,,
6,1.68785022198,1.67398053149,1.64105695336,,,,,,
7,1.62096947794,1.6246643131,1.58514110034,,,,,,
8,1.575785865,1.5687901013,1.55240069186,,,,,,
9,1.56186433098,1.50550407187,1.53656890395,,,,,,
10,1.49772995013,1.46879339138,1.51599472113,,,,,,
11,1.42746235026,1.40102859358,1.50428301054,,,,,,
12,1.4092355098,1.33735003955,1.47863544164,,,,,,
13,1.39196948922,1.31646856748,1.45699615595,,,,,,
