Time(Iteration),CAB_true_decreaseCoTheta,,,,,,
0,0.984826217236,,,,,,
1,0.954424833753,,,,,,
2,0.932099940611,,,,,,
3,0.910414625664,,,,,,
4,0.887527725128,,,,,,
5,0.853683859572,,,,,,
6,0.819720146359,,,,,,
7,0.800102674864,,,,,,
8,0.785497004007,,,,,,
9,0.772054687838,,,,,,
10,0.754017947924,,,,,,
11,0.743737808173,,,,,,
12,0.72132607846,,,,,,
13,0.708869746821,,,,,,
14,0.687419760869,,,,,,
15,0.678728827779,,,,,,
16,0.669287898999,,,,,,
17,0.6582634907,,,,,,
18,0.650468151308,,,,,,
19,0.635309368187,,,,,,
20,0.621503747876,,,,,,
21,0.608098232728,,,,,,
22,0.599264616451,,,,,,
23,0.591510255052,,,,,,
24,0.576828619481,,,,,,
25,0.567698413748,,,,,,
26,0.560448568141,,,,,,
27,0.554647261038,,,,,,
28,0.546040065339,,,,,,
29,0.528450900968,,,,,,
30,0.51909137644,,,,,,
31,0.50679475045,,,,,,
32,0.503710705798,,,,,,
33,0.494333797644,,,,,,
34,0.486074898516,,,,,,
35,0.482033080275,,,,,,
36,0.476220647867,,,,,,
37,0.472732853293,,,,,,
38,0.46636243509,,,,,,
39,0.461680529665,,,,,,
40,0.456564570428,,,,,,
41,0.453441866414,,,,,,
42,0.449937054597,,,,,,
43,0.446652656268,,,,,,
44,0.442694050256,,,,,,
45,0.440379700416,,,,,,
46,0.435234653219,,,,,,
47,0.433263471141,,,,,,
48,0.426855987747,,,,,,
49,0.424000177996,,,,,,
50,0.419199749266,,,,,,
51,0.416599922489,,,,,,
52,0.413111260598,,,,,,
53,0.411405886474,,,,,,
54,0.405611146291,,,,,,
55,0.403125954777,,,,,,
56,0.401936636706,,,,,,
57,0.401392688776,,,,,,
58,0.399426563816,,,,,,
59,0.397904594529,,,,,,
60,0.397083096838,,,,,,
61,0.39133593479,,,,,,
62,0.388337958073,,,,,,
63,0.385490805563,,,,,,
