Time(Iteration),CAB,CAB_original
0,7.25941195684,6.91124968938
1,13.2975832452,11.5303811259
2,17.7930053458,17.2472379958
3,21.787835818,21.0370279243
4,25.5187112955,23.6484008803
5,28.2617131389,26.7707952355
6,30.1643315901,29.1268052778
7,31.7623724006,31.9848005999
8,33.2074149419,33.9922909881
9,35.0093972779,35.4650996156
10,36.2837549326,37.5850081357
11,37.0385114001,38.6369660222
12,38.4016528759,40.0384141203
13,39.1356830819,41.2542396917
14,39.9287176388,42.6049415307
15,40.419617493,43.9923060271
16,41.0030977897,45.1991251986
17,42.0042054646,46.1086470879
18,42.7988560284,47.24662376
19,43.3658024944,48.3256747997
20,43.8762936573,49.1258371443
21,44.2869587308,49.6782216584
22,44.5947031278,49.8527523501
23,45.0043959827,50.3454376767
24,45.4135037109,51.0953493485
25,45.5918713611,51.6770896566
26,45.9879363153,52.1120508025
27,46.2158681386,52.211470269
28,46.3654389587,52.3139698016
29,46.9925389808,52.72789051
30,47.2670041933,53.0439519812
31,47.5118058526,53.4236667934
32,47.5498463296,53.6033242043
33,47.7461935106,53.7406211213
34,47.9180988432,53.9069726723
35,48.2336578279,54.0889286672
36,48.5050596115,54.6011223343
37,48.5139265512,55.002421203
38,48.6164018302,55.2874764095
39,48.7878000192,55.4389732147
40,49.0224221309,55.6024978657
41,49.2819004503,55.9567638696
42,49.4026663722,56.1170381812
43,49.4387887662,56.2769625056
44,49.5910751318,56.34821548
45,49.8075366441,56.7619660121
46,49.9361597756,57.0707703568
47,50.0134058339,57.2205726395
48,50.231068623,57.3980008472
49,50.3318836689,57.6350626826
50,50.5175073063,57.859406746
51,50.6314252611,57.9945642533
52,50.7061696935,58.0854734072
53,50.7277912711,58.1070949848
54,50.8750692583,58.2218583103
55,50.9354604938,58.3343310383
56,51.0557463477,58.3993967221
57,51.0577931521,58.4728141036
58,51.090764235,58.5025149381
59,51.1398726147,58.5542978679
60,51.182924749,58.61231283
61,51.1834978297,58.6612424841
62,51.1889927773,58.6667374316
63,51.2136683486,58.7606730788
64,51.2136683486,58.7606730788
65,51.3470042559,58.9572342159
66,51.4157445962,59.1435360634
67,51.6320074723,59.3396244962
68,51.7101826611,59.486352457
69,51.7101826611,59.5015302162
70,51.7691308902,59.583780658
71,51.8929020704,59.6855733771
72,51.9876356257,59.7371242085
73,52.0061302204,59.7535027642
74,52.02748577,59.7748583138
75,52.0379071077,59.8248989521
76,52.0931339483,59.8248989521
77,52.1402595105,59.8748850572
78,52.2268161292,59.953316184
79,52.3597265525,60.0579954543
80,52.4424744612,60.140743363
