Time(Iteration),CAB_full,CAB_cbj,CAB_original,CAB_cbij,LinUCB
0,6.52790607614,6.52790607614,6.41257640343,6.52790607614,6.52790607614
1,11.6981275147,11.8407040782,12.5081502943,11.8407040782,12.6543153798
2,16.2774573494,16.6280611477,16.5386106537,17.0923945826,17.2261128046
3,20.0099845407,20.676933882,19.597848963,20.8540760013,20.7220005028
4,23.9830283175,24.1376091208,23.2224291576,24.0100114419,23.981152463
5,28.750394607,27.3573431197,26.7608015894,26.7779601525,26.5993740947
6,32.414520479,30.9229240264,29.2406761689,29.9583739662,28.9302296396
7,37.5902275618,34.3023584909,31.118492535,33.2929799301,30.9069111243
8,40.9423058788,36.5182602643,33.4186550596,36.5007000426,32.4834075574
9,44.5506555003,38.8322652401,35.9012130558,38.9350364571,34.2964032914
10,47.2118104231,41.0150235173,37.2579460336,40.6627383448,35.4287951539
11,49.6775104364,42.4147793542,38.3875701765,42.5034781214,36.521425305
12,52.1827873905,43.5330079014,40.1943815104,43.9568360309,37.2619213706
13,54.6581528944,44.7993097502,41.5315462908,45.7328472356,38.2354016427
14,56.5911532307,45.6420929612,42.577070843,46.9242914413,39.3666342746
15,58.3922354482,46.5652659482,43.4811685965,47.9398671927,39.8554751615
16,59.8350383194,47.200280514,44.4805458347,48.5846655993,40.4282709433
17,61.004822707,48.110026042,45.7919852393,49.3624534309,40.8927320054
18,62.380775977,48.3728754686,46.7726438189,49.7551343606,41.4074846835
19,63.6902549138,48.7466995854,47.3813224593,50.0047752788,41.7349890961
20,64.7697826676,49.6933153504,48.5034815848,50.6244241457,42.6326016187
21,65.4157324264,50.4100545804,49.5004415024,51.4881122137,42.9878474519
22,65.9145430649,51.1002546875,49.9171862807,51.9913638076,43.6302601031
23,66.4896195416,51.3749374141,50.5300717585,52.3698090283,44.0886508013
24,67.4004151245,51.613924475,51.3467286766,52.840158506,44.5477599623
25,68.1816245164,52.0243692444,51.7603188411,53.0136542115,44.7609685274
26,68.7076638418,52.4718869041,52.0678547146,53.244480204,44.8203139444
27,69.0806692066,52.9778736578,52.7555504012,53.5026254446,44.9940894602
28,70.294266527,53.2548696215,53.6524482896,53.7336585124,45.5156497847
29,71.0064799087,53.4394128574,54.2755704929,54.1666949792,45.7286003833
30,71.9306803327,53.7298968437,55.2411360085,54.6077453887,46.0004953169
31,72.3161188492,54.0255092488,55.6228138159,54.855883841,46.3359914803
32,72.9442929364,54.2195858025,55.8120703996,55.0033288934,46.3561174811
33,73.2931958813,54.4564040938,55.9909625164,55.3590694152,46.5523292383
34,73.5860657969,54.5539650416,56.3723094644,55.5424873144,46.7419232357
35,73.8579672447,54.5884931317,56.5939408949,55.7136916366,46.8535556828
36,74.1938252541,54.8268092439,56.8835011537,55.7573023257,46.9361711317
37,74.7803946018,55.0949615212,57.2674581132,56.4876410876,47.4123324137
38,75.180222314,55.4570696599,57.8801755344,57.3182286883,47.7103972715
39,75.412604166,55.4715249019,58.0894282288,57.4550129272,47.8273154377
40,75.79585061,55.6295133535,58.3576094323,57.9310993442,48.0589487364
41,76.0102193468,55.7003388342,58.88454145,58.0187586557,48.4213103459
42,76.5914806061,55.8245416398,59.0165648978,58.457249929,48.5619618571
43,77.1379595728,56.0789047693,59.5172225226,58.641772801,48.8297454008
44,77.2391738213,56.1785271495,59.5456168993,58.7618937828,48.868768809
45,77.5789474796,56.5500834975,59.7283267741,58.9275858752,49.0158189573
46,77.6986098278,56.6747126838,59.87106182,59.0522150616,49.2267594117
47,77.802277968,56.7783979862,60.0305344342,59.2664861116,49.2855520761
48,78.244867273,56.9414624089,60.1306625178,59.3792752058,49.5261545028
49,78.7095113889,57.19168907,60.4643334935,59.7507729714,49.9292598703
50,78.9985650711,57.3042023931,60.6510479433,60.0774070816,49.9422732963
51,79.2655826751,57.4078530009,60.9360618757,60.2788504541,50.1914739564
52,79.4696148017,57.4515493031,61.0315155505,60.3534132564,50.2136162051
53,79.8704431069,57.5582544001,61.1338865636,60.4856651636,50.3769947907
