Time(Iteration),CAB_originalCoTheta,CAB_true_decreaseCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.986006898134,0.976042444059,0.976042444059,0.975982158654,,,,,,
1,0.969573925433,0.952951298254,0.952951298254,0.945850676958,,,,,,
2,0.949922671404,0.930099769016,0.930099769016,0.932310647798,,,,,,
3,0.922942832756,0.910642441849,0.910642441849,0.910054783884,,,,,,
4,0.890346912938,0.890313557207,0.890313557207,0.896529801053,,,,,,
5,0.873961221175,0.87032864961,0.87032864961,0.876732199207,,,,,,
6,0.848841603573,0.845507668756,0.845507668756,0.850152121306,,,,,,
7,0.825464375662,0.828779426764,0.828779426764,0.827821222932,,,,,,
8,0.811971662793,0.804708384722,0.804708384722,0.812319281916,,,,,,
9,0.791343953442,0.793753251707,0.793753251707,0.796129194947,,,,,,
10,0.774773735587,0.777664475711,0.777664475711,0.781602167441,,,,,,
11,0.754006220412,0.765091257915,0.765091257915,0.770401031451,,,,,,
12,0.738091441258,0.752779574875,0.751124547212,0.751329425247,,,,,,
13,0.73221182017,0.744834092019,0.744971273589,0.743797631819,,,,,,
14,0.710481222785,0.728084276863,0.720711613406,0.727014607383,,,,,,
15,0.686976649796,0.707881269947,0.699330265869,0.706409783194,,,,,,
16,0.671149166992,0.696169610271,0.689998320489,0.69555640915,,,,,,
17,0.653648998269,0.687692604414,0.683895208362,0.68717759114,,,,,,
18,0.632181465298,0.668651338805,0.664035790752,0.664816966047,,,,,,
19,0.617079617376,0.659376096506,0.653212190127,0.656434219823,,,,,,
20,0.605638871053,0.643518295007,0.637519352193,0.647852785636,,,,,,
21,0.602460332566,0.636983822078,0.631975103796,0.642429100836,,,,,,
22,0.594655923382,0.62526642008,0.619751725137,0.63639931002,,,,,,
23,0.583787080406,0.620192251184,0.614966980003,0.631121427064,,,,,,
24,0.575545999959,0.607802774063,0.606788049707,0.626708139115,,,,,,
25,0.566976954238,0.598904506013,0.600051285354,0.622528098291,,,,,,
26,0.557148671763,0.591107766609,0.594611231533,0.612779204266,,,,,,
27,0.548237111614,0.586541203802,0.588258314995,0.606190769285,,,,,,
28,0.541882943629,0.582083258499,0.578280567791,0.599090735519,,,,,,
29,0.534013068794,0.573518245404,0.570958989094,0.587949456333,,,,,,
30,0.529035786964,0.570638378598,0.567403116323,0.583356489732,,,,,,
31,0.524121077121,0.560995617004,0.56242768964,0.576707107822,,,,,,
32,0.516951017989,0.554659990706,0.555982646264,0.566967930157,,,,,,
33,0.511466484957,0.550339898642,0.550356463803,0.560134901365,,,,,,
34,0.505343963763,0.544287178372,0.544615024634,0.554247445848,,,,,,
35,0.497920675882,0.539710605423,0.542708300735,0.54699382467,,,,,,
36,0.49444858286,0.535107157956,0.540331007062,0.543031599677,,,,,,
37,0.488905846508,0.529251436856,0.536701759431,0.538846731568,,,,,,
38,0.47883121404,0.519390742377,0.522304249978,0.529516356609,,,,,,
39,0.475181767321,0.510911663842,0.514737471804,0.523645217403,,,,,,
40,0.467355274097,0.501796605588,0.500097417621,0.513932443398,,,,,,
41,0.463534961639,0.496433278704,0.495636421967,0.513022977821,,,,,,
42,0.459646956632,0.492640756448,0.493597583179,0.50901556365,,,,,,
43,0.457065221931,0.489590801866,0.491062392109,0.505205665986,,,,,,
