Time(Iteration),CAB_originalCoTheta,CABCoTheta,LinUCBCoTheta,CAB_nodecideCoTheta,CAB_noupdateCoTheta,,,,,,
0,0.976232047618,0.923279529223,0.967642056297,1.0,0.974771839569,,,,,,
1,0.95415819576,0.828522119119,0.927054752183,1.0,0.944298632394,,,,,,
2,0.935819989779,0.697345867668,0.900982199784,1.0,0.922361715312,,,,,,
3,0.915847390361,0.637683129528,0.884973368476,1.0,0.899915231118,,,,,,
4,0.897497020318,0.575589190525,0.861690840418,1.0,0.876292421534,,,,,,
5,0.874154676903,0.54856129985,0.84375185801,1.0,0.854230134374,,,,,,
6,0.859687103127,0.521154311839,0.823524630165,1.0,0.836205092351,,,,,,
7,0.832001012262,0.495514870722,0.797072324986,1.0,0.816441379572,,,,,,
8,0.813944573787,0.473095193906,0.777670210642,1.0,0.805370383556,,,,,,
9,0.790224978432,0.445507260638,0.755950811519,1.0,0.785984321371,,,,,,
10,0.774822450505,0.426323136219,0.740025915676,1.0,0.765115582255,,,,,,
11,0.755904586126,0.415331101368,0.721614526418,1.0,0.752138379425,,,,,,
12,0.734772097849,0.399582466415,0.713195514633,1.0,0.735770433553,,,,,,
13,0.717423807591,0.376699511462,0.694333417476,1.0,0.724210377473,,,,,,
14,0.697517135951,0.361570731549,0.677301313565,1.0,0.713347861233,,,,,,
15,0.681705889483,0.336533417273,0.653605629441,1.0,0.686889794735,,,,,,
16,0.669443409139,0.310932130632,0.637976439022,1.0,0.673524078015,,,,,,
17,0.654477806192,0.301319844582,0.622742931362,1.0,0.661384039272,,,,,,
18,0.634727105313,0.294594905948,0.603466444274,1.0,0.644984729038,,,,,,
19,0.616207827548,0.289399576707,0.587968010851,1.0,0.632823641501,,,,,,
20,0.606206737617,0.286047665968,0.581356766432,1.0,0.620136094599,,,,,,
21,0.599075185057,0.281819659885,0.571808027958,1.0,0.613790778579,,,,,,
