Time(Iteration),CAB_rejectCoTheta,CAB_originalCoTheta,LinUCBCoTheta,,,,,,
0,0.974016835242,0.972470415934,0.973504643742,,,,,,
1,0.947359805253,0.950217931411,0.951625222348,,,,,,
2,0.920648999812,0.92396472866,0.925529700918,,,,,,
3,0.889898202518,0.900798971971,0.896179649655,,,,,,
4,0.872748134841,0.877166777327,0.874357591969,,,,,,
5,0.850079553308,0.854819590201,0.851759479505,,,,,,
6,0.819811885317,0.842395617191,0.832881269172,,,,,,
7,0.795610036358,0.810092485453,0.81913180391,,,,,,
8,0.774885941821,0.78266435456,0.800934276652,,,,,,
9,0.756481635301,0.763307640733,0.788819984067,,,,,,
10,0.734879684427,0.743021322816,0.765268248283,,,,,,
11,0.704017724275,0.727870103662,0.739106935001,,,,,,
12,0.689387966045,0.71821598626,0.726533269972,,,,,,
13,0.667922305954,0.692574054091,0.707993030083,,,,,,
14,0.645558414232,0.676072500871,0.686791216074,,,,,,
15,0.630639517217,0.65798528572,0.673156589262,,,,,,
16,0.621695576156,0.65009831575,0.661052784134,,,,,,
17,0.604877159003,0.638785935474,0.639346456003,,,,,,
18,0.588042220492,0.626453814285,0.62199071703,,,,,,
