Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB
0,5.84421975389,5.01839332897,5.01839332897,4.93672761216
1,10.3057788595,10.1164661764,7.61883788485,9.48869071436
2,13.8737345071,13.3515336087,8.91376184124,14.32450157
3,16.4178418511,18.0334588897,11.0562271846,18.6113842802
4,20.5897343311,21.3395161692,12.4841908954,22.0039668853
5,23.7337860209,24.6795697844,13.7415980012,26.2982041023
6,26.6128997181,28.1594072704,15.1674448956,29.213184483
7,28.6277414762,31.6755367568,15.9573069386,31.6003643576
8,31.3302121643,33.396835563,17.3399189161,34.3805191049
9,32.8797789676,35.480104799,18.6324291073,35.5373949045
10,35.2431751284,38.436064597,19.8496118596,37.2040975942
11,36.4341797773,39.5171082153,20.6992986885,39.0592974177
12,37.7129167601,40.935554697,21.0236531687,40.0499043837
13,38.5844568562,42.5165282891,21.7378836074,41.9481343118
14,39.533969384,43.5893867692,22.2527454824,42.9506811741
15,40.2988618967,44.6506165696,22.8111808276,44.1930227549
16,41.4407539347,45.8429616864,23.0064090459,45.0396838879
17,42.4766855762,46.4860784838,23.4935169574,45.6876382271
18,43.4342661783,47.9390085237,23.925929213,46.5215560623
19,43.9470263957,48.6586869611,24.3930621032,47.0952669183
20,45.0146110262,49.9191080943,25.2474724555,48.0093329539
21,45.799851406,50.7683846493,25.5996472514,48.4773089696
22,46.7425047899,51.8016476215,26.282567528,49.2679094495
23,47.0306761483,52.1709747419,27.0102645242,50.0727190996
24,47.7670676918,52.8478409582,27.468366492,51.0270815078
25,48.3570062024,53.272163758,28.0751066818,51.4225155437
26,48.9723426387,53.994343389,28.5781933871,52.0954690264
27,49.3561773144,54.4624559536,29.0970057101,52.2102926285
28,49.5252845179,54.8435914025,29.3505313202,52.325217763
29,50.2731366348,55.6658181623,30.0953275113,53.2307006603
30,50.7400298679,56.3269912426,30.5636857759,54.0950183519
31,51.5133407337,56.6380089618,31.0586109865,54.8584874405
32,51.7335848487,56.8123259361,31.1916749698,55.2874923263
33,51.978750956,57.36644632,31.6945629369,55.5986626096
34,52.2361179094,57.7171278992,31.8667677512,56.0420112415
35,52.6609156031,58.0119940976,31.9591369057,56.342378964
36,52.8453611897,58.3332003131,32.1354706542,56.6850966766
37,53.1655039777,58.5463725805,32.3819176917,56.9869686542
38,53.3449130297,58.7251739185,32.5519733604,57.100984209
39,53.6367637391,59.1357583106,32.7579572619,57.3628809574
40,53.9537310276,59.414819812,32.814972418,57.6145065908
41,54.167622028,59.7201336417,32.9754600629,58.0705519102
42,54.457104728,59.9988103576,33.104252253,58.5897388776
43,54.6132259102,60.2181193122,33.2606719134,58.7661423127
44,54.9847673829,60.6022035385,33.4016253161,59.2035334056
45,55.4094141788,60.9081979664,33.5833066931,59.692505484
46,55.7456797292,61.2962176429,33.8413825006,60.1338315785
47,55.9625038323,61.3833259174,34.0553919304,60.4116851267
48,56.2082340353,61.9015713098,34.1391748106,60.5731771941
49,56.3492470388,62.3158959893,34.295225912,61.0793383453
50,56.4860611845,62.6014887259,34.4152817397,61.1749683967
51,56.819208172,62.7866943993,34.5863673998,61.4679185512
52,56.9819333121,62.8462052173,34.7926083771,61.5453866666
53,57.0688863714,62.8815698128,34.842999649,61.706955999
54,57.2073853566,63.0203091209,34.9303950079,61.9002159683
55,57.4917006445,63.2735169616,35.1200093432,62.0306996046
56,57.5913816939,63.5337661099,35.2699600612,62.3259330218
57,57.6523368164,63.856769466,35.2738714047,62.5177851411
58,57.8234885502,64.0201030074,35.3637360368,62.6414263303
59,57.8686781788,64.2659476022,35.4151389174,62.6866159589
60,57.9179549074,64.4614828946,35.4997268498,62.834251985
61,58.1083827184,64.6276746434,35.5053467275,63.1515932183
62,58.414734783,64.7529064428,35.6004701456,63.2026787686
63,58.6384796773,64.8882806754,35.6076946473,63.367628421
64,58.7467994717,65.1138094939,35.7816394886,63.4916158426
65,58.8848394532,65.1981841218,35.8223788113,63.6069286382
66,59.0112261915,65.2846601794,35.9198236226,63.7080751156
67,59.0942109312,65.3119916587,35.9892476132,63.8692887457
68,59.1279558037,65.31928713,36.0463122461,63.9342926559
69,59.1503294353,65.4389307489,36.0871001564,64.0483713055
70,59.210134149,65.480824741,36.0871001564,64.1620026913
71,59.3020850339,65.5532661886,36.159541604,64.2461134104
72,59.3516635827,65.6425571755,36.2367107202,64.3284040716
73,59.4290487891,65.7565991443,36.2437519843,64.5921360131
74,59.5196895793,65.8801897104,36.2918929934,64.6712531608
75,59.5511924103,65.9346292765,36.4108168557,64.7212306812
76,59.5996630971,66.1986226678,36.5031487224,64.8423300694
77,59.7062482792,66.386554847,36.5668771455,64.9496281451
78,59.8126303675,66.4613282856,36.5772164682,65.0414585161
79,59.9274962682,66.6663969228,36.5772164682,65.1272591306
80,59.9323812631,66.8187796427,36.6202117526,65.1506259849
81,59.9858604366,66.8921719292,36.6444318758,65.2810859692
82,60.1152263412,66.9442705284,36.6989436828,65.4268322358
83,60.1290868614,67.0235702962,36.7203149351,65.5009628596
84,60.1412631378,67.0931957656,36.7584692098,65.513139136
85,60.1568141406,67.1932435577,36.8083243765,65.5985332975
86,60.2880059751,67.2642626482,36.8651983513,65.6940804648
87,60.3229203594,67.3319266006,36.8974631878,65.7398181053
88,60.5194447423,67.436382121,36.9343070227,65.8677374071
89,60.5465245789,67.5165143781,36.9389705824,65.898096318
90,60.6045713312,67.591285328,36.9715628637,65.9781599712
91,60.6241335991,67.605923164,36.9838452738,65.9963837203
92,60.6266478945,67.6622638998,37.0288452649,66.0927310939
93,60.774471075,67.83528328,37.1022099351,66.2107447301
94,60.9600822963,68.0368600336,37.1461493549,66.312978376
95,60.9778545879,68.0815646863,37.1532953233,66.4600841351
96,60.9829486484,68.1576780897,37.1583893838,66.6032739598
97,60.9829486484,68.1576780897,37.1583893838,66.7559982379
98,61.039508715,68.1934309143,37.1678995928,66.7744995655
99,61.1211670981,68.3185086082,37.1875490647,66.9184195061
