Time(Iteration),CAB_5_6
0,5.6214126329
1,10.7942824552
2,15.0465192988
3,20.4385224003
4,24.4021050742
5,28.1004217918
6,32.9751859481
7,37.6665615606
8,41.6088276385
9,46.5394655166
10,50.3888917573
11,54.4069998807
12,57.9371658115
13,60.5524773855
14,64.1494330363
15,67.2406378227
16,70.6008842101
17,73.3939867853
18,76.0059133745
19,78.7116153443
20,81.0954021727
21,83.5926639209
22,86.6143589098
23,89.1819592876
24,92.2019878594
25,94.5091923397
26,97.0077295114
27,100.148389202
28,102.194689916
29,104.224286123
30,106.421415084
31,109.335601596
32,111.976969526
33,114.101726328
34,116.933613302
35,118.929246193
36,121.087533468
37,123.068752802
38,126.049110278
39,128.222193286
40,129.40521118
41,132.216881066
42,134.931175196
43,137.567907295
44,138.962604668
45,140.574058549
46,143.026097964
47,145.865460031
48,147.915975696
49,150.854882184
50,154.130090547
51,157.081377906
52,159.889147142
53,162.375239094
54,164.956716516
55,167.706788448
56,170.701229374
57,172.797024675
58,175.989503826
59,178.885645131
60,182.484228677
61,185.192632266
62,187.850951454
63,190.511034938
64,194.117233559
65,196.20547705
66,198.90417316
67,200.27723251
