Time(Iteration),CAB_UserCoTheta,,,,,,
0,0.973687800606,,,,,,
1,0.943273552699,,,,,,
2,0.91946220183,,,,,,
3,0.892404031081,,,,,,
4,0.864306630839,,,,,,
5,0.831359096234,,,,,,
6,0.811002515277,,,,,,
7,0.794086103116,,,,,,
8,0.769838565093,,,,,,
9,0.752311529626,,,,,,
10,0.737476226365,,,,,,
11,0.71722348405,,,,,,
12,0.705697163444,,,,,,
13,0.695462816107,,,,,,
14,0.676027743315,,,,,,
15,0.65350981092,,,,,,
16,0.638871346225,,,,,,
17,0.623524955103,,,,,,
18,0.60713811748,,,,,,
19,0.593104992514,,,,,,
20,0.580587102559,,,,,,
21,0.569930921846,,,,,,
22,0.550722058386,,,,,,
23,0.539880942549,,,,,,
24,0.527370927269,,,,,,
25,0.517736986846,,,,,,
26,0.499801117316,,,,,,
27,0.492829415195,,,,,,
28,0.481928236775,,,,,,
29,0.474828482167,,,,,,
30,0.468400326462,,,,,,
31,0.458058200691,,,,,,
32,0.452218104086,,,,,,
33,0.443109025985,,,,,,
34,0.438241127996,,,,,,
35,0.432821041465,,,,,,
36,0.426631268733,,,,,,
37,0.423245707605,,,,,,
38,0.41874826926,,,,,,
39,0.413812090199,,,,,,
40,0.409310747258,,,,,,
41,0.404215671145,,,,,,
42,0.400220215153,,,,,,
43,0.39613955253,,,,,,
44,0.389186566936,,,,,,
45,0.384151014096,,,,,,
46,0.381043370896,,,,,,
47,0.377331340673,,,,,,
48,0.372219940153,,,,,,
49,0.36813933186,,,,,,
50,0.365064982812,,,,,,
51,0.361290290343,,,,,,
52,0.360235922917,,,,,,
53,0.35693577599,,,,,,
54,0.356583795673,,,,,,
55,0.352695665217,,,,,,
56,0.35091867432,,,,,,
57,0.344208888977,,,,,,
58,0.341201743308,,,,,,
59,0.339359969618,,,,,,
60,0.332962899401,,,,,,
61,0.329566407772,,,,,,
62,0.3287071521,,,,,,
63,0.324744676309,,,,,,
64,0.322189276911,,,,,,
65,0.319295473395,,,,,,
66,0.318419898773,,,,,,
67,0.316484261566,,,,,,
68,0.312509536404,,,,,,
69,0.310368252829,,,,,,
70,0.309309911623,,,,,,
71,0.306492067505,,,,,,
72,0.304877429534,,,,,,
73,0.298833085279,,,,,,
74,0.2963721722,,,,,,
75,0.294921063582,,,,,,
76,0.29230069802,,,,,,
77,0.28950354749,,,,,,
78,0.286453739738,,,,,,
79,0.285444955542,,,,,,
80,0.283942166736,,,,,,
81,0.282652587336,,,,,,
82,0.280179721876,,,,,,
83,0.279229175172,,,,,,
84,0.275839360351,,,,,,
85,0.274489778916,,,,,,
86,0.271703957514,,,,,,
87,0.270865418208,,,,,,
88,0.270061836842,,,,,,
89,0.269233010086,,,,,,
90,0.268456165093,,,,,,
91,0.267363240546,,,,,,
92,0.266186325088,,,,,,
93,0.265241348167,,,,,,
94,0.263881449665,,,,,,
95,0.26322867459,,,,,,
96,0.263187882767,,,,,,
97,0.262115966567,,,,,,
98,0.26177340995,,,,,,
99,0.260595160117,,,,,,
100,0.258442325793,,,,,,
101,0.25766559819,,,,,,
102,0.25702593239,,,,,,
103,0.256755383733,,,,,,
104,0.256453775148,,,,,,
105,0.255993692258,,,,,,
106,0.254104257999,,,,,,
107,0.251895389948,,,,,,
108,0.251280660362,,,,,,
109,0.250116608803,,,,,,
110,0.247778329462,,,,,,
111,0.246694695806,,,,,,
112,0.244201978789,,,,,,
113,0.243307870865,,,,,,
114,0.242534583978,,,,,,
115,0.241403877291,,,,,,
116,0.240325727233,,,,,,
117,0.239838459007,,,,,,
118,0.237740556374,,,,,,
119,0.237092056439,,,,,,
120,0.236645186066,,,,,,
121,0.236456439959,,,,,,
122,0.236069808423,,,,,,
123,0.235085294582,,,,,,
124,0.234406151387,,,,,,
125,0.233385191355,,,,,,
