Time(Iteration),CAB,CAB_original
0,1.83524101016,2.69780026834
1,4.56438250259,4.37343167379
2,6.16854447708,6.10336903698
3,6.78820493977,7.30846742666
4,8.16875528596,8.22497285416
5,9.64905907997,9.06628118549
6,10.0604829354,9.63459988223
7,11.043671022,9.94599594515
8,11.6400940766,11.241188952
9,12.230966147,11.5477055266
10,12.7089382425,12.0095121786
11,13.0778084983,12.427509373
12,13.8030648291,12.9649728139
13,14.2481662166,13.5342314182
14,14.5098173905,13.9290132566
15,15.000823486,14.464792102
16,15.1124112185,14.8156912521
17,15.3485460593,15.0520410986
18,15.4768988629,15.1803939022
19,15.7249082913,15.4941124941
20,16.0509774927,15.5914333924
21,16.2358789382,15.6797606876
22,16.2570051128,15.7680449196
23,16.2913327291,15.9735137421
24,16.5471230092,16.0886915294
25,16.5601864071,16.1869040818
26,16.9135482009,16.2761876152
27,17.4138877312,16.7207271063
28,17.6944394147,16.7646128545
29,17.8550818722,16.9784227785
30,18.1575860927,17.1076167538
31,18.1575860927,17.1301887044
32,18.1799998741,17.2483393159
33,18.2993237161,17.2858718664
34,18.3846464111,17.3711945614
35,18.4365611782,17.5485102391
36,18.5683585071,17.6468789871
37,18.7473796766,17.8553417161
38,18.7517746601,17.8597366996
39,18.8779699302,18.0176419042
40,18.8829380814,18.089890426
41,18.8993587451,18.1704055282
42,18.8993587451,18.2776107763
43,18.9802802944,18.3585323256
44,18.9802802944,18.4557229245
45,18.9994324404,18.4557229245
46,18.9994324404,18.4557229245
47,18.9994324404,18.4571874064
48,19.0414122438,18.5528123084
49,19.1034908438,18.6346856279
50,19.2331696168,18.7396095162
51,19.2331696168,18.7659520304
52,19.2893888333,18.8533922786
53,19.2893888333,18.8533922786
54,19.3778651808,19.035213637
55,19.4503429169,19.035213637
56,19.4618487251,19.0467194452
57,19.5045673198,19.08943804
58,19.6542266041,19.2390973243
59,19.6572099206,19.2420806407
60,19.7030695421,19.2853891386
61,19.7030695421,19.30138893
62,19.7030695421,19.3094898546
63,19.7893756018,19.3456841121
64,19.867893824,19.4268908696
65,19.9543218018,19.4268908696
66,20.0106518199,19.4444397662
67,20.1199484072,19.4611877149
68,20.1288015838,19.6487557362
69,20.1449521686,19.6487557362
70,20.1465866712,19.7635288515
71,20.1465866712,19.7635288515
72,20.1465866712,19.7635288515
73,20.1465866712,19.76870736
74,20.1465866712,19.8896106581
75,20.1465866712,19.9358821812
76,20.2156832586,20.0952991024
77,20.3030470643,20.1213507949
78,20.3030470643,20.1213507949
79,20.3414879023,20.157006623
80,20.3414879023,20.157006623
81,20.3414879023,20.157006623
82,20.3474080758,20.1629267965
83,20.3589093816,20.1744281023
84,20.3589093816,20.1744281023
85,20.3631684772,20.1786871979
86,20.3631684772,20.1786871979
87,20.3857339766,20.1810465827
88,20.3857339766,20.2322892873
89,20.3972458424,20.261518666
90,20.3989052883,20.2631781119
91,20.3989052883,20.2631781119
92,20.3989052883,20.2631781119
93,20.3989052883,20.2949305891
94,20.3989052883,20.3084729483
95,20.3989052883,20.3084729483
96,20.3989052883,20.3084729483
97,20.5523481646,20.3532259928
98,20.6255660903,20.3772387322
99,20.6255660903,20.3772387322
100,20.6255660903,20.3772387322
101,20.7121002387,20.3772387322
102,20.7121002387,20.3772387322
103,20.7121002387,20.3772387322
104,20.7121002387,20.3772387322
105,20.7121002387,20.3772387322
106,20.7121002387,20.3772387322
107,20.7508911437,20.5434892512
108,20.7508911437,20.5628560252
109,20.7508911437,20.5628560252
110,20.7508911437,20.5628560252
111,20.8192719064,20.5797478088
