Time(Iteration),CAB_User,CAB,LinUCB
0,5.625938799,5.625938799,5.90277010168
1,11.0272513444,11.0272513444,11.1960545452
2,15.152868988,15.152868988,15.4308066605
3,17.8418410236,17.8418410236,17.9347133327
4,20.9173488165,20.9173488165,21.341418354
5,24.1106858517,24.1106858517,23.8640335217
6,27.028108853,27.028108853,26.8377589076
7,29.3760472064,29.3760472064,29.0218181211
8,30.7155414935,30.7155414935,30.9199688831
9,32.3942783358,32.4599442043,33.6388752967
10,34.1618574224,34.1873002736,34.971315818
11,35.9045520265,35.7928984732,36.6775180862
12,36.7596214289,36.6286615251,38.2325068744
13,38.7133795191,38.689012238,38.9613093392
14,40.3749147915,39.9028865055,40.0217521457
15,41.3598614149,40.6116610895,40.5368233546
16,41.8940748959,41.1558740989,41.2047679175
17,42.4867549852,41.7485541882,41.434612722
18,43.4466118231,42.7719125232,42.1385355737
19,44.0185243985,43.3297525169,42.4100710924
20,44.4660212369,43.7129406543,42.841233745
21,44.767771195,44.2465506575,43.0088369087
22,45.3207879363,44.7894815894,43.4320637956
23,45.9396540294,45.4961628309,43.9701405508
24,46.2272916132,46.0025961045,44.2721216706
25,46.4426601708,46.2722799786,44.5875952342
26,46.9557622121,46.8849157742,45.0912500584
27,47.3182780895,47.6811331731,45.4195249236
28,47.7812599036,48.1690962785,45.7736518985
29,48.0118622178,48.4504833588,46.3322765993
30,48.0876528173,48.6679144574,46.704199949
31,48.6815924244,49.2325811382,46.9570363092
32,48.8413146587,49.4108879622,47.1351717468
33,49.1995134367,49.908397826,47.2484727975
34,49.7861206198,50.3640473281,47.6802460617
35,50.2589457493,50.9111105887,48.0404660529
36,50.585356048,51.450759223,48.3757977744
37,50.6598880244,51.5889248769,48.5138227987
38,50.7155207284,51.6800150254,48.5327365206
39,50.8718133649,51.7812112205,48.6143446405
40,51.1850578954,52.0247030805,48.8667103222
41,51.5513044466,52.3042405358,48.9028331819
42,51.8008983983,52.5745403686,49.1030253883
43,52.0362611035,52.6418473614,49.1501248339
44,52.2158159632,52.8007314666,49.2794858661
45,52.4216582751,52.992477817,49.3417333915
46,52.6655424098,53.2363619516,49.5459778305
47,53.0794841372,53.5171183677,49.7693592468
48,53.3547769134,53.8978334096,50.0213356776
49,53.4262376689,53.9611299195,50.0213356776
50,53.5975924355,54.1260830086,50.0835248656
51,54.0342134722,54.5164499725,50.2804239257
52,54.2256747989,54.8124479835,50.3489104966
53,54.408727784,54.9955009685,50.4588234881
54,54.5374676484,55.124240833,50.6641244039
55,54.7478605987,55.3806791538,50.8855599634
56,54.8987261392,55.4889643574,50.9489999384
57,55.197966802,55.7290264454,51.164165031
58,55.3282815285,55.829071201,51.3621489011
59,55.4551542222,55.9492356914,51.4928010626
60,55.6123158848,56.0774662041,51.559942065
61,55.7433254778,56.2084757971,51.6975610324
62,55.7601588759,56.2173685461,51.7143944305
63,55.8236164851,56.2808261553,51.7413408329
64,55.9646899192,56.4240503315,51.7963676467
65,55.987570744,56.4532673476,51.7963676467
66,56.111157358,56.5768539615,51.9234714622
67,56.2975385793,56.8096350843,52.1474745236
68,56.5753049832,57.0874014881,52.3572031719
69,56.8516314258,57.4238085759,52.5762531133
70,57.0379976004,57.4940698041,52.6279835524
71,57.2322533496,57.6480920349,52.6568859715
72,57.277587394,57.7030144366,52.7041357249
73,57.4103652125,57.772917822,52.7346011589
74,57.4181987062,57.8654274786,52.7966875581
75,57.7103884657,57.952929669,52.9216853936
76,57.806234032,58.0567556277,53.0204372183
