Time(Iteration),CAB_originalCoTheta,CAB_true_decreaseCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.977251202333,0.9698567379,0.9698567379,0.971280568053,,,,,,
1,0.94631340589,0.9442459366,0.925533044607,0.944973491586,,,,,,
2,0.924029875279,0.926999930323,0.899276054021,0.927615858452,,,,,,
3,0.904105833496,0.911508240856,0.885613244128,0.912935013066,,,,,,
4,0.878812653691,0.896903227257,0.863978942566,0.896782169302,,,,,,
5,0.856753250063,0.879142605208,0.847476576857,0.884570845644,,,,,,
6,0.838800137242,0.862652434113,0.827545530896,0.864939358871,,,,,,
7,0.819537388829,0.840990645535,0.81211784289,0.839420324501,,,,,,
8,0.781171249192,0.804284561965,0.771786655107,0.799280318165,,,,,,
9,0.760279321817,0.791003878277,0.756602540048,0.782811260972,,,,,,
10,0.750253831467,0.770119086324,0.740962434422,0.762531340846,,,,,,
11,0.734713814499,0.744358052728,0.720591708582,0.744475083287,,,,,,
