Time(Iteration),CAB_originalCoTheta,CABCoTheta,LinUCBCoTheta,CAB_nodecideCoTheta,CAB_noupdateCoTheta,,,,,,
0,0.971617631216,0.943659507912,0.976707282,0.943659507912,0.975308490473,,,,,,
1,0.950336443015,0.854328519897,0.950491620692,0.854328519897,0.954583113306,,,,,,
2,0.924687664194,0.805378530596,0.921663845297,0.805378530596,0.932028575787,,,,,,
3,0.90085518535,0.722506288027,0.900832497831,0.722506288027,0.917409445965,,,,,,
4,0.877333829468,0.6514245864,0.881361768224,0.6514245864,0.895362187407,,,,,,
5,0.86132781355,0.619547786798,0.854522183304,0.619547786798,0.872935792477,,,,,,
6,0.849322544154,0.602907564657,0.835509702766,0.602907564657,0.862607166993,,,,,,
7,0.823975095919,0.566640893922,0.814156721068,0.566640893922,0.848970078788,,,,,,
8,0.800709667125,0.526963070828,0.800689401011,0.526963070828,0.8367588102,,,,,,
9,0.788338997229,0.501309696056,0.780842464627,0.501309696056,0.819571832638,,,,,,
10,0.767218804033,0.482405353553,0.757672486701,0.482405353553,0.805482072253,,,,,,
11,0.758570371224,0.464592093127,0.746978411595,0.464592093127,0.795613268661,,,,,,
12,0.737121731673,0.458282967369,0.726672873873,0.458282967369,0.769544646971,,,,,,
13,0.72201670036,0.4445867204,0.714002700103,0.4445867204,0.756809830671,,,,,,
14,0.706574262835,0.431478939313,0.701365403769,0.431478939313,0.747297005139,,,,,,
15,0.676210017564,0.417670451038,0.68037652033,0.417670451038,0.73304662245,,,,,,
16,0.668355162307,0.398849205203,0.674298034488,0.398849205203,0.725821718746,,,,,,
17,0.658407009135,0.390237076045,0.661338952903,0.390237076045,0.715665091656,,,,,,
18,0.645598528555,0.378509847667,0.640599275312,0.378509847667,0.697648273099,,,,,,
19,0.630928632015,0.374001724124,0.62930947964,0.374001724124,0.681142926086,,,,,,
20,0.62324122108,0.368456346739,0.616089888619,0.368456346739,0.665685369752,,,,,,
21,0.610615713091,0.363988302354,0.608489695054,0.363988302354,0.653392977841,,,,,,
22,0.601050413498,0.35809950091,0.594773571899,0.35809950091,0.648371953542,,,,,,
23,0.593493122744,0.352566188041,0.585186627509,0.352566188041,0.63958788152,,,,,,
24,0.585610089884,0.349814816324,0.576571958107,0.349814816324,0.621325102416,,,,,,
25,0.580882721974,0.346890665523,0.573240814728,0.346890665523,0.612129290747,,,,,,
26,0.578910167323,0.342660589171,0.568232266701,0.342660589171,0.60503181361,,,,,,
27,0.572518412011,0.324350431574,0.561149762096,0.324350431574,0.583618973065,,,,,,
28,0.561100884933,0.307011285239,0.555205057988,0.307011285239,0.575509964006,,,,,,
29,0.549703416222,0.297506716106,0.54482252436,0.297506716106,0.564225404572,,,,,,
30,0.542538262781,0.291039350384,0.539879766186,0.291039350384,0.5508976697,,,,,,
31,0.532495322232,0.279995849966,0.531093294884,0.279995849966,0.543788022712,,,,,,
32,0.525936439657,0.271569259904,0.52117900799,0.271569259904,0.536600238958,,,,,,
33,0.521230777308,0.266993505664,0.519092982997,0.266993505664,0.529688121781,,,,,,
