Time(Iteration),CAB_original,LinUCB
0,5.6259126274,5.6259126274
1,9.89883615998,9.89883615998
2,13.6146207958,13.6146207958
3,16.758930493,16.758930493
4,21.2689708493,21.2689708493
5,24.7500648155,24.7500648155
6,27.1875889864,27.1875889864
7,30.0369345724,30.0369345724
8,32.0955953162,32.0955953162
9,34.3929354195,34.3929354195
10,36.6822464332,36.6822464332
11,38.4365600878,38.4365600878
12,40.9520707921,40.9520707921
13,42.3544986054,42.3544986054
14,43.598704723,43.598704723
15,45.0435003668,45.0435003668
16,46.2325074133,46.2325074133
17,47.8919028207,47.8919028207
18,49.009877846,49.009877846
19,49.6912396051,49.6912396051
20,50.3203035124,50.3203035124
21,50.9933952494,50.9933952494
22,51.7696827833,51.7696827833
23,52.4169349072,52.4169349072
24,52.6449258919,52.6449258919
25,53.2468703101,53.2468703101
26,53.6559571305,53.6559571305
27,53.9504000126,53.9504000126
28,54.4654216151,54.4654216151
29,54.9450406813,54.9450406813
30,55.5542682583,55.5542682583
31,56.2389082846,56.2389082846
32,56.7111755602,56.7111755602
33,57.5476185744,57.5476185744
34,57.7278531887,57.7278531887
35,58.2724041846,58.2724041846
36,58.3891883042,58.3891883042
37,58.6022401914,58.6022401914
38,58.8043677458,58.8043677458
39,59.1364529642,59.1364529642
40,59.3174073277,59.3174073277
41,59.4776316975,59.4776316975
42,59.6125590067,59.6125590067
43,59.82058014,59.82058014
44,59.9722820441,59.9722820441
45,60.154585987,60.154585987
46,60.3414070265,60.3414070265
47,60.4199655847,60.4199655847
48,60.6745320736,60.6745320736
49,61.0134468113,61.0134468113
50,61.3381938434,61.3381938434
51,61.608617173,61.608617173
52,62.1421850653,62.1421850653
53,62.2899056415,62.2899056415
54,62.6316275359,62.6316275359
55,62.8277853754,62.8277853754
56,63.2475808936,63.2475808936
57,63.4249576389,63.4249576389
58,63.6426959911,63.6426959911
59,63.7968492776,63.7968492776
60,64.009243795,64.009243795
61,64.0276811985,64.0276811985
62,64.0672329484,64.0672329484
63,64.3584351,64.3584351
64,64.5897932477,64.5897932477
65,64.7625269898,64.7625269898
66,64.9802855555,64.9802855555
67,65.0679214698,65.0679214698
68,65.3666489187,65.3666489187
69,65.5097547605,65.5097547605
70,65.5855605967,65.5855605967
71,65.5983079421,65.5983079421
72,65.6483964005,65.6483964005
73,65.7838112817,65.7838112817
74,65.7838112817,65.7838112817
75,65.8138707818,65.8138707818
76,65.8483085777,65.8483085777
77,66.119033579,66.119033579
78,66.3939287381,66.3939287381
79,66.3939287381,66.3939287381
80,66.4152630138,66.4152630138
81,66.5339994107,66.5339994107
82,66.6163241692,66.6163241692
83,66.6636775308,66.6636775308
84,66.722212441,66.722212441
85,66.722212441,66.722212441
86,66.7568201725,66.7568201725
87,66.9773430457,66.9773430457
88,67.0960605186,67.0960605186
89,67.1128320363,67.1128320363
90,67.2777439245,67.2777439245
91,67.371410718,67.371410718
92,67.4465625704,67.4465625704
93,67.464020548,67.464020548
94,67.4790624335,67.4790624335
95,67.4915756607,67.4915756607
96,67.5334511674,67.5334511674
97,67.5747408056,67.5747408056
98,67.6096040603,67.6096040603
99,67.7001950866,67.7001950866
100,67.7258810276,67.7258810276
101,67.7258810276,67.7258810276
102,67.8452410558,67.8452410558
103,67.855782194,67.855782194
104,68.0168592612,68.0168592612
105,68.0563111663,68.0563111663
106,68.1105607801,68.1105607801
107,68.1106995017,68.1106995017
108,68.1252904856,68.1252904856
109,68.1442192797,68.1442192797
110,68.1629175282,68.1629175282
111,68.2142541593,68.2142541593
112,68.2652770157,68.2652770157
113,68.3397031435,68.3397031435
114,68.4402682293,68.4402682293
115,68.4402682293,68.4402682293
116,68.4402682293,68.4402682293
117,68.4765544214,68.4765544214
118,68.6362975352,68.6362975352
119,68.6362975352,68.6362975352
120,68.6362975352,68.6362975352
121,68.6807781148,68.6807781148
122,68.7032734935,68.7032734935
123,68.7283874876,68.7283874876
124,68.8058896305,68.8058896305
125,69.0031661897,69.0031661897
126,69.0105045876,69.0105045876
127,69.0741140985,69.0741140985
128,69.1045945495,69.1045945495
129,69.1135949117,69.1135949117
130,69.1390266521,69.1390266521
131,69.1422004086,69.1390266521
132,69.1716463537,69.1684725972
133,69.1716463537,69.1684725972
134,69.1716463537,69.1684725972
