Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB
0,6.64954851357,5.72639757814,5.72639757814,5.71674628016
1,11.8029007785,10.7240306375,8.86432521999,11.0353893591
2,15.2306491824,13.1359825939,10.4178415872,15.0579083918
3,19.9143951567,16.2330578849,12.0659137647,17.4266444997
4,23.1279283861,18.8773580209,13.9828531377,20.1386880861
5,26.51251388,21.1247028048,15.4726205529,23.124997911
6,29.1431784348,23.9679950524,17.035860998,24.6718115416
7,30.9521162474,26.4535380505,17.9744118292,25.3578164455
8,32.3455587644,28.0143802387,18.6582833489,27.2794165112
9,33.9490890887,29.5033023011,19.236003171,28.6154260675
10,34.9148693174,30.6408277648,19.7842454221,29.8224339676
11,36.6115063463,32.774079171,20.8729187597,31.9391902537
12,37.7315992544,33.7637826713,21.6286665555,33.2172900504
13,39.0189922,34.6476540571,22.2112466008,34.4960534003
14,39.6275586154,36.1817331128,22.5343476798,35.6887153378
15,40.5219244585,37.0244627456,22.9827261198,36.4496487406
16,42.168330058,38.2971955445,23.2942637248,37.861013548
17,43.2813331827,39.1481223523,23.9092994464,38.6216523103
18,44.5435434439,40.0233122966,24.3007568322,39.5685583086
19,45.0157380588,40.4029538494,24.4027991612,40.0032018834
20,46.0052088393,41.4468577019,24.7786242613,40.7500145516
21,46.257662398,41.9851030056,25.0142000252,41.2900052652
22,46.9401455584,42.3215266949,25.2527089848,41.9058496473
23,47.4551003286,42.9637881982,25.3987512384,42.206086764
24,48.6985672198,44.2124194792,25.6501815886,42.8610858824
25,49.179674718,45.3872410037,25.8574613305,43.2467145048
26,49.9852965373,45.9656707835,25.9976042805,43.79529709
27,50.5968697751,46.4421275001,26.0941972784,44.1635524312
28,50.8077355687,46.6772499642,26.1561675076,44.4933030948
29,51.4984216285,46.9609371099,26.4109658778,44.8237003451
30,51.8539131946,47.8101512976,26.6748716942,45.5729385191
31,52.201259984,48.2383518958,26.7745794375,45.7150398399
32,52.4875392983,48.5521077684,26.837207619,46.0918493654
33,53.2518978941,48.9894724587,27.0039607061,46.416060905
34,53.4978944397,49.3564784638,27.08861199,46.65204775
35,54.1303737128,49.6498376794,27.2008554308,47.0380041427
36,54.4272906767,50.1264281447,27.4116464017,47.2885865131
37,54.8046842485,50.3669334893,27.5817373838,47.5918343228
38,55.5301615385,50.8455378828,27.7511495487,48.0777155642
39,55.9290375027,51.1136618304,27.9044853853,48.2916020237
40,56.2799262972,51.483469375,28.0014740971,48.412152605
41,56.4770023797,51.7636288811,28.1133320509,48.721277517
42,56.6214470857,52.1683803666,28.2814589616,48.9591501215
43,56.9356282625,52.28447966,28.3109218765,49.076136659
44,57.1418492982,52.5673747081,28.4017110815,49.1735279891
45,57.2411295928,52.8297613037,28.7147031328,49.5204752079
46,57.335545751,53.2444015967,28.7668460776,49.6529420901
47,57.4987077465,53.5377381558,28.9034796664,49.9940963161
48,57.9520907261,53.8761640478,29.3952445211,50.4491382709
49,58.0971104626,54.0082254184,29.3973287548,50.4512225045
50,58.3508746237,54.1173765695,29.3999533879,50.6091420631
51,58.4650424929,54.2913850697,29.4861885203,50.6953771955
52,59.0714857997,54.6646302429,29.7719350271,51.1925885113
53,59.1906128882,54.8663184126,29.8331589367,51.2570305515
54,59.3285599338,54.9756756679,29.839148506,51.3488876191
55,59.3998359547,55.0201498781,29.850554194,51.360293307
56,59.8119510984,55.4608107904,30.2584327537,51.7913286028
57,59.8579400412,55.6421804203,30.3064197354,51.851669375
58,60.0093005516,55.805049353,30.3576241523,52.0209653667
59,60.0093005516,55.8122104047,30.4048447885,52.0209653667
60,60.1154984379,56.0299762159,30.5143977311,52.2026917445
61,60.266220607,56.2391711354,30.6483471697,52.3701179324
62,60.3930924685,56.4030199987,30.7858573527,52.4292019985
63,60.8293615756,56.7157698455,31.0434793443,52.6361153613
64,61.0514072424,56.9281401189,31.2124964823,52.8062274675
65,61.1213551663,57.0891968363,31.2833967048,52.8941339505
66,61.1760697834,57.1557632945,31.32010126,52.9594845074
67,61.3770928587,57.1603982647,31.3207204446,53.1196194086
68,61.4141236665,57.219281785,31.3417260545,53.1904607506
69,61.4326122497,57.3811294938,31.3525889892,53.2066434018
70,61.4507363138,57.4391010459,31.3960063821,53.2489957958
71,61.5295333584,57.6750573275,31.4947753462,53.4124945621
72,61.6272643437,57.7389575851,31.5586756038,53.4923623168
73,61.6535232123,57.8525945889,31.6122200043,53.5459067173
74,61.8624420694,58.1961502754,31.6713808951,53.6475171911
75,62.1296479424,58.4247238768,31.7891553752,53.8467417336
