Time(Iteration),CAB_5_2,CAB_3_1,CAB_original,CAB_optimal,LinUCB
86,105.720607838,97.3180144492,49.5082391174,32.8262283818,50.8210290105
87,105.912134172,98.1522143669,49.5657483977,32.8304809816,50.9221742428
88,106.199087804,98.7778465116,49.5861418944,32.8508744783,50.9437146783
89,106.570540381,99.4898330675,49.664180752,32.8922180565,50.9736848648
90,107.107979638,101.451801294,49.6823435013,32.8922180565,51.0192708208
91,107.599426616,102.995074686,49.7544661116,32.9643406668,51.0913934311
92,108.040612708,104.119132894,49.8021199264,32.9731367269,51.1793330933
93,108.890502876,105.066599179,49.860551,33.014311229,51.2377641669
94,109.22444837,106.356963279,49.8788348406,33.0654069637,51.3563384927
95,109.70257082,107.113656385,49.9805336294,33.0654069637,51.555974124
96,110.369669334,108.542328259,50.0777304828,33.1252272911,51.6168135133
97,110.855039044,109.390854049,50.1347762965,33.1371308293,51.6738593271
98,111.059128034,110.027571817,50.2462454749,33.2967059142,51.7649767872
99,111.63150375,110.745764027,50.299821035,33.3747703803,51.8504352677
100,112.03415227,112.055972054,50.3930661547,33.396325384,51.9030427963
101,112.610677079,112.088745069,50.4234369858,33.4266962151,51.9313777502
102,113.31198027,112.127375311,50.5413679846,33.4266962151,52.1536600233
103,113.756918253,112.136264546,50.5502572198,33.4266962151,52.1758834845
104,113.94146855,112.148035168,50.562027842,33.4384668374,52.2162933973
105,114.345166537,112.148035168,50.562027842,33.4711298735,52.2786130513
106,114.472443075,112.182832805,50.6090256644,33.5059275107,52.3705171785
107,114.872596664,112.252882145,50.6955943537,33.5265425487,52.419409672
108,115.126691494,112.252882145,50.6955943537,33.5265425487,52.5071727338
109,115.575581677,112.32293536,50.710398107,33.5413463019,52.5291410295
110,116.051579324,112.341845455,50.7816718739,33.5628700864,52.5733450952
111,116.384259644,112.351670038,50.8074518453,33.5850944189,52.6273593436
112,116.620924625,112.358090864,50.8567082354,33.6197721851,52.6493299316
113,116.996466461,112.418088212,50.9077052824,33.6797695333,52.7093272798
114,117.272624546,112.474183375,50.9527385183,33.7248027692,52.7543605156
115,117.776286599,112.534660789,50.9931387176,33.7640393358,52.8082409078
116,118.560702384,112.541880866,51.0003587945,33.872384117,52.9436390441
117,119.023385462,112.595902284,51.0543802121,33.872384117,52.9436390441
118,119.464207211,112.597818489,51.0726604511,33.8743003225,52.9619192832
119,120.461805828,112.60240067,51.0772426318,33.8788825032,52.9691092596
120,120.771160729,112.614752184,51.0772426318,33.8871478239,52.9768007958
121,121.958599932,112.649994577,51.1124850245,33.9223902166,53.0032834279
122,122.807819585,112.678262006,51.1124850245,33.9223902166,53.0154500121
123,123.772823754,112.680564877,51.114787895,33.924693087,53.0177528825
124,124.2902753,112.758908994,51.1322589042,33.943984771,53.0636263851
125,125.129110839,112.772349372,51.2638136371,33.969861597,53.0675246111
126,126.150091393,112.799903077,51.3036898188,34.0097377787,53.1074007928
127,127.244870687,112.818993104,51.3262157422,34.0376926029,53.1624414939
128,127.752451124,112.838383388,51.3447285273,34.0990017785,53.180954279
129,128.305845414,112.851853979,51.3581991189,34.1124723701,53.1952460858
130,129.17876329,112.894297096,51.4666987134,34.2804101714,53.284005858
131,130.581462284,112.8978887,51.4702903171,34.284001775,53.2875974617
132,131.813389467,112.900405489,51.4702903171,34.284001775,53.2901142503
133,131.864342183,112.967284307,51.5353181411,34.3716005929,53.3298492322
134,131.898158722,113.01436488,51.5806106699,34.4054171316,53.3686067905
135,131.898158722,113.01436488,51.5912566399,34.4314837976,53.3686067905
136,131.910183592,113.02130289,51.6019301299,34.44303657,53.3801595629
137,131.950951064,113.108426551,51.6681223871,34.4533894045,53.4290405282
138,131.955869745,113.113345232,51.6730410684,34.4737954666,53.4339592095
139,131.957093619,113.159002243,51.7186980798,34.503608365,53.4783923474
140,131.990619784,113.17489507,51.7206380213,34.5055483065,53.4817556459
141,131.993226991,113.250178064,51.7595358798,34.5373930102,53.5332959394
142,131.99570584,113.267249575,51.7595358798,34.5373930102,53.5503674498
143,132.015215773,113.278836791,51.7909322057,34.5449325262,53.6264590307
144,132.034575158,113.298196176,51.7921560792,34.5655157849,53.6274406217
145,132.037897713,113.303338738,51.8035387191,34.5688383399,53.6292606286
146,132.045929402,113.303338738,51.8041020548,34.5738382892,53.6298239643
147,132.071742737,113.345477059,51.8154549532,34.5909703345,53.6699846068
148,132.091288875,113.365023197,51.8387757845,34.5947450274,53.7042673627
149,132.098974637,113.372708959,51.8441290498,34.6000982927,53.7847268108
150,132.128458471,113.438835166,51.8786546582,34.6005548955,53.8192524191
151,132.132366106,113.457196343,51.8988923176,34.6044625304,53.8276926704
152,132.132366106,113.498818849,51.9432475944,34.6306221486,53.8276926704
153,132.139211016,113.506468225,52.0658887505,34.6563768475,53.9932971994
154,132.139211016,113.506468225,52.0658887505,34.6563768475,53.9932971994
155,132.139268642,113.549515974,52.1033066474,34.6994822216,54.0364025735
156,132.139268642,113.589405786,52.1033066474,34.7049785099,54.0364025735
157,132.139268642,113.644632332,52.1033066474,34.7049785099,54.065005538
158,132.139268642,113.644632332,52.1159235077,34.7175953702,54.065005538
159,132.14340353,113.706622546,52.1333873362,34.7391940875,54.0845575151
160,132.165492666,113.731514168,52.2288611375,34.7944479677,54.1389666982
161,132.165492666,113.731514168,52.2288611375,34.7944479677,54.1389666982
162,132.181197014,113.747218517,52.2320936216,34.8101523162,54.1546710467
163,132.191617577,113.770379569,52.2460249548,34.831646008,54.1546710467
164,132.215368561,113.772851339,52.2625676665,34.8472120944,54.1546710467
165,132.267599444,113.780753397,52.2704697247,34.8472120944,54.17798259
166,132.294112832,113.826069193,52.2856243785,34.856331333,54.17798259
167,132.332278967,113.864875543,52.3255009506,34.856331333,54.2184993769
168,132.332278967,113.864875543,52.3255009506,34.856331333,54.2663651896
169,132.399533883,113.926107218,52.3469997683,34.856331333,54.2663651896
170,132.468813511,113.937878177,52.4280503561,34.8851217397,54.2833846373
171,132.479405986,113.975484521,52.4414846853,34.8985560688,54.2968189664
172,132.479405986,113.975484521,52.4497180459,34.9003640443,54.2986269419
173,132.514681027,113.996519868,52.4602429071,34.9130775172,54.3106820173
174,132.514681027,113.996519868,52.4602429071,34.9130775172,54.3106820173
175,132.514681027,114.02597523,52.5078144923,34.9605191513,54.3582536024
176,132.52228425,114.033578454,52.513465098,34.9681223745,54.3658568256
177,132.527224107,114.0721608,52.523576376,34.9732871186,54.3805259023
178,132.586341477,114.134868777,52.5527418398,35.0024525823,54.4178044286
179,132.587752176,114.136279477,52.5541525395,35.003863282,54.4192151284
180,132.627753273,114.176280574,52.5612241739,35.0109349165,54.4408605091
181,132.646227922,114.201633471,52.6088063285,35.0585170711,54.5063893727
182,132.738093329,114.288378476,52.621426567,35.0711373096,54.5190096112
183,132.785165289,114.335450435,52.6266208083,35.1182092691,54.5839282137
184,132.78781516,114.338100306,52.6292706796,35.1208591404,54.5860997014
185,132.805143281,114.384765312,52.6465988002,35.1428030798,54.5974200542
186,132.820667528,114.400289559,52.673238182,35.1636639496,54.6198952217
187,132.860723585,114.403020179,52.793731158,35.2274862481,54.6457152283
188,132.860723585,114.403020179,52.793731158,35.2274862481,54.6469517226
189,132.881865549,114.418112207,52.8745382654,35.2907432103,54.6716286981
190,132.892347268,114.428593926,52.8939234628,35.301224929,54.6716286981
191,132.910235317,114.450167839,52.8939234628,35.301224929,54.6932026107
192,132.921003074,114.45988152,52.9623664706,35.3744567489,54.7029162916
193,132.931685617,114.470564062,53.0069819575,35.4190722358,54.755671768
194,132.932646402,114.471524847,53.0069819575,35.4200330211,54.7566325532
195,132.942470385,114.491007337,53.0132801019,35.4200330211,54.7824131873
196,132.942470385,114.491007337,53.0725095063,35.4792624255,54.8416425917
197,132.950922687,114.499459639,53.0725095063,35.49121216,54.9137618203
198,132.965120844,114.521310312,53.100445929,35.530744384,54.9319460728
199,132.972631781,114.521310312,53.100445929,35.6175597103,55.0280935156
