Time(Iteration),CAB_original
0,1.45682871858
1,2.77991511365
2,3.96628398496
3,5.31445233855
4,6.57173671555
5,7.91019605401
6,8.87038501959
7,9.81989959294
8,10.6954892457
9,11.4594070124
10,12.4469380867
11,13.1963380841
12,13.9350038189
13,14.5305809581
14,15.3389276381
15,15.8614620867
16,16.3753068455
17,16.7189999592
18,17.0035160855
19,17.7048245575
20,18.1057421627
21,18.6433698996
22,19.2589768729
23,19.660543685
24,20.0819525493
25,20.3428114055
26,20.7379537928
27,21.101378532
28,21.5112913772
29,21.8404277282
30,22.1612723042
31,22.4025273
32,22.6723127221
33,22.879589038
34,22.9384876429
35,23.1352199661
36,23.2861458666
37,23.3525747717
38,23.452219444
39,23.5221190849
40,23.6630017926
41,23.7603565002
42,23.8752953175
43,24.0216031535
44,24.0962166755
45,24.2045544865
46,24.2819064342
47,24.3434606482
48,24.408116126
49,24.4847274985
50,24.5957638167
51,24.7082751183
52,24.7487687748
53,24.8544833684
54,24.9261388645
55,25.0049012518
56,25.0550559772
57,25.1634943486
58,25.2304138827
59,25.2724273751
60,25.3179687979
61,25.4009909641
62,25.4879470027
63,25.5499942382
64,25.6188632022
65,25.67857701
66,25.7363239233
67,25.7798246323
68,25.8623323085
69,25.9035433187
70,25.9635717587
71,26.1044322218
72,26.1271418244
73,26.1466362536
74,26.1742710674
75,26.2277945842
76,26.2608604656
77,26.3821870855
78,26.4428348543
79,26.4820206655
80,26.5400180046
81,26.5700506681
82,26.5896726661
83,26.6378930292
84,26.7029839503
85,26.7491017268
86,26.8304925941
87,26.8539954827
88,26.8984096173
89,26.9466301789
90,26.9710432395
91,26.9982731455
92,27.0767304864
93,27.1147435665
94,27.145161121
95,27.1663848672
96,27.1966998941
97,27.2782474046
98,27.2914519765
99,27.3241231678
100,27.3732356688
101,27.3892479252
102,27.4517319544
103,27.4528500705
104,27.4848377719
105,27.5209839496
106,27.5333646151
107,27.556071301
108,27.6590293466
109,27.6804460933
110,27.6978949251
111,27.7359993696
112,27.8209712224
113,27.859395675
114,27.9355248542
115,28.046468419
116,28.0874416008
117,28.1172813933
118,28.1397546965
119,28.1723975101
120,28.2128769795
121,28.2822663977
122,28.3213778665
123,28.342185572
124,28.3868410332
125,28.4292399209
126,28.4578102241
127,28.5153024917
128,28.5619678031
129,28.6310435064
130,28.7177159946
