Time(Iteration),CABCoTheta,LinUCBCoTheta,,,,,,
0,0.34593139829,0.341633939644,,,,,,
1,0.33989505186,0.331343540119,,,,,,
2,0.33148951492,0.324491258669,,,,,,
3,0.325108390121,0.319813122224,,,,,,
4,0.320080175233,0.314642145179,,,,,,
5,0.311561013208,0.310691847405,,,,,,
6,0.306770446361,0.302004130879,,,,,,
7,0.298563449288,0.29305720357,,,,,,
8,0.29262831632,0.286911565244,,,,,,
9,0.288565613191,0.27849288561,,,,,,
10,0.283310946848,0.273882505549,,,,,,
11,0.278406688108,0.269429591785,,,,,,
12,0.272703397727,0.265239998313,,,,,,
13,0.267364536697,0.261252169907,,,,,,
