Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB,CAB_cbj,CAB_cbij
0,5.59256800066,7.08632724957,7.08632724957,6.98875214486,7.08632724957,7.08632724957
1,9.48589022201,10.8995231469,8.99331192077,11.8363550431,10.735706484,10.4566489229
2,12.9132628282,15.0710631394,11.2559901969,16.4528808879,14.0553449212,13.2521511558
3,16.0498760889,18.9442748823,13.3423638435,20.1937044198,17.2948529956,16.4012966988
4,18.4545306498,23.0876618323,14.4867972606,23.2341918559,19.5649742529,18.8885103031
5,20.6946209038,25.4760015805,16.0409277569,24.951690216,21.6462480036,20.3613928667
6,22.262270807,27.0782502627,16.6772797419,26.4872399377,23.6092473934,21.3048178167
7,23.9670855017,29.1477576194,17.879342779,28.1681782762,25.1254647829,22.6431102003
8,25.5345270938,30.6923011783,18.7884332514,29.8016580026,26.538501522,24.2140658347
9,27.1845461722,31.9101980427,19.1112196112,31.7124706287,27.7169020587,25.4050063878
10,29.3354700252,33.3598609668,19.5157796917,33.610054109,29.3317822643,26.216921088
11,31.6161067248,35.6935992594,20.3632531322,35.3418044411,31.1126914414,28.1773207283
12,32.5870826173,36.5253287956,20.7110516623,36.3644720584,32.1620621339,28.9809099866
13,33.4559732887,37.2104822742,21.5414198432,36.6984021465,32.9771473586,29.8947555374
14,34.231970122,38.4742693926,21.9687550861,37.7765891299,33.3787126027,30.2927647181
15,35.5890938804,39.1116711156,22.6234428595,38.754227963,33.9621281998,30.9692201281
16,36.2956036958,40.1439943325,22.967812227,39.564194536,34.7754381628,31.6613504149
17,37.1718856793,40.8648595355,23.3652097732,40.2164426221,35.3910900831,32.3435947879
18,38.3524142531,41.6704780757,23.6930673082,41.623159024,36.478722358,33.275169651
19,39.0870593241,42.3106037452,23.9450058591,42.4784566885,36.8535387653,33.7573753305
20,39.6304189481,42.9640137805,24.3728433639,42.8402629057,37.4777941549,34.0358314719
21,40.2704465815,43.3362671486,24.4782111352,43.0390314675,37.705629048,34.3515745183
22,40.861141955,44.0063830967,25.2841690756,43.8932495196,38.6565856437,35.4167816897
23,41.3895811721,44.3347685399,25.4991684031,44.6906968065,38.9368918872,35.7558725827
24,42.1357266101,44.7159906393,25.8367617742,45.308787225,39.2279756889,35.9559335829
