Time(Iteration),LinUCBCoTheta,,,,,,
0,0.34698568434,,,,,,
1,0.335233734624,,,,,,
2,0.328315008603,,,,,,
3,0.320180063541,,,,,,
4,0.30864574543,,,,,,
5,0.298932519708,,,,,,
6,0.291988802702,,,,,,
7,0.283291752047,,,,,,
8,0.270176133708,,,,,,
9,0.255748846179,,,,,,
10,0.241962725218,,,,,,
11,0.231753282904,,,,,,
12,0.220050377966,,,,,,
13,0.20946306875,,,,,,
14,0.20034923969,,,,,,
15,0.192043872914,,,,,,
16,0.184231295398,,,,,,
17,0.17870326266,,,,,,
18,0.168729496533,,,,,,
19,0.15802094966,,,,,,
20,0.146273385459,,,,,,
21,0.144131563341,,,,,,
22,0.13716491157,,,,,,
23,0.13230989177,,,,,,
24,0.129751714105,,,,,,
25,0.128396918623,,,,,,
26,0.124958933375,,,,,,
27,0.122051016563,,,,,,
28,0.117068110143,,,,,,
29,0.114593153006,,,,,,
30,0.112035246898,,,,,,
31,0.108946516236,,,,,,
32,0.105123467691,,,,,,
33,0.10226892513,,,,,,
34,0.101056198493,,,,,,
35,0.0995704318393,,,,,,
36,0.0980539030961,,,,,,
37,0.0963080607884,,,,,,
38,0.0917156057596,,,,,,
39,0.088499858429,,,,,,
40,0.0872553360605,,,,,,
41,0.086079924988,,,,,,
42,0.0846094357709,,,,,,
43,0.0827734972648,,,,,,
44,0.0805375601889,,,,,,
45,0.0797031256737,,,,,,
46,0.078615473425,,,,,,
47,0.0784075011045,,,,,,
48,0.076767724011,,,,,,
49,0.0750027118033,,,,,,
50,0.0737303040009,,,,,,
51,0.0733161757122,,,,,,
52,0.0722804561756,,,,,,
53,0.0709466971577,,,,,,
54,0.0698340393348,,,,,,
55,0.0687594297064,,,,,,
56,0.0679781644109,,,,,,
57,0.0675423802713,,,,,,
58,0.0672418569007,,,,,,
59,0.0665941207176,,,,,,
60,0.0659717036744,,,,,,
61,0.0654304475919,,,,,,
62,0.0643855945172,,,,,,
63,0.0637790478991,,,,,,
64,0.0629091636672,,,,,,
65,0.0625441043729,,,,,,
66,0.0622568642196,,,,,,
67,0.061715600442,,,,,,
68,0.0612989597054,,,,,,
69,0.0608767057112,,,,,,
70,0.0601015300417,,,,,,
71,0.0593192206504,,,,,,
