Time(Iteration),CABCoTheta,CAB_originalCoTheta,LinUCBCoTheta,,,,,,
0,0.976280780585,0.978431196634,0.98443137753,,,,,,
1,0.94225914436,0.960625158172,0.964546828842,,,,,,
2,0.92059559983,0.945104086746,0.934736101697,,,,,,
3,0.890390782113,0.920684833829,0.908380869644,,,,,,
4,0.871424955692,0.891722011547,0.884509810999,,,,,,
5,0.836551460031,0.861065377374,0.859507264619,,,,,,
6,0.819748705817,0.830305196184,0.838050461595,,,,,,
7,0.803473835535,0.813488139554,0.814428870048,,,,,,
8,0.785870418815,0.799815732301,0.794421105041,,,,,,
9,0.767755800255,0.781378258604,0.779015666833,,,,,,
10,0.758215531139,0.76607087335,0.762462066387,,,,,,
11,0.745280989832,0.749090264443,0.745199876628,,,,,,
12,0.733900512136,0.723276584831,0.725553402895,,,,,,
13,0.714816184164,0.701199814449,0.706281899245,,,,,,
14,0.695865632589,0.685775590821,0.690562893616,,,,,,
15,0.685504832439,0.67474252822,0.681193879597,,,,,,
16,0.670582172275,0.66083001028,0.668403760817,,,,,,
17,0.663206337236,0.64612455185,0.655097093226,,,,,,
18,0.655259252916,0.634573603493,0.647136749563,,,,,,
19,0.644829701998,0.624491423154,0.632628939752,,,,,,
20,0.635796472416,0.615905717072,0.617625657041,,,,,,
21,0.631529148609,0.604380936389,0.60118286637,,,,,,
22,0.62207350077,0.592129592784,0.59116602684,,,,,,
23,0.612421730308,0.582682529476,0.58527579871,,,,,,
24,0.604204209955,0.578788880778,0.579386128259,,,,,,
25,0.595758452349,0.57194683844,0.570940012928,,,,,,
26,0.589004205902,0.566115857967,0.566657538637,,,,,,
27,0.585590908935,0.56129895584,0.562372874069,,,,,,
28,0.581882516179,0.558181797352,0.558755705422,,,,,,
29,0.57735702437,0.554934784069,0.55075016308,,,,,,
30,0.572321192495,0.540784877751,0.543264064717,,,,,,
31,0.568688643459,0.53325318378,0.53363827826,,,,,,
32,0.564238014065,0.527872961622,0.524579479115,,,,,,
33,0.554446724841,0.522234143835,0.519160857055,,,,,,
34,0.550528599546,0.519648329579,0.516304339495,,,,,,
35,0.546412993982,0.509923873906,0.50971970781,,,,,,
36,0.545606455491,0.507742009773,0.508005236935,,,,,,
37,0.541960575334,0.498961519903,0.498090858573,,,,,,
38,0.538073209153,0.494467979118,0.489531816539,,,,,,
39,0.534544444362,0.49061201046,0.485455761287,,,,,,
40,0.531595625643,0.486987443371,0.480355755612,,,,,,
41,0.526498741107,0.483991776071,0.472933131828,,,,,,
42,0.523372808688,0.479323313509,0.465377586273,,,,,,
43,0.521596606799,0.473658961012,0.459270035403,,,,,,
44,0.511721783618,0.471499684029,0.454664957884,,,,,,
45,0.508703440345,0.468645887221,0.451458674558,,,,,,
46,0.50572310984,0.463379024079,0.449890619159,,,,,,
47,0.501459007035,0.460451694349,0.446572848658,,,,,,
48,0.497775932998,0.459358198772,0.442948583588,,,,,,
49,0.49303605246,0.452109368955,0.439304341414,,,,,,
50,0.48494073749,0.449785051856,0.436634986161,,,,,,
51,0.482512170173,0.448553661524,0.433757898962,,,,,,
52,0.480673148812,0.445145995151,0.428799608067,,,,,,
53,0.477240866732,0.443909716351,0.427754264253,,,,,,
54,0.473653582804,0.438233753671,0.420835255984,,,,,,
55,0.472567684222,0.436564111058,0.418531092577,,,,,,
56,0.471421453884,0.433984857349,0.413745697017,,,,,,
57,0.470095347219,0.429761232346,0.409335451922,,,,,,
58,0.468010296457,0.427662958572,0.407522289412,,,,,,
59,0.46620719181,0.423856551489,0.403284558394,,,,,,
60,0.463369504781,0.421990315766,0.400103087182,,,,,,
61,0.46252679292,0.417927941068,0.398475400285,,,,,,
62,0.459803749858,0.414981956115,0.397129250314,,,,,,
63,0.457425661728,0.412202781991,0.395372309624,,,,,,
64,0.456209665078,0.411283534232,0.393963007088,,,,,,
65,0.455056650768,0.408185656626,0.390500877734,,,,,,
66,0.451659265668,0.403859811199,0.386693060308,,,,,,
67,0.449311619867,0.402312702244,0.383028230329,,,,,,
68,0.44493439135,0.399938771482,0.379389764119,,,,,,
69,0.444451582191,0.398808352554,0.378141829827,,,,,,
70,0.44357258959,0.393381161868,0.370495203376,,,,,,
71,0.441880707517,0.392354999661,0.367812456409,,,,,,
72,0.441428061235,0.391456052906,0.365084218458,,,,,,
73,0.440423056927,0.389869383284,0.363822895224,,,,,,
74,0.439395754043,0.386505050968,0.363212835747,,,,,,
75,0.437503633396,0.385110422338,0.36232366859,,,,,,
76,0.436254445801,0.382828146011,0.356621399438,,,,,,
77,0.434254823416,0.380196558793,0.354463094627,,,,,,
78,0.432370868803,0.375617567254,0.349638044024,,,,,,
79,0.430126682089,0.374793648041,0.346620773711,,,,,,
80,0.429501124992,0.373312700933,0.342953246661,,,,,,
81,0.429222015245,0.370890834421,0.3398452799,,,,,,
82,0.428402000755,0.368352829143,0.338086430921,,,,,,
83,0.427786688236,0.366778025468,0.336248167068,,,,,,
84,0.426124038623,0.365981776521,0.333241399288,,,,,,
85,0.421212644307,0.365195004089,0.331973500713,,,,,,
86,0.419892174778,0.36409347726,0.330357019369,,,,,,
87,0.419150096305,0.362852426632,0.329702424251,,,,,,
88,0.418611614406,0.359895894133,0.327028698742,,,,,,
89,0.416506294118,0.35035291881,0.320392504493,,,,,,
90,0.414184173424,0.349077737351,0.318088443293,,,,,,
91,0.413717123122,0.348695719335,0.31747586858,,,,,,
92,0.412465341813,0.347020041918,0.314925683897,,,,,,
93,0.411530177173,0.343814995664,0.311526631903,,,,,,
94,0.410799008545,0.335675163031,0.302482632837,,,,,,
95,0.409302530457,0.331004110069,0.297567965202,,,,,,
96,0.408514729651,0.32929950942,0.294511471404,,,,,,
97,0.40672714253,0.322095402054,0.29016782253,,,,,,
98,0.406490487151,0.321658221817,0.289659741375,,,,,,
99,0.405349813565,0.321210956774,0.288773462947,,,,,,
100,0.404895011033,0.320211593136,0.287873189637,,,,,,
101,0.404262766886,0.317679773482,0.285292717882,,,,,,
102,0.402347729582,0.316504534631,0.283529659885,,,,,,
103,0.401988318342,0.31614665363,0.282333977303,,,,,,
104,0.401393461318,0.315222821849,0.277718731029,,,,,,
105,0.400767874723,0.31472295596,0.277138295117,,,,,,
106,0.399904814357,0.31278848061,0.273169783444,,,,,,
107,0.399348844545,0.312386131833,0.27295155293,,,,,,
108,0.399088634521,0.311746161898,0.27152374174,,,,,,
109,0.398659524516,0.311215729928,0.271494982754,,,,,,
110,0.39838356479,0.310712304776,0.270713133116,,,,,,
111,0.397856576493,0.310654895293,0.270645839897,,,,,,
112,0.396906445944,0.307101379079,0.267741972989,,,,,,
113,0.395689618221,0.306724377584,0.266655966397,,,,,,
114,0.394420884181,0.304026243523,0.26478940292,,,,,,
115,0.393661207293,0.303452700329,0.2641551371,,,,,,
116,0.392248581591,0.302636571761,0.263322911597,,,,,,
117,0.390723016956,0.301898638564,0.262106702637,,,,,,
118,0.390372620403,0.300472686632,0.260577166746,,,,,,
119,0.389775681608,0.299752268245,0.259591670977,,,,,,
120,0.388850606765,0.299160196222,0.259239916056,,,,,,
121,0.386409677578,0.297685332133,0.256181651634,,,,,,
122,0.385827172355,0.29702510819,0.255584040829,,,,,,
123,0.385786068702,0.296254833938,0.254531666138,,,,,,
124,0.385575318536,0.295944982657,0.253932961979,,,,,,
125,0.384532749193,0.295204969848,0.252976664413,,,,,,
126,0.383637483829,0.292527188218,0.251947419226,,,,,,
127,0.382483024223,0.290394378229,0.250124556253,,,,,,
128,0.381477139018,0.289422310689,0.249181131806,,,,,,
129,0.380910828338,0.289046213336,0.248827091745,,,,,,
130,0.380543117323,0.287072486089,0.247416869427,,,,,,
131,0.380327918261,0.286704184581,0.246916802582,,,,,,
132,0.378627591975,0.283708885523,0.244513213262,,,,,,
133,0.377749233725,0.283093417069,0.243420603899,,,,,,
134,0.377398486252,0.281322341591,0.241835938262,,,,,,
135,0.376964346524,0.277707873842,0.239862127327,,,,,,
136,0.376805834484,0.277193641934,0.23991889206,,,,,,
137,0.376055726755,0.27535655681,0.238702702924,,,,,,
138,0.375655651537,0.274271628286,0.238244792945,,,,,,
139,0.374558786777,0.273432849705,0.237552715705,,,,,,
140,0.373991116102,0.272669358534,0.236889289553,,,,,,
141,0.37345737597,0.271858499987,0.236307133642,,,,,,
142,0.373171716835,0.270236579064,0.235764678913,,,,,,
143,0.372731864133,0.270227556792,0.235832023019,,,,,,
144,0.370876477432,0.266891754931,0.2342763368,,,,,,
145,0.370487612535,0.265449008982,0.233011972998,,,,,,
146,0.369373739651,0.264970830995,0.232574874183,,,,,,
147,0.369412227774,0.261841794703,0.231036297801,,,,,,
148,0.369263480024,0.261648379577,0.230880443324,,,,,,
149,0.36769728347,0.261241620535,0.230343095956,,,,,,
150,0.367178407579,0.259473791526,0.229590474725,,,,,,
151,0.364403719059,0.259491408542,0.229420179482,,,,,,
152,0.363281970967,0.259103507726,0.228673808894,,,,,,
153,0.363053541972,0.256579361118,0.227510749393,,,,,,
154,0.362146116838,0.256415999747,0.227336125573,,,,,,
155,0.361849075517,0.24787411692,0.221886951007,,,,,,
156,0.359776334911,0.24719148863,0.221360648657,,,,,,
157,0.359822788949,0.247082503682,0.220622348738,,,,,,
158,0.359725639172,0.24528670241,0.220113936861,,,,,,
159,0.359685450727,0.244809909207,0.219655252818,,,,,,
160,0.359317255125,0.243517370686,0.218541548901,,,,,,
161,0.359021603519,0.242553092754,0.218481614781,,,,,,
162,0.358745298054,0.240766012478,0.216263902115,,,,,,
163,0.358627895946,0.240681149449,0.216176782326,,,,,,
164,0.358586696241,0.240103332128,0.215468047261,,,,,,
165,0.357992666134,0.23955300509,0.214676252524,,,,,,
166,0.357438564268,0.239251824753,0.214384233724,,,,,,
167,0.355694304582,0.239214683227,0.214369385441,,,,,,
168,0.355445187708,0.238001155232,0.213405874718,,,,,,
169,0.354924616358,0.237414217471,0.21304236356,,,,,,
170,0.354575875833,0.237357511043,0.212890000273,,,,,,
171,0.354165096298,0.236371119161,0.208945658561,,,,,,
172,0.350426464393,0.235298294981,0.207115274864,,,,,,
173,0.347881789572,0.235219732816,0.206751108663,,,,,,
174,0.34762421404,0.235324206814,0.206757141,,,,,,
175,0.346043725763,0.233801204836,0.205851088278,,,,,,
176,0.345685530365,0.232835508377,0.205026624076,,,,,,
177,0.345536991405,0.2326198397,0.204843732334,,,,,,
178,0.345489803679,0.232270732842,0.204178102443,,,,,,
179,0.342039126715,0.230858441647,0.203427390023,,,,,,
180,0.341776934299,0.230524707172,0.2031211309,,,,,,
181,0.341634594479,0.228082954339,0.199770348873,,,,,,
182,0.341549566688,0.227834095734,0.199598040453,,,,,,
183,0.340476342579,0.227415075631,0.199176090558,,,,,,
184,0.339909419314,0.226774369595,0.198615439649,,,,,,
185,0.339661386549,0.226648915371,0.197673543498,,,,,,
186,0.337423374827,0.226355578477,0.197380418065,,,,,,
187,0.336138804822,0.226176397387,0.197237640978,,,,,,
