Time(Iteration),CAB,LinUCB
0,5.03723821043,7.55850885548
1,7.92645969591,12.7928566059
2,10.9659083954,16.8204307311
3,14.2306687943,20.4774809051
4,17.0314479992,24.5615018395
5,19.4387779482,27.8594826151
6,21.2953407061,30.025107872
7,23.8473049109,32.8751827066
8,25.5724097771,34.4456475594
9,27.4588631362,36.9269017215
10,28.7533466296,39.0376297475
11,29.5038036492,39.8724574279
12,30.4946241912,40.9339200951
13,31.694042671,42.2176331638
14,32.6670742923,43.6471527839
15,33.9071671357,44.925172021
16,34.7633467643,45.7622171883
17,36.0142973948,46.2771222279
18,37.1764814496,47.9172813906
19,37.8242692484,48.8363806167
20,38.3552109756,50.2010444526
21,39.1461007724,51.0001096527
22,39.9418553762,51.8352545652
23,40.8784669856,52.8725174036
24,41.3050253107,53.7737233557
25,42.1427324786,54.9461233906
26,42.5250361538,55.3982340162
27,42.7483554741,55.8989323708
28,42.9715056908,56.5254418653
29,43.6489948848,57.688440874
30,43.9921729772,58.044095656
31,44.4385701267,58.7044879688
32,44.7765913542,59.4050045324
33,45.0804040651,59.6861664056
34,45.6484436608,60.6284851741
35,46.1818262518,61.0921110743
36,46.5086033345,62.0225446471
37,46.5338601942,62.4773755275
38,46.9030331385,62.6919369809
39,47.165219377,63.3225629756
40,47.3788331683,63.9977204392
41,47.6630860919,64.1549714108
42,47.8689999314,64.3860441414
43,48.1217542798,64.6381900122
44,48.1961425125,64.7996858504
45,48.3381727437,65.0237004089
46,48.576613992,65.121442394
47,48.9335705145,65.2102761618
48,49.4366605956,65.2383660587
49,49.550467765,65.4222320779
50,49.6747996602,65.6925541742
51,49.8467468197,65.8909055401
52,49.9422481353,65.9291368942
53,50.0975549969,66.1689397568
54,50.2565790909,66.3517459008
55,50.5360537815,66.3678378397
56,50.6032780383,66.3678378397
57,50.7653125648,66.518369309
58,50.8909036837,66.719245492
59,50.9445803919,66.9552713108
60,51.1142053265,67.1881923087
61,51.2927166556,67.3328381345
