Time(Iteration),CABDiff
0,7.44206435844
1,14.3441049335
2,19.1357272054
3,22.9156836366
4,27.4947987786
5,30.5753871031
6,32.7931369416
7,34.7980093678
8,36.324399296
9,38.3108904175
10,39.4320704669
11,41.5644543971
12,43.0188658934
13,43.8285447644
14,45.1957043127
15,45.9040920546
