Time(Iteration),CAB_original,CAB_decrease,CAB_optimal,LinUCB
0,5.87127875785,5.33560187465,5.33560187465,5.17328655477
1,10.7047844761,6.83962450257,6.83962450257,9.87273233242
2,15.1562196132,8.57922159711,8.57922159711,14.921399834
3,18.5356824946,10.2063819535,10.2063819535,18.4033118121
4,21.0448838784,12.2501708042,12.2501708042,21.000009703
5,22.8903918835,13.8010841025,13.8010841025,23.5262452934
6,25.0231473131,15.0210200639,15.0210200639,24.8902922748
7,28.0766744327,17.5089710671,17.5089710671,27.8093951783
8,29.4811184941,19.1302707032,19.1302707032,30.3306776125
9,30.7411432747,20.1976874729,20.1976874729,31.9134101275
10,31.7105155997,20.7302435855,20.7302435855,33.1121298366
11,33.4286444815,21.4396219461,21.4396219461,34.5039045077
12,34.3294228588,21.8154906431,21.8154906431,35.6239590043
13,34.95458529,22.5296789703,22.5296789703,37.1946980321
14,35.4067599217,23.213665534,23.213665534,38.1076827145
15,36.257616032,24.3653019459,24.3653019459,39.7119278109
16,37.084968054,25.1504338343,25.1504338343,40.4410821352
17,37.4995773293,25.5925484683,25.5925484683,41.3361026195
18,38.1239446263,26.1794177591,26.1794177591,42.4826634799
19,38.8298694845,27.1571231851,27.1571231851,43.4603276933
20,39.4836895776,27.7542844899,27.7542844899,44.0010411689
21,39.7960654445,28.4678128567,28.4678128567,44.7493129436
22,40.309750076,28.9525449759,28.9525449759,45.2276025193
23,40.9822794518,29.7399924858,29.7399924858,45.7957390692
24,41.5923895628,30.1823212866,30.1823212866,46.219159172
25,41.909625699,30.7174070194,30.7174070194,46.6560366059
26,42.0294910632,30.8857432887,30.8857432887,46.8300485214
27,42.5143789262,31.064474209,31.064474209,47.1014398134
28,43.0574857221,31.2083352789,31.2083352789,47.5276817937
29,43.4839366815,31.474632373,31.474632373,47.8700655245
30,43.6687106407,31.8138916394,31.8138916394,48.2395728692
31,43.9865576183,32.0031210957,32.0031210957,48.4313983539
32,44.7755261205,32.3450577373,32.3450577373,48.7304288652
33,45.2230552578,32.6876158946,32.6876158946,49.259188657
34,45.4882792552,32.9383727139,32.9383727139,49.6009646402
35,45.9306280049,33.295341592,33.295341592,50.1338184311
36,46.1374058826,33.3871379131,33.3871379131,50.2636579559
37,46.2606173882,33.4938896888,33.4938896888,50.484700297
38,46.3639295641,33.5352944857,33.5352944857,50.6217999962
39,46.4850560805,33.7723775128,33.7723775128,50.8608015388
40,46.7337515349,33.9373907173,33.9373907173,50.912212438
41,47.031155197,34.1670542899,34.1670542899,51.515631363
42,47.134904327,34.2440121709,34.2440121709,51.7683182497
43,47.3512844361,34.5303335006,34.5303335006,51.9795053258
44,47.447396369,34.5934666001,34.5934666001,52.2851881922
45,47.8721753964,34.9429617296,34.9429617296,52.7532745848
46,48.0428382103,35.1285851563,35.1285851563,52.9682346334
47,48.4778080054,35.5488973798,35.5488973798,53.1498001459
48,48.5992951178,35.6703844923,35.6703844923,53.300501518
49,48.7296338508,35.7914318732,35.7914318732,53.4238026978
50,48.7302539241,35.8448234222,35.8445224073,53.4768932319
51,48.7748737117,35.9157954512,35.9154944363,53.5545895883
52,48.9404248094,35.9170399865,35.9232766937,53.6609620408
