Time(Iteration),CAB
0,5.64113373739
1,11.2325332672
2,16.3326230754
3,20.9516267627
4,24.8245347331
5,29.7013062499
6,32.9355103142
7,36.5173464443
8,39.1631851925
9,41.8260349982
10,44.5564545619
11,47.0037289412
12,48.812178509
13,50.8823091534
14,52.3065018854
15,54.4808731567
16,56.4787706707
17,58.8766369611
18,61.0797836091
19,63.0213797583
20,65.0654048975
21,66.5169696395
22,67.7319647961
23,69.457815976
24,71.0599641758
25,72.7536752874
26,73.9066292619
27,75.4809516668
28,77.291478057
29,78.8014034541
30,80.2995015833
31,81.9995336883
32,83.7280495652
33,84.8064785102
34,85.8381021863
35,86.9232617595
36,88.3897093527
37,89.8536316202
38,91.4174840819
39,93.1497277847
40,94.1819276664
41,95.5603138871
42,97.1770138295
43,98.7385104591
44,100.194470843
45,101.848362277
46,103.268130792
47,104.653959305
48,105.863685907
49,107.261376422
50,108.829092971
51,110.041416465
52,111.519950942
53,112.850669587
54,114.272948601
55,116.002492366
56,117.504146492
57,119.050888736
58,120.240023838
59,121.246326316
60,122.189759635
61,123.348802512
62,124.707314882
63,125.890050777
64,127.470045011
65,128.944849358
66,129.907197419
67,131.524821595
68,132.736973131
69,133.876505476
70,134.506441919
71,136.043136242
72,137.274481522
73,138.245153396
74,139.147573469
75,140.181546692
76,141.469355746
77,142.347968395
78,143.272206834
79,144.319151736
80,144.696115067
81,145.617370714
82,146.29811095
83,147.643434767
84,148.369188907
85,149.207354536
86,150.055046704
87,151.014114523
88,151.76380087
89,152.25386342
90,153.110068954
91,154.050763234
92,154.738561121
93,155.437393578
94,156.321505952
95,157.161116481
96,158.48500418
97,159.297661061
98,160.353228677
99,160.983417479
100,162.111556989
101,162.922834235
102,163.610403918
103,164.525847808
104,165.302292395
105,166.302184381
106,167.548830274
107,168.355226309
108,169.324048615
109,169.830769517
110,171.099740279
111,172.522295503
112,173.354897217
113,174.294830315
114,175.329980911
115,176.156734484
116,176.62448943
117,177.323939793
118,178.396606546
119,179.411190308
120,180.210398888
121,181.064162418
122,181.864888979
123,182.492626693
124,183.318886581
125,183.916318149
126,184.653783646
127,185.675577399
128,186.8435126
129,187.60783261
130,188.642573077
131,189.092768523
132,190.31362282
133,191.071418768
134,191.828924201
135,193.068516686
136,193.82882921
137,194.41679875
138,195.196754907
139,196.217565874
140,196.959164466
141,197.572377937
142,198.382388381
143,199.039555099
144,199.801529188
145,200.406677727
146,201.15919181
147,201.837293207
148,202.679522022
149,203.434898437
150,204.175078175
151,205.064688775
152,205.815128507
153,206.410249213
154,207.374671574
155,208.134337447
156,209.198237283
157,209.76848601
158,210.661782337
159,211.474780845
160,212.196744574
161,212.886956468
162,213.673340533
163,214.037129906
164,214.778307581
165,215.562865964
166,216.85190872
167,217.62088781
168,218.415554136
169,218.752174972
170,219.503807772
171,220.650473323
172,221.254443928
173,221.876943008
174,222.41738
175,223.123218158
176,224.405213672
177,225.236122369
178,226.166254895
179,226.74359012
180,227.317059505
181,227.962449609
182,228.96771096
183,229.912901806
184,230.911130204
185,231.558621732
186,232.34397765
187,233.093104034
188,233.980690594
189,234.539621599
190,235.20294359
191,236.214737359
192,237.292148821
193,237.961811101
194,238.339187236
195,239.257132005
196,240.256827285
197,241.142398778
198,241.67645991
199,242.208153593
200,243.134330211
201,243.641656281
202,244.232690917
203,245.160636792
204,245.839743936
205,246.461325859
206,247.05569109
207,247.73554356
208,248.273778541
209,249.034977445
210,249.810871023
211,250.566121212
212,251.675801875
213,252.173840684
214,252.992724746
215,253.84819065
216,254.508721777
217,255.277238557
218,256.102665933
219,256.529635881
220,257.146180664
221,257.901839168
222,258.358948597
223,258.940435732
224,259.748220264
225,260.689175754
226,260.992107261
227,261.506905515
228,262.354886684
229,263.167784273
230,263.581235465
231,264.013557072
232,264.760210288
233,265.483349014
234,266.105173314
235,266.96631835
236,267.486781608
237,268.369879184
238,268.748505001
239,269.214907478
240,270.113995464
241,270.771678805
242,271.281551962
243,271.859719351
244,272.976645951
245,273.658327489
246,273.90681558
247,274.151828396
248,274.688026665
249,275.704761122
250,276.320078331
251,276.944006333
252,277.430968151
253,278.438241325
254,279.301636543
255,280.11949769
256,280.821922781
257,281.364421572
258,281.82181215
259,282.20489246
260,282.961309326
261,284.300415365
262,284.720031906
263,285.502745309
264,286.106518205
265,287.102775975
266,287.621461144
267,288.103475797
268,289.137819482
269,290.130416915
270,291.066260706
271,291.67636342
272,292.104145715
273,292.60619056
274,293.439381247
275,293.723192219
276,294.415968159
277,295.248569801
278,295.995809963
279,296.542206208
280,297.161024775
281,297.819880232
282,298.367116821
283,299.391546238
284,299.778803967
285,300.42809196
286,301.138143611
287,301.615022319
288,302.112049333
289,302.536638341
290,303.203933042
291,303.85236697
292,304.639046067
293,305.07146686
294,305.744476674
295,306.608497996
296,307.513634802
297,308.549638877
298,308.989354139
299,309.257117654
