Time(Iteration),CAB_true_decreaseCoTheta,,,,,,
0,0.974570835594,,,,,,
1,0.934180193946,,,,,,
2,0.908000145028,,,,,,
3,0.876448100137,,,,,,
4,0.8569889473,,,,,,
5,0.841543027179,,,,,,
6,0.824793288353,,,,,,
7,0.806560089142,,,,,,
8,0.775435999958,,,,,,
9,0.750785930032,,,,,,
10,0.726157524186,,,,,,
11,0.704762288729,,,,,,
12,0.681294495392,,,,,,
13,0.66353346952,,,,,,
14,0.647872291512,,,,,,
15,0.633033123865,,,,,,
16,0.619762365088,,,,,,
17,0.601455775728,,,,,,
18,0.590065159612,,,,,,
19,0.58140266045,,,,,,
20,0.567023085549,,,,,,
21,0.561810458316,,,,,,
22,0.552330244763,,,,,,
23,0.542280499322,,,,,,
24,0.528400482886,,,,,,
25,0.51663003706,,,,,,
26,0.504232455052,,,,,,
27,0.494476046359,,,,,,
28,0.479134087346,,,,,,
29,0.475782929696,,,,,,
30,0.471819600876,,,,,,
31,0.469599824476,,,,,,
32,0.464040379127,,,,,,
33,0.459690090117,,,,,,
34,0.453957368231,,,,,,
35,0.45091228134,,,,,,
36,0.44546514052,,,,,,
37,0.437523465984,,,,,,
38,0.422319745413,,,,,,
