Time(Iteration),CAB_true_decreaseCoTheta,,,,,,
0,0.969938573887,,,,,,
1,0.936586153108,,,,,,
2,0.896279150307,,,,,,
3,0.876303123347,,,,,,
4,0.859836518547,,,,,,
5,0.841991266623,,,,,,
6,0.827315920821,,,,,,
7,0.813529764641,,,,,,
8,0.795016682929,,,,,,
9,0.786419308216,,,,,,
10,0.770210950197,,,,,,
11,0.75938521209,,,,,,
12,0.750419848952,,,,,,
13,0.740239163456,,,,,,
14,0.734551744907,,,,,,
15,0.718127621465,,,,,,
16,0.706467289243,,,,,,
17,0.700286932176,,,,,,
18,0.693372965633,,,,,,
19,0.683051333949,,,,,,
20,0.674403967258,,,,,,
21,0.666597325175,,,,,,
22,0.663258372081,,,,,,
23,0.659781171861,,,,,,
24,0.649216274774,,,,,,
25,0.647416584921,,,,,,
26,0.640983384163,,,,,,
27,0.636171213729,,,,,,
28,0.631711596971,,,,,,
29,0.630051786123,,,,,,
30,0.6225783565,,,,,,
31,0.615490241027,,,,,,
32,0.612768623921,,,,,,
33,0.605265286332,,,,,,
34,0.598438065979,,,,,,
35,0.596031197149,,,,,,
36,0.58953488664,,,,,,
37,0.586561889741,,,,,,
38,0.58141506561,,,,,,
39,0.574922132027,,,,,,
40,0.567670027695,,,,,,
41,0.564904985977,,,,,,
42,0.557293722882,,,,,,
43,0.554200110775,,,,,,
44,0.551440695779,,,,,,
45,0.5460215197,,,,,,
46,0.544972367582,,,,,,
47,0.536571171082,,,,,,
48,0.529865698152,,,,,,
49,0.523562244559,,,,,,
