Time(Iteration),CAB,CAB_original,LinUCB
0,10.0020247348,9.72426323027,7.85434748111
1,13.8765207953,16.1857409913,14.1843105386
2,17.4184750116,22.3501171599,19.8222196938
3,20.8632177737,26.9194568809,23.4680773611
4,24.8005434781,30.1277257245,25.4622157437
5,27.8578314793,33.1337348735,27.277533842
6,30.7331447552,34.859882599,28.7608200599
7,33.1970944949,37.4375706475,30.4482996437
8,34.798321504,39.1851732354,31.4547997968
9,37.4434962637,40.6544388645,32.5830029967
10,39.7249502848,42.0728305383,34.1069116995
11,42.3994422384,43.3708695831,35.0712437299
12,43.9451996974,44.0362597504,35.7310723336
13,45.2299454511,44.5669004603,36.2994342518
14,46.4663644799,45.2978145542,36.6878366906
15,48.9000834215,46.1084828301,37.7910206254
16,50.1992405487,46.9048626068,38.8336297689
17,51.7757845823,47.5192888041,39.4698172293
18,53.2820541315,47.9244901696,40.2408349092
