Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB,CAB_cbj,CAB_cbij
0,6.04485212188,8.34368259367,8.34368259367,8.33617433957,8.34368259367,8.34368259367
1,11.4199337821,10.574716635,11.2597963432,14.9055158382,12.2795351119,11.8655826799
2,17.2071011037,12.5429677306,13.8882019839,19.6923922137,15.6444827131,14.7899043724
3,19.7657071966,13.1530391985,15.4422720553,24.0789609068,16.6293109278,15.6418357655
4,22.746834882,14.5452693036,17.4889519524,27.0632934572,18.2342731539,17.2396877906
5,24.4339946598,14.9894547054,18.9158020597,29.9860629471,19.5811040529,18.3960742186
6,26.3585819495,15.6444313513,19.7124843597,32.2060781934,20.5871291215,19.9549991616
7,29.0628358206,16.2350210533,21.0162419239,33.8775323554,21.5781535445,20.7878266499
8,30.7076511751,16.7307718118,21.9203754249,36.0525404985,22.2577823255,21.798606773
9,32.292567439,16.8797616109,22.8792663389,37.4839158658,23.2827448501,22.7702120668
10,33.8307000784,17.0420104915,24.0202795623,38.6859913575,23.536661715,23.3730190333
11,35.8021041258,17.2861267411,24.773225257,40.1455617412,23.8341913887,24.1130567832
12,37.0973188974,17.4608619849,25.2149199082,40.7742783745,23.9489201045,24.3304489301
13,39.0572885186,17.5112531719,25.891984418,42.3944618924,24.2345856214,24.6520924213
14,41.2190806583,17.6745102584,26.6355607828,43.5750141223,24.5608115646,25.0396786811
15,42.6134086689,18.0740798416,27.552668747,44.2998494208,25.0264631906,25.4835094666
16,43.5667181567,18.1823002619,27.9210010945,44.7031628987,25.0989859007,25.7334410079
17,45.4746851239,18.35758783,28.4971238889,45.5627516457,25.2516633552,25.8058734696
18,47.4594055157,18.4205296453,28.9220510186,46.5053215048,25.4302728792,25.8134606294
19,48.4498262381,18.4545145706,29.1764876133,46.854799617,25.4894418588,25.8411600884
20,49.211064207,18.4683055424,29.3563271386,47.1796915185,25.66389322,25.9906122101
21,49.5346577278,18.5149605254,29.4617679854,47.3961315814,25.7690765885,26.0478627209
22,49.9521564713,18.5598586513,29.7949003952,48.0870665822,25.870643741,26.0927608468
23,51.0261435956,18.5786412654,30.0519167063,48.478535943,26.013498317,26.1115434609
24,51.4976489864,18.5989131672,30.2801843644,48.6093739902,26.0680136264,26.1755482033
25,52.485253214,18.6516789339,30.813554599,48.9119237877,26.123066559,26.2306011359
26,53.0616031988,18.6884208947,31.108088775,49.3438088873,26.2416471819,26.3473705055
27,53.4049247548,18.7350370705,31.3242446074,49.5650280173,26.2416471819,26.4427547094
28,53.9560322204,18.9475328656,31.5943368583,49.9102840913,26.3989653134,26.5727218336
29,54.4233661675,18.9508232361,31.8117343488,50.5533511317,26.4601849064,26.5760122042
30,54.6986395709,19.0342427219,32.0727324272,51.0216518239,26.5424437639,26.6186788119
31,54.8101271809,19.0582562259,32.2317615793,51.1515750915,26.5424437639,26.6717982004
32,55.1547156837,19.1247230362,32.3600473422,51.4470228339,26.5453782581,26.6747326946
33,55.2128455667,19.1378837282,32.3877967301,51.4879329138,26.5643077663,26.6936622028
34,55.5849017873,19.1614313828,32.4372052587,51.8819454729,26.7446229534,26.8761295507
35,56.1223394562,19.2637331043,32.9225957471,52.2526104205,26.8003891735,26.9520278696
36,56.8315732421,19.4919978921,33.1163769114,52.8126858956,27.0286539613,27.1890137374
37,57.3390184564,19.5194250434,33.2082270299,53.2227281764,27.066269266,27.2164408887
38,57.7220192575,19.6066233154,33.4386885652,53.4847270601,27.1302383322,27.2485990406
39,58.161631319,19.6486927998,33.5389620195,53.7412061061,27.1471170518,27.2485990406
40,58.3960633157,19.7132087964,33.575859615,53.838316168,27.2957327017,27.2826132272
41,58.5015744438,19.7639538982,33.651480966,53.9966566089,27.2981329332,27.2850134587
42,58.7660926496,19.7987273199,33.8132647472,54.2838311758,27.3523209196,27.3192573886
43,58.8166387862,19.8277132317,33.8447323211,54.4086906018,27.3809173667,27.3478538358
44,59.218229266,19.8705580833,33.9266339846,54.6843651539,27.393981946,27.4762685857
45,59.2544477029,20.0350725763,34.1169340602,54.8488796468,27.5427607542,27.4762685857
46,59.4426106,20.0809416288,34.1302936913,54.9431342969,27.5566955903,27.4882112968
47,59.5137556007,20.1236397088,34.1660502166,54.9878341177,27.5828232923,27.501571712
48,59.6961614908,20.1277281812,34.2443584556,55.28206393,27.6409083831,27.5046946838
49,59.9000831586,20.1474198395,34.3621673276,55.4400224135,27.7859437226,27.524386342
50,60.2297940877,20.1567835578,34.4402262049,55.6130619901,27.8206940607,27.5625841245
51,60.3085989327,20.2158639653,34.5061533997,55.6592647474,27.8613430688,27.6032331327
52,60.5810414146,20.2809266249,34.5483880081,55.7738717551,27.9273524102,27.6549870355
53,60.7362017837,20.2947642374,34.6633121787,55.8622840188,27.9311660397,27.668824648
54,60.8937171452,20.3293132917,34.8543083615,55.9678327913,27.9782662662,27.7033737023
55,61.1315635354,20.3692876351,35.0242090658,56.1709202193,28.0943834001,27.7719794929
56,61.2023927614,20.3878933583,35.0383028607,56.2492147953,28.0960921247,27.7877820123
57,61.2845824711,20.3988120454,35.0799053388,56.4219524926,28.1070108119,27.7987006995
58,61.3437240823,20.4102058781,35.0912991716,56.4830597504,28.1095902339,27.8126739542
59,61.560662098,20.4266050527,35.1161032824,56.624073239,28.1209261543,27.8126739542
60,61.6249082919,20.4290016599,35.1681626052,56.7466093124,28.157845849,27.8466554972
61,61.7278822547,20.4806552558,35.2388657312,56.8429054955,28.2212024618,27.8983090932
62,61.9237340438,20.4806552558,35.2402434578,56.9515037315,28.2212024618,27.8983090932
63,62.0260855408,20.5132387384,35.2636374909,57.0795935691,28.2446972155,27.9218038469
64,62.094320403,20.550989009,35.3013877615,57.1270216493,28.2778672549,27.9549738862
65,62.2216550602,20.5645511485,35.3622740917,57.2544811317,28.2871380496,27.9959957831
66,62.2672933718,20.595788677,35.4056448924,57.4192999181,28.3401952965,28.04905303
67,62.3328847386,20.6307884299,35.4456463877,57.4836791448,28.4129936056,28.153566459
68,62.5566145654,20.6918062218,35.5066641797,57.6862638382,28.4485879888,28.1891608422
69,62.6607445981,20.7355696952,35.5715911818,57.7630415918,28.5426141124,28.2200108791
70,62.8570829292,20.7508478746,35.5958810125,57.8257281829,28.5686044426,28.2460012092
71,62.8707275846,20.7859581424,35.609525668,57.8637728657,28.6029078473,28.2787877696
72,62.89128115,20.7859581424,35.6188833529,57.8731305507,28.6122655323,28.2787877696
73,62.9380766086,20.8175794451,35.659504365,57.9031485288,28.6318682756,28.2938118263
74,62.9722707565,20.8259435106,35.659504365,57.9314137638,28.6343034283,28.296246979
75,63.0199864054,20.8259435106,35.6967265571,57.9791294128,28.6343034283,28.3032228706
76,63.1424597501,20.895664167,35.7823968211,58.0939419908,28.6672210039,28.3169378746
77,63.1948374243,20.895664167,35.8347744953,58.1137882881,28.6997523808,28.3169378746
78,63.2961565794,20.9091770046,35.953609964,58.1819388225,28.7137246615,28.3245391735
79,63.3147843223,20.9268056459,35.9712386053,58.313730474,28.7323524044,28.3421678148
80,63.3586456167,20.9706669403,36.0150998996,58.3539703284,28.7685897512,28.3860291091
81,63.5177045182,20.9768757556,36.0620802524,58.4727757595,28.8152758159,28.3922379245
82,63.593758434,20.9860555994,36.1886087389,58.5548101587,28.8152758159,28.3922379245
83,63.6775767,21.0478010103,36.240903829,58.6450612692,28.8454980508,28.4224601595
84,63.7086329151,21.0647981345,36.2579009532,58.6630256657,28.8454980508,28.4234274318
85,63.8059251506,21.1015977971,36.3034114304,58.7541068431,28.891008528,28.4234274318
86,63.8444470314,21.1408146426,36.3205300025,58.8206408724,28.891008528,28.4234274318
87,63.9053886173,21.1437769183,36.3814715884,58.8647241598,28.9519501139,28.4263897075
88,63.9268646499,21.1568141549,36.3945088251,58.8777613964,28.9649873506,28.4394269441
89,64.1044659536,21.1651056273,36.4316333186,59.0613806155,29.1027305812,28.4428463372
90,64.1652889444,21.168457989,36.4649467201,59.0647329773,29.1046304877,28.446198699
91,64.2252079749,21.2551858479,36.551674579,59.189329225,29.1340448533,28.4756130646
92,64.2516537859,21.2615569457,36.5692151669,59.2230890682,29.1515854412,28.4819841625
93,64.3322865105,21.2654754351,36.6213899106,59.3557655972,29.2203933215,28.4859026518
94,64.3807198799,21.2873552488,36.6479434662,59.4041989665,29.2469468771,28.4859026518
95,64.4194677851,21.287518936,36.6865276843,59.4232090731,29.2855310951,28.486066339
96,64.4381927163,21.3062438672,36.6928773743,59.4666170526,29.2920473614,28.5047912702
97,64.4612900843,21.3293412352,36.7159747422,59.4887712564,29.2930903662,28.5058342751
98,64.5117140301,21.3339424337,36.7385217477,59.5026198692,29.2976915647,28.5104354735
99,64.5117140301,21.3438655758,36.7385217477,59.5026198692,29.3062891611,28.5203586156
100,64.5569157637,21.3464188973,36.7498562948,59.56746777,29.3088424826,28.5229119371
101,64.5998098101,21.3464188973,36.7498562948,59.6492771214,29.3239046232,28.5379740778
102,64.7628702142,21.3835223196,36.785964703,59.7183204364,29.3600130314,28.5487905881
103,64.7743688359,21.3835223196,36.7901065142,59.7224622476,29.3641548426,28.5487905881
104,64.7896472857,21.4139703001,36.8205544947,59.7377406974,29.3794332924,28.5792385686
105,64.8605410279,21.4187920051,36.8914482369,59.8346343796,29.383193261,28.5840602736
106,64.8841580758,21.442409053,36.9143747165,59.8769010215,29.4068103089,28.6076773215
107,64.8916004167,21.442409053,36.9143747165,59.8769010215,29.4068103089,28.6076773215
108,64.9153010431,21.4537497516,36.9372836609,59.9006016479,29.4173593255,28.6305862659
109,64.9270246146,21.4654733231,36.9490072324,59.9027588489,29.429082897,28.6423098373
110,65.0180898744,21.4930612412,36.9490222538,59.9027738703,29.4290979184,28.6423248587
111,65.0538320939,21.4930612412,36.9490222538,59.977118365,29.4648401379,28.6423248587
112,65.0538320939,21.4930612412,36.9490222538,59.986548426,29.4648401379,28.6423248587
113,65.1384088432,21.5029297448,36.9849365062,60.0125941749,29.4959410068,28.6423248587
114,65.2002261426,21.5218612178,37.0038679792,60.0283218452,29.4991448095,28.6455286614
115,65.2521391,21.5280808239,37.0092232047,60.0612619298,29.4991448095,28.6455286614
116,65.3119836189,21.5390473868,37.0664072689,60.118445994,29.5101113724,28.6481891161
117,65.3119836189,21.5390473868,37.0664072689,60.118445994,29.5101113724,28.6481891161
118,65.3520254431,21.5634963351,37.0753600833,60.1342021402,29.5257143373,28.6550992789
119,65.424866832,21.5666352021,37.082033676,60.1983996023,29.5641929234,28.6617728717
120,65.424866832,21.5792505914,37.082033676,60.2110149915,29.5641929234,28.6617728717
121,65.4783477755,21.5792505914,37.1492799607,60.2503978293,29.5641929234,28.6879481116
122,65.4783477755,21.5792505914,37.1492799607,60.2682243441,29.5641929234,28.6879481116
123,65.4885631647,21.5894659806,37.1524731233,60.2784397333,29.5673860861,28.6911412742
124,65.5369194428,21.5894659806,37.176466387,60.3024329971,29.5913793498,28.715134538
125,65.5851587342,21.6123791713,37.205012279,60.3683926271,29.5945991411,28.7183543293
126,65.6061434728,21.6367594843,37.2266820298,60.4220359787,29.6003026551,28.7240578433
127,65.608677202,21.6392932135,37.229215759,60.4513311346,29.6028363843,28.7252786867
128,65.608677202,21.6392932135,37.229215759,60.4593220633,29.6028363843,28.7252786867
129,65.608677202,21.6392932135,37.229215759,60.4593220633,29.6028363843,28.7252786867
130,65.608677202,21.6392932135,37.229215759,60.4593220633,29.6028363843,28.7252786867
131,65.608677202,21.6392932135,37.229215759,60.4593220633,29.6028363843,28.7252786867
132,65.608677202,21.6392932135,37.2563513533,60.4593220633,29.6299719786,28.7252786867
133,65.6104839716,21.6410999831,37.2581581229,60.4726341002,29.6317787482,28.7270854563
134,65.6430947286,21.6591201568,37.2761782966,60.4790000865,29.6497989219,28.7387396438
135,65.6560274223,21.6658471918,37.2823839553,60.5814022941,29.6565259569,28.7454666788
136,65.6560274223,21.6658471918,37.2823839553,60.5858036059,29.6565259569,28.7454666788
137,65.7416694029,21.6895150004,37.3203975113,60.6001385444,29.6852066427,28.7598016173
138,65.7435767598,21.6914223574,37.3223048683,60.6020459014,29.6871139997,28.7617089742
139,65.7986751206,21.6942259736,37.3251084845,60.6571442622,29.6899176158,28.7645125904
140,65.7986751206,21.6942259736,37.3251084845,60.6784947319,29.6899176158,28.7645125904
141,65.8468585976,21.6942259736,37.3562042714,60.7266782089,29.7210134028,28.7956083774
142,65.8601630029,21.6957378478,37.3562042714,60.7451006963,29.7210134028,28.7956083774
143,65.9239563501,21.6957378478,37.3944967549,60.7808252477,29.7210134028,28.7956083774
144,65.9239563501,21.6957378478,37.3944967549,60.7857602399,29.7210134028,28.7956083774
145,65.9252383181,21.7031701099,37.3944967549,60.7857602399,29.7222953708,28.7956083774
146,65.9274742031,21.7031701099,37.3967326399,60.7879961249,29.7245312558,28.7978442624
147,66.0140376027,21.7031701099,37.4782315711,60.8694950561,29.7245312558,28.7978442624
148,66.0140376027,21.7031701099,37.4782315711,60.8694950561,29.7245312558,28.7978442624
149,66.0312446602,21.7209576797,37.5047852441,60.8694950561,29.7245312558,28.7978442624
150,66.0352207501,21.7315433833,37.5087613339,60.8694950561,29.7245312558,28.7978442624
151,66.1354420877,21.7315433833,37.5087613339,60.9226496575,29.7245312558,28.7978442624
152,66.1465163159,21.7509932235,37.5087613339,60.9226496575,29.7329068678,28.7978442624
153,66.1597104701,21.7650210481,37.5089073182,60.9328263956,29.7405851878,28.7979902467
154,66.1685897784,21.7739003565,37.5116280993,60.9355471767,29.7494644961,28.8007110278
155,66.1876096299,21.7808004759,37.5116280993,60.9545670282,29.7563646155,28.8076111472
156,66.2000811515,21.7932719975,37.5248507262,60.9572751705,29.7688361372,28.8200826688
157,66.21620475,21.7932719975,37.5409743246,60.9612960833,29.7728570501,28.8241035817
158,66.2471287506,21.7932719975,37.5718983253,61.0096238854,29.8037810507,28.8286243218
159,66.3593589907,21.8130326387,37.5916589665,61.1739488942,29.8187027991,28.8286243218
160,66.3593589907,21.8130326387,37.5916589665,61.1739488942,29.8187027991,28.8286243218
161,66.3712520825,21.8249257305,37.60149762,61.208415656,29.8285414527,28.8384629753
162,66.5584246391,21.8314447093,37.7822373869,61.3970004208,29.976616023,28.8448957652
163,66.5748797963,21.8478998665,37.7979006825,61.413455578,29.9824018155,28.8506815577
164,66.5748797963,21.8478998665,37.7996404392,61.4166104324,29.9824018155,28.8506815577
165,66.6307337866,21.8478998665,37.7997246043,61.4983275058,29.9824018155,28.8506815577
166,66.6571834116,21.8571486446,37.8169254512,61.5193015022,29.9887317103,28.8570114525
167,66.6971051597,21.8644089349,37.8241857415,61.5968561989,29.9887317103,28.8570114525
168,66.7198506268,21.884130552,37.8392069677,61.6194555527,29.9952445435,28.8635242857
169,66.7643449535,21.8981613056,37.8837012944,61.6639498794,30.0397388702,28.8635242857
170,66.7852853977,21.8981613056,37.8844099531,61.7261474816,30.0397388702,28.8844725059
171,66.7946960972,21.9051486097,37.8910083887,61.7289597454,30.0463373058,28.8910709416
172,66.7946960972,21.9051486097,37.8910083887,61.7289597454,30.0463373058,28.8910709416
