Time(Iteration),CAB_originalCoTheta,CAB_cbj+cbijCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,CAB_cbjCoTheta,CAB_cbijCoTheta,,,,,,
0,0.949690481066,0.949690481066,0.949690481066,0.949690481066,0.949690481066,0.949690481066,,,,,,
1,0.93051077709,0.90649830831,0.886269654067,0.929852724061,0.907164843599,0.910952663138,,,,,,
2,0.891893535275,0.882654888136,0.849657374135,0.88736196072,0.873906023922,0.885790943221,,,,,,
3,0.865284811025,0.85876855141,0.830218720254,0.864482516154,0.837158295875,0.86049283438,,,,,,
4,0.832778065389,0.824232222297,0.807243908803,0.848715672375,0.812981094872,0.832975787458,,,,,,
5,0.808485104824,0.798112410616,0.781496866762,0.831271548736,0.78420983825,0.799046303256,,,,,,
6,0.787197068314,0.776721922202,0.765054090471,0.804660441587,0.76963866108,0.781498388151,,,,,,
7,0.767076647618,0.763020253431,0.751365270604,0.77162799418,0.759214877982,0.762016198792,,,,,,
8,0.733554129618,0.736268098754,0.733145633447,0.73901159725,0.735642068977,0.738383861802,,,,,,
9,0.716994703347,0.715733520034,0.72324354736,0.725762232083,0.713827076476,0.708868972963,,,,,,
10,0.70698064285,0.70044074822,0.704540610513,0.718321012763,0.699394830879,0.694354897262,,,,,,
11,0.688922364618,0.679634215891,0.688080810811,0.69690642558,0.684882592756,0.676054122896,,,,,,
12,0.681396156265,0.660157358549,0.679245032402,0.690409812386,0.668195662587,0.658031440276,,,,,,
13,0.673271021776,0.651393280919,0.670179488449,0.680848597254,0.651453734972,0.649338484323,,,,,,
14,0.660791274872,0.638438039471,0.658978031266,0.67224074349,0.636951505268,0.634749233167,,,,,,
15,0.647203045902,0.627200561343,0.647029548848,0.653640175236,0.623101713719,0.619156978918,,,,,,
16,0.639658888195,0.617290890697,0.638121514422,0.64146947161,0.617348223797,0.610400337029,,,,,,
17,0.626572600639,0.610148762402,0.629538983093,0.631191442958,0.602089044812,0.593670011678,,,,,,
18,0.614926584628,0.596663399575,0.622438960388,0.618319966492,0.593017815259,0.580552534214,,,,,,
19,0.605741371798,0.587769559753,0.612123965403,0.602278388684,0.58395173124,0.5712226803,,,,,,
20,0.598292418631,0.566700716089,0.604372875688,0.596047494193,0.574722121759,0.559721708999,,,,,,
21,0.58418276178,0.552130834871,0.58810668292,0.577890192653,0.561759324666,0.544820116811,,,,,,
22,0.576501711136,0.541080064678,0.575851267997,0.568798054262,0.548801752906,0.532584608066,,,,,,
23,0.569680272694,0.534119246546,0.569280677242,0.559705531347,0.542487048876,0.523772677254,,,,,,
24,0.562623998965,0.524452108276,0.565380098913,0.54911551615,0.537238341576,0.515683914404,,,,,,
25,0.553387775594,0.514109164968,0.558073689195,0.541725475715,0.527785259407,0.50771357927,,,,,,
26,0.545909385887,0.505551102558,0.549719394645,0.535349232533,0.517768720733,0.498303168278,,,,,,
27,0.540602445021,0.502983154492,0.546712793107,0.531368106324,0.514393453111,0.49430829048,,,,,,
28,0.538039767545,0.499224995608,0.540092189538,0.520706050401,0.509011437751,0.489682929505,,,,,,
29,0.531456665698,0.494006395618,0.532947216639,0.513714361284,0.501377944633,0.482417768984,,,,,,
