Time(Iteration),CAB_reject,CAB_original,LinUCB
0,5.60669941476,6.40630512752,5.15498422434
1,11.3875775021,11.2758799084,11.8843736937
2,15.4905137139,15.9570208213,15.4292571481
3,19.2052651018,19.8958486409,18.9599346992
4,21.8739800491,21.3044275494,22.3142357318
5,23.7976545166,23.7309887277,24.2981130883
6,26.6869172676,27.5129608954,26.8309989399
7,29.2425588929,30.1578511632,28.7030239265
8,30.8946407138,32.8056018871,29.9459103343
9,32.4925838722,34.6591549677,31.4954197446
10,34.2679540553,36.2780504214,32.7984505
11,35.7972315179,38.2499582519,33.7189066891
12,37.2535095334,39.8910103748,35.2989736046
13,38.5844331123,41.4040923436,36.0154792655
14,39.4591870247,42.5650100135,36.8127981474
15,40.788986002,43.7978353068,37.4582718127
16,41.4446653175,44.9257955477,38.0942812734
17,42.1972620223,46.1109921622,38.5207984162
18,42.7908373308,46.5246533153,39.3514861469
19,43.6040522312,46.7810438238,40.2212088311
20,44.109594623,47.4080118286,40.8812112492
21,44.7967192865,47.9416319391,41.3246277254
22,45.5183672367,48.631443267,41.9550589335
23,46.1510810222,49.5214370948,42.5928020198
24,47.153330609,50.3674485389,43.4370167963
25,48.1705687689,50.8547208944,44.396457563
26,48.8668236664,51.5588936914,44.8879682048
27,49.2620633553,51.9781409587,45.4763660156
28,49.8587506131,52.4613570955,46.0399477581
29,50.2388632744,52.9986313228,46.3033806839
30,50.6618660307,53.4067079197,46.6397919243
31,50.8086643698,53.7415377633,46.8114602976
32,51.1440432838,53.9797253188,47.2405703766
33,51.5769736916,54.3310604057,47.7489719557
34,52.0053330694,54.6331550074,48.1794067662
35,52.2801019106,54.8890754133,48.420279181
36,53.0263925131,54.9789117127,48.5406156924
37,53.4956990656,55.5552286689,48.916486568
38,54.2073739286,55.8945059144,49.438426898
39,54.6716186235,56.2350930013,49.6349208815
40,55.4502119086,56.409119612,49.9867218224
41,55.7391011415,56.7742464177,50.3131867045
42,55.900451011,56.8466262987,50.4151379979
43,56.0702439201,56.9872914003,50.4652977093
44,56.3259438934,57.1602300101,50.6805451714
45,56.7798251526,57.4545012501,50.9557228392
46,56.9494642226,57.6243768091,51.1530317829
47,57.1526011875,57.7712523083,51.4882218902
48,57.4736692134,57.8815634338,51.6868314445
49,57.8907605902,58.0689335517,51.762093027
50,58.2389837153,58.1936815426,51.9525413059
51,58.5213682127,58.3679001248,52.0994416898
52,58.797242961,58.5062967918,52.2334630893
53,58.9721837254,58.7008271648,52.2672094911
54,59.2512580426,58.7956154816,52.5224423607
55,59.6821019407,58.8988474611,52.9923455916
56,59.8889254565,59.0266873888,53.278881855
57,60.1274301747,59.0458189679,53.3467976507
58,60.6063776584,59.3740762291,53.6627771484
59,61.0247396852,59.3740762291,53.7734247013
60,61.5057825517,59.5739048835,53.9154653297
61,61.7695460176,59.6437550535,54.0983210106
62,62.0347372428,59.7861185002,54.2798130317
63,62.126078144,59.8510927098,54.3981943463
64,62.311560502,60.0955448697,54.4649727315
65,62.4598712247,60.2435110251,54.7124663695
66,62.582896341,60.4932044581,55.0069731573
67,62.9110485497,60.4932044581,55.2944247587
68,63.2136477414,60.6542444809,55.442638072
69,63.4195727326,60.7407752657,55.5822026863
70,63.5705715988,60.8579061976,55.5961359277
71,63.7968233764,61.0232276682,55.7002474402
72,64.0132171037,61.0572318495,55.7411267833
73,64.1727652204,61.149489268,55.8354889594
74,64.3519715927,61.2776657398,56.0572669288
75,64.7124193164,61.3912733271,56.1488819852
76,65.187356558,61.4126296007,56.1783555877
77,65.3531768724,61.5210328133,56.2617774274
78,65.4785774747,61.5306584838,56.3836562264
79,65.6849247294,61.5668655775,56.41986332
80,65.7649299568,61.5730883752,56.5007477826
81,65.9612731248,61.6027962627,56.7157932321
82,66.06230486,61.8172857152,56.7446441511
83,66.4325863198,61.9369644038,56.7971125417
84,66.4956709891,61.9369644038,56.8773832713
85,66.7189602792,62.223481095,57.0026780895
86,66.7514372877,62.3198882304,57.0665268597
87,66.9518087554,62.4020572822,57.0773726926
88,67.2343295403,62.4078011055,57.0831165159
89,67.445755375,62.4923398649,57.0911705023
90,67.8981664712,62.5284162316,57.1334733499
91,68.1353985582,62.6100666944,57.3968773598
92,68.1915290231,62.6525590453,57.4107701103
93,68.2654211962,62.7903981025,57.5135872829
94,68.5897621053,62.8952130027,57.5400758092
95,68.6118311241,62.9045088626,57.5753500182
96,68.770402371,62.9045088626,57.5872738302
97,68.8354474629,62.9219601316,57.6064946003
98,69.2337455508,62.9511835386,57.6357180073
99,69.3950711415,63.0950161419,57.6533585499
100,69.6292004471,63.1638395615,57.7671340599
101,69.8617910149,63.1976315174,57.8092609643
102,70.1253104461,63.266127771,57.8407371051
103,70.461803039,63.295976358,57.8705856922
104,70.5635485919,63.3733139939,57.8859577137
105,70.8185346896,63.4441262702,57.9239397886
106,70.8406298957,63.4746326543,57.936676967
107,71.1187082017,63.6106616424,58.1564917571
108,71.3976772813,63.6106616424,58.1721969024
109,71.8068780898,63.6547033893,58.2037892808
110,71.8223713609,63.6753824475,58.2037892808
111,71.8883589311,63.6790526332,58.3607101516
112,72.0142302099,63.6914066983,58.3607101516
113,72.1282696722,63.701365774,58.4004844392
114,72.4262065402,63.7890189272,58.5096234693
115,72.6361344993,63.7993549227,58.5179730409
116,72.8003156571,63.8119752277,58.5551112628
117,72.8902312548,63.8147245749,58.55786061
118,73.0088269297,63.8147245749,58.6589887368
119,73.0726863223,63.8352435122,58.6589887368
120,73.1095100916,63.8352435122,58.6589887368
