Time(Iteration),CAB_2_3CoTheta,CAB_originalCoTheta,CAB_5_6CoTheta,CAB_optimalCoTheta,,,,,,
0,0.974535858446,0.959457308082,0.974535858446,0.974535858446,,,,,,
1,0.952658469034,0.928765257557,0.937831677443,0.929198782706,,,,,,
2,0.924413563,0.907488576588,0.91817185366,0.895411507528,,,,,,
3,0.903376724203,0.888598230952,0.898318329214,0.859431753917,,,,,,
4,0.879844275248,0.870610860731,0.878188552462,0.842227201934,,,,,,
5,0.856405222155,0.847057841429,0.862694286888,0.816392926363,,,,,,
6,0.832361297913,0.820898394759,0.834335206925,0.798681128972,,,,,,
7,0.82096493177,0.790347237098,0.818055701825,0.763571080725,,,,,,
8,0.801292478825,0.761947626059,0.805003784525,0.738348230646,,,,,,
9,0.781566718193,0.737282496773,0.782046131284,0.724882557106,,,,,,
10,0.762573765464,0.728677974003,0.767768809824,0.701599771558,,,,,,
11,0.748146180885,0.711667055399,0.75626511865,0.692426758473,,,,,,
12,0.734966458174,0.702619100944,0.744251325466,0.67398062446,,,,,,
13,0.718702781421,0.68464549179,0.731631340045,0.659962088183,,,,,,
14,0.7052239076,0.674761127708,0.721605949599,0.650883217071,,,,,,
15,0.69101520482,0.650893998734,0.696892197717,0.638484386667,,,,,,
16,0.680254849073,0.634445893106,0.684541566428,0.626086748445,,,,,,
17,0.66854052577,0.624560172088,0.669954728154,0.617063793154,,,,,,
18,0.659500709452,0.617119185607,0.66206296486,0.610813554427,,,,,,
19,0.638141896802,0.60709410363,0.654670913487,0.5987962717,,,,,,
20,0.632196923495,0.596136288243,0.638271590729,0.592623732949,,,,,,
21,0.62200810708,0.58832265055,0.631194363931,0.586818385564,,,,,,
22,0.608418542336,0.579929760561,0.622041829726,0.579179504764,,,,,,
23,0.602015938362,0.573067949215,0.613528686477,0.568118261862,,,,,,
24,0.594229693614,0.567459536786,0.604285198452,0.561686536882,,,,,,
25,0.591556742158,0.562837359555,0.600047294658,0.557367843097,,,,,,
26,0.583340701643,0.550326399158,0.592355415767,0.551127819037,,,,,,
27,0.572480042357,0.542678210662,0.582757270072,0.548149808147,,,,,,
28,0.564709612751,0.5395615565,0.572604911096,0.540976605387,,,,,,
29,0.555139467748,0.531681593691,0.565856995413,0.535284464632,,,,,,
30,0.544189907435,0.517795198402,0.553615626854,0.532905195353,,,,,,
31,0.539014880718,0.514513879674,0.544627587917,0.530249249444,,,,,,
32,0.533855622165,0.507828393732,0.541003960126,0.528264716389,,,,,,
33,0.519309514162,0.503590358795,0.536221279136,0.521605001163,,,,,,
34,0.51460278694,0.500129313857,0.532605808306,0.510941988015,,,,,,
35,0.5042030857,0.496593791229,0.524141166613,0.504064445087,,,,,,
36,0.499718897189,0.489492976171,0.52123089879,0.49738589799,,,,,,
37,0.496135063294,0.485838919554,0.513917608387,0.490688007566,,,,,,
38,0.492511731139,0.480976201262,0.508718835035,0.484201823376,,,,,,
39,0.486605896004,0.478900718587,0.502543965814,0.47905290289,,,,,,
40,0.482150056867,0.47183686662,0.497525050381,0.47673837127,,,,,,
41,0.478266884127,0.469596603523,0.494334940215,0.471506948395,,,,,,
42,0.475668540825,0.460566145654,0.490844702122,0.456526810395,,,,,,
43,0.471861023388,0.457645790914,0.486995771165,0.45024119264,,,,,,
44,0.470518633252,0.456455321046,0.48512265175,0.449583787804,,,,,,
45,0.465971134379,0.452268558805,0.480600601046,0.446360494149,,,,,,
46,0.461566509142,0.449198409761,0.476294561415,0.44024800304,,,,,,
47,0.457935544518,0.445405420307,0.473526623582,0.437584865371,,,,,,
48,0.452748014471,0.439134837943,0.469641419711,0.433126548057,,,,,,
49,0.449189643949,0.437207011707,0.457317361517,0.428158320027,,,,,,
50,0.444070999154,0.435946574745,0.455450228919,0.427509702576,,,,,,
51,0.442820265922,0.434339783048,0.454879896417,0.422679385478,,,,,,
52,0.441168586364,0.432665146692,0.453781809273,0.417821540224,,,,,,
53,0.435607594127,0.42890729002,0.444151214315,0.412242823055,,,,,,
54,0.434262609459,0.426600919752,0.442186793973,0.409957501585,,,,,,
55,0.427529100299,0.423500163617,0.435443540184,0.408734380802,,,,,,
56,0.42605395434,0.419017464743,0.434829137521,0.405524465569,,,,,,
57,0.424131079305,0.416084821947,0.432397196095,0.402855058367,,,,,,
58,0.421145260153,0.415104978603,0.429710504055,0.401859864139,,,,,,
59,0.417287122888,0.412225802822,0.424855859177,0.398709544536,,,,,,
60,0.416361573615,0.411229595205,0.424339434119,0.397726238524,,,,,,
61,0.413246273584,0.409902132248,0.421921369911,0.396979132002,,,,,,
62,0.412696358138,0.407667683376,0.416177550976,0.396127770911,,,,,,
63,0.41175538447,0.406045775894,0.414395690689,0.392712403475,,,,,,
64,0.405598457207,0.403722982921,0.40477554155,0.38795776094,,,,,,
65,0.403413234191,0.403064301497,0.403789448013,0.385168522762,,,,,,
