Time(Iteration),LinUCB_new,LinUCB
0,7.19382186324,6.90024039095
1,11.5148908194,10.9511675669
2,15.6446965849,15.0882322655
3,19.0313527179,18.3725908896
4,21.5532187872,20.8944569589
5,24.9962193642,24.4480593168
6,28.4807908871,27.8781261445
7,31.4891308301,30.9939187933
8,34.3550449371,33.9786045668
9,36.025043534,35.5288449528
10,37.3516006275,37.139481435
11,40.0137656326,39.5917409695
12,42.6414124611,42.1699186417
13,43.8356870291,43.2068922148
14,45.2132846681,44.7639132287
15,46.5607288473,45.7829723443
16,47.856187362,47.192871072
17,49.08992064,48.2826920107
18,50.5970173099,49.5423734801
19,51.252212597,50.0442387388
20,52.3862882021,51.1468317669
21,53.2402677505,52.1098829604
22,54.0943360686,53.0439018202
23,54.890591635,53.7495492075
24,55.3079427493,54.1350742405
25,55.9809176091,54.9252259436
26,56.5331884156,55.700775532
27,57.1358326888,56.2664444731
28,57.9975209549,57.1512987749
29,58.7263788417,57.9446292306
30,59.2528645501,58.7088541206
31,59.5872711798,59.0509416481
32,59.9595389445,59.4214015606
33,60.2422759819,59.7067229971
34,60.889750339,60.2019225362
35,61.3650465459,60.7223012525
36,61.551864351,60.979774349
37,61.9286981659,61.2930543355
38,62.1994712522,61.4171227185
39,62.4576811284,61.656942141
40,62.8423443075,62.014306951
41,63.0490271457,62.2280704421
42,63.4001118819,62.7247158057
43,63.614620244,63.0840606055
44,63.8663651375,63.3358054991
45,63.9296181888,63.3990585503
46,64.1379640096,63.6824768238
47,64.4261167916,63.9681994378
48,64.6951208465,64.3074028588
49,64.9351917122,64.5256690383
50,65.0597464229,64.7190454273
51,65.3242984054,65.0906761307
52,65.4348146118,65.1995485695
53,65.7090659628,65.5808171303
54,65.9256551605,65.7622559388
55,66.089374021,65.9735804044
56,66.167761901,66.0519682844
57,66.1750005452,66.0733721634
58,66.2528743911,66.1512460093
59,66.4897963262,66.4214239863
60,66.6478562881,66.5794839482
61,66.7743981375,66.7462165059
62,66.8204270975,66.7922454659
63,66.921761679,66.8552382874
64,67.0526542413,66.9861308497
65,67.1830454397,67.0977435836
66,67.2502564437,67.2144851305
67,67.3151144638,67.2698214877
68,67.4178314063,67.3552574925
69,67.4823890531,67.4198151393
70,67.5034448524,67.5112637322
71,67.600695439,67.5894836926
72,67.6259283924,67.8603467713
73,67.6739663695,67.9083847485
74,67.8575103255,68.1776191957
75,67.8921673562,68.2122762264
76,67.9383977171,68.2884547169
77,67.9637297671,68.3060119028
78,67.9950589295,68.3685817428
79,68.0014540258,68.3685817428
80,68.0425728273,68.3998987531
81,68.1416216545,68.6046712778
82,68.2135285981,68.6253018353
83,68.3784037583,68.7965225418
84,68.4223771058,68.8329175243
85,68.5583327672,68.8971076106
86,68.5730973416,68.8982623957
87,68.5829451514,68.9065630236
88,68.6272698422,68.9508877143
89,68.763382335,69.130741027
90,68.763382335,69.130741027
91,68.9067929352,69.168993793
92,69.0043378498,69.2396282386
93,69.1537486959,69.3890390847
94,69.1845415498,69.4991772713
95,69.2352973966,69.5499331181
96,69.2701712508,69.5848069722
97,69.3162043441,69.6308400656
98,69.3182467717,69.6328824932
99,69.3236016384,69.6380172939
100,69.3567848844,69.6606940668
101,69.4748098902,69.7787190726
102,69.5377576864,69.8416668688
103,69.5888319412,69.8705471071
104,69.6457832005,69.9274983664
105,69.6541098265,69.9358249924
106,69.7703604626,70.0520756285
107,69.8470460417,70.0692556077
108,69.8487287806,70.0781156281
109,69.8732253402,70.1026121877
110,69.9517633215,70.20057082
111,69.9517633215,70.203936728
112,69.9671505532,70.2432538168
113,70.0458689758,70.2938428193
114,70.1202964355,70.3805111404
115,70.1202964355,70.3843725035
116,70.3405844057,70.6046604737
117,70.3575704796,70.6216465476
118,70.4047556437,70.6688317117
119,70.4443123145,70.6780415921
120,70.60247897,70.7873625726
121,70.6333741638,70.8014490663
122,70.6653147461,70.8657574275
123,70.6748950038,70.8753376852
124,70.7755916,70.9760342813
125,70.7907620631,70.9912047444
126,70.8299926358,71.0304353171
127,70.8716162213,71.0720589027
128,70.8747490151,71.0992779874
129,70.966670357,71.1915856704
130,70.9700618272,71.1949771406
131,71.008750789,71.2605745434
132,71.042569075,71.2943928293
133,71.0433931715,71.2952169259
134,71.0507051789,71.3025289333
135,71.0939145006,71.3457382549
136,71.1342347775,71.3860585319
137,71.1792176224,71.43016213
138,71.2310377149,71.4819822225
139,71.2895736178,71.5405181254
140,71.319648702,71.5769128365
141,71.3373069415,71.6144148313
142,71.3726623075,71.6497701973
143,71.3947877932,71.671895683
144,71.4152343381,71.6923422279
145,71.4152343381,71.6923422279
146,71.4302716238,71.7073795136
147,71.4302716238,71.7202936144
148,71.4359821724,71.7202936144
149,71.4619176167,71.7462290587
150,71.4858169863,71.7701284283
151,71.4963393196,71.7779900371
152,71.5540143533,71.8356650709
153,71.5616302396,71.8432809571
154,71.5936792255,71.8688646373
155,71.6144785054,71.8896639172
156,71.640367835,71.9155532468
157,71.6678927151,71.9622162902
158,71.7284488745,71.9718636621
159,71.7314475654,71.9834443282
160,71.7434689936,71.9954657563
161,71.8112386368,72.0632353995
162,71.8182787198,72.0702754825
163,71.8182787198,72.0702754825
164,71.8337027318,72.0858369534
165,71.8517292727,72.0858369534
166,71.851816937,72.0858369534
167,71.8688690673,72.1064192577
168,71.9154411475,72.1869275824
169,71.929301888,72.2007883229
170,71.95228969,72.2007883229
171,71.9526096293,72.2141523679
172,71.963258493,72.2248012316
173,71.963258493,72.231076837
174,72.0700295556,72.3378478996
175,72.0804789238,72.3482972678
176,72.0805439001,72.3483622441
177,72.0811892473,72.3559083305
178,72.0811892473,72.3651749272
179,72.1181818317,72.4021675117
180,72.1220916106,72.4060772905
181,72.1269760836,72.4109617635
182,72.1344051953,72.4214347362
183,72.1482250452,72.4352545861
184,72.1962566272,72.4993564988
185,72.2150759763,72.5181758479
186,72.2460491803,72.5491490519
187,72.2640765183,72.5671763898
188,72.310861474,72.6139613455
189,72.310861474,72.6139613455
190,72.3376582496,72.6407581212
191,72.3632457453,72.6842186564
192,72.3632457453,72.6842186564
193,72.4219132414,72.7428861525
194,72.4219132414,72.7428861525
195,72.4281520241,72.7491249351
196,72.4400259335,72.7817220352
197,72.4507687094,72.792464811
198,72.518461765,72.8207477585
199,72.5539633359,72.8562493294
