Time(Iteration),CAB_User,CAB,CAB_original,LinUCB
0,1.3628631418,1.3628631418,1.3628631418,5.82178790974
1,2.4115085861,2.4115085861,2.4115085861,8.82944336935
2,4.02765902785,4.02765902785,4.02765902785,12.1229741447
3,5.36679900366,5.36679900366,5.36679900366,15.8346800793
4,6.59624857934,6.59624857934,6.59624857934,17.4117106597
5,7.65885612933,7.65885612933,7.65885612933,18.9653508137
6,8.92047009721,8.92047009721,8.92047009721,20.9036719972
7,9.8050117526,9.8050117526,9.8050117526,21.9224524298
8,10.4380400031,10.4380400031,10.4380400031,23.0464740538
9,11.8163521986,11.8163521986,11.8163521986,24.2696764082
10,12.4388905697,12.4388905697,12.4388905697,24.6548787226
11,13.1715244903,13.1715244903,13.1715244903,25.9797953048
12,14.5949714445,14.5949714445,14.5949714445,26.4120949563
13,15.8093053175,15.8093053175,15.8093053175,27.3107066972
14,16.9172784847,16.9172784847,16.9172784847,28.2580151022
15,17.6638556601,17.6638556601,17.6638556601,28.9184253603
16,18.2162457847,18.2162457847,18.2162457847,30.1611632121
17,19.0811102445,19.0811102445,19.0811102445,31.0536102314
18,20.0211551583,20.0211551583,20.0211551583,31.308766623
19,20.9126460904,20.9126460904,20.9126460904,31.66413067
20,21.406406578,21.406406578,21.406406578,31.9793803318
21,22.4177062758,22.4177062758,22.4177062758,32.611534346
22,23.0825021965,23.0825021965,23.0825021965,33.2042156776
23,24.0773029323,24.0773029323,24.0773029323,33.3999985238
24,24.9456613807,24.9456613807,24.9456613807,33.6265747232
25,26.1117544857,26.1117544857,26.1117544857,34.23364162
26,26.9032042067,26.9032042067,26.9032042067,34.730937922
27,27.7654543482,27.7654543482,27.7654543482,35.2296121968
28,28.261800783,28.261800783,28.261800783,35.4391113307
29,28.9832008003,28.9832008003,28.9832008003,35.6838165389
30,29.6667137399,29.6667137399,29.6667137399,35.9123826306
31,30.2246557413,30.2246557413,30.2246557413,36.347063776
32,30.9507340449,30.9507340449,30.9507340449,36.4763320296
33,32.0027294071,32.0027294071,32.0027294071,36.9066473168
34,32.9384106957,32.9384106957,32.9384106957,37.3627206101
35,33.4910198354,33.4910198354,33.4910198354,37.8613148916
36,33.613422324,33.613422324,33.613422324,38.0534586322
37,34.083982347,34.083982347,34.083982347,38.1952219657
38,34.8069986459,34.8069986459,34.8069986459,38.3324930181
39,35.1752672691,35.1752672691,35.1752672691,38.5769571542
40,35.6345458106,35.6345458106,35.6345458106,38.9132471623
41,36.0084821262,36.0084821262,36.0084821262,38.9352084301
