Time(Iteration),CABCoTheta,LinUCBCoTheta,,,,,,
0,0.982913342509,0.980446975343,,,,,,
1,1.09354076282,0.96074349271,,,,,,
2,1.09750096976,0.93772245619,,,,,,
3,1.08054632822,0.915879011216,,,,,,
4,1.09337628548,0.8981252781,,,,,,
5,1.08008635082,0.886362387756,,,,,,
6,1.07546237466,0.863366126936,,,,,,
7,1.07074537712,0.845390500806,,,,,,
8,1.06258444132,0.825356328937,,,,,,
9,1.02262295572,0.803559287138,,,,,,
10,1.01272567409,0.787319127765,,,,,,
11,1.01279666899,0.771986105757,,,,,,
12,1.0078023741,0.757270209459,,,,,,
13,0.996803687989,0.735601854346,,,,,,
14,0.969056527249,0.723132519084,,,,,,
15,0.956482838576,0.711623906087,,,,,,
16,0.929160088304,0.69348501614,,,,,,
17,0.906305666515,0.685575101132,,,,,,
18,0.889932328354,0.67621510359,,,,,,
19,0.891413468421,0.667760914772,,,,,,
20,0.890534846416,0.658061884908,,,,,,
21,0.883916171151,0.65095226766,,,,,,
22,0.877189175225,0.645380314861,,,,,,
23,0.865957390858,0.639598948018,,,,,,
24,0.850856025674,0.6318955692,,,,,,
25,0.848887599596,0.626835614018,,,,,,
26,0.85024198004,0.619857246265,,,,,,
27,0.840577621079,0.612906879337,,,,,,
28,0.839527744075,0.606314508669,,,,,,
29,0.838033153151,0.596837796885,,,,,,
30,0.826867813451,0.589553675671,,,,,,
31,0.829536333044,0.58551926715,,,,,,
32,0.825338929449,0.58075565469,,,,,,
33,0.818461697765,0.575273862806,,,,,,
34,0.814363636224,0.572858303651,,,,,,
35,0.810840668916,0.568983471764,,,,,,
36,0.805441705065,0.563971106699,,,,,,
37,0.801591565059,0.561078442113,,,,,,
38,0.794286210763,0.558633057479,,,,,,
39,0.792518825711,0.55629258192,,,,,,
40,0.791965937322,0.552576961684,,,,,,
41,0.78454075422,0.547643037326,,,,,,
42,0.780809550891,0.543829184638,,,,,,
43,0.779336169925,0.539662451604,,,,,,
44,0.773698564914,0.535236091037,,,,,,
45,0.767059337289,0.532514011438,,,,,,
46,0.761916400755,0.520932285994,,,,,,
47,0.764168158168,0.51552059924,,,,,,
48,0.760985319507,0.510420057523,,,,,,
49,0.75959046856,0.504988268892,,,,,,
50,0.752650425097,0.503656926225,,,,,,
51,0.743010295656,0.502164022595,,,,,,
52,0.736161362659,0.499947372024,,,,,,
53,0.73360622117,0.496041788923,,,,,,
54,0.730921824413,0.494422458784,,,,,,
55,0.729121219167,0.492653550532,,,,,,
56,0.72815340259,0.491332320166,,,,,,
57,0.724240618242,0.486095585322,,,,,,
58,0.719527592247,0.483416505706,,,,,,
59,0.716041855173,0.482195647563,,,,,,
60,0.71416964442,0.481029639029,,,,,,
61,0.711935321247,0.478787994666,,,,,,
62,0.709005293971,0.474730172709,,,,,,
63,0.705167179466,0.472870259456,,,,,,
64,0.702392721403,0.471159532015,,,,,,
65,0.69887416258,0.46907041287,,,,,,
66,0.696861212745,0.46837873374,,,,,,
67,0.693215370799,0.466933918034,,,,,,
68,0.691578232897,0.465456064202,,,,,,
69,0.689009017825,0.464170745642,,,,,,
70,0.686318387388,0.460827227551,,,,,,
71,0.680814721056,0.453025375939,,,,,,
72,0.67786999113,0.451905497157,,,,,,
73,0.675053785955,0.448824074786,,,,,,
74,0.676686909221,0.448011439739,,,,,,
75,0.674956065245,0.447685726508,,,,,,
76,0.665864161295,0.445187116381,,,,,,
77,0.657992271664,0.443705371835,,,,,,
78,0.653073947796,0.442794623749,,,,,,
79,0.651429288249,0.442100375027,,,,,,
80,0.653338654621,0.441332424963,,,,,,
81,0.652542815305,0.440095697174,,,,,,
82,0.648611321982,0.439183741469,,,,,,
83,0.645369976946,0.43858343218,,,,,,
84,0.642549907829,0.436654702453,,,,,,
85,0.639301434891,0.435696099731,,,,,,
86,0.636978457708,0.434495297899,,,,,,
87,0.634323292544,0.432521823674,,,,,,
88,0.630749302256,0.432086399951,,,,,,
89,0.62823531567,0.427332782114,,,,,,
90,0.626096531609,0.426705415184,,,,,,
91,0.624344723709,0.426302861914,,,,,,
92,0.620404222368,0.425466132329,,,,,,
93,0.619941324814,0.422932016935,,,,,,
94,0.623165603039,0.422178935173,,,,,,
95,0.618660309855,0.421050832117,,,,,,
96,0.6161043804,0.419673472131,,,,,,
97,0.615250017091,0.414332894713,,,,,,
98,0.613163349625,0.407987375526,,,,,,
99,0.612227790196,0.407248030084,,,,,,
