Time(Iteration),CABCoTheta,,,,,,
0,0.871842379983,,,,,,
1,0.84861552768,,,,,,
2,0.835088648577,,,,,,
3,0.811351260498,,,,,,
4,0.797689965064,,,,,,
5,0.766238864359,,,,,,
6,0.748584081682,,,,,,
7,0.731800479438,,,,,,
8,0.719032453791,,,,,,
9,0.703082037834,,,,,,
10,0.691416350514,,,,,,
11,0.68581549558,,,,,,
12,0.674502412226,,,,,,
13,0.663526148774,,,,,,
14,0.658649151214,,,,,,
15,0.651850068063,,,,,,
16,0.641859589312,,,,,,
17,0.631192675043,,,,,,
18,0.618190879812,,,,,,
19,0.609412292212,,,,,,
20,0.605359858759,,,,,,
21,0.588860790449,,,,,,
22,0.584527111248,,,,,,
23,0.576743320014,,,,,,
24,0.552264465965,,,,,,
25,0.548726630922,,,,,,
26,0.544676522117,,,,,,
27,0.537242249588,,,,,,
28,0.532835844586,,,,,,
29,0.523839379801,,,,,,
30,0.519438743432,,,,,,
31,0.511221716701,,,,,,
32,0.507953544836,,,,,,
33,0.5029216839,,,,,,
34,0.502824517645,,,,,,
35,0.499538551327,,,,,,
36,0.494524758779,,,,,,
37,0.491220395841,,,,,,
38,0.487636724263,,,,,,
39,0.485811817688,,,,,,
40,0.484197666362,,,,,,
41,0.482036620892,,,,,,
42,0.481029284743,,,,,,
43,0.477748061543,,,,,,
44,0.474180510162,,,,,,
45,0.465531306649,,,,,,
46,0.46433286649,,,,,,
47,0.458806445216,,,,,,
48,0.455727992965,,,,,,
49,0.453927135264,,,,,,
50,0.451191296544,,,,,,
51,0.448355862958,,,,,,
52,0.447631968754,,,,,,
53,0.44676273668,,,,,,
54,0.44283776025,,,,,,
55,0.441760567761,,,,,,
56,0.440664400994,,,,,,
57,0.437937262878,,,,,,
58,0.437142420308,,,,,,
59,0.436048789317,,,,,,
60,0.435654866216,,,,,,
61,0.435228528676,,,,,,
62,0.431121701727,,,,,,
63,0.428595640836,,,,,,
64,0.427637270745,,,,,,
65,0.427083220314,,,,,,
66,0.424234877614,,,,,,
67,0.423378209259,,,,,,
68,0.423288632001,,,,,,
69,0.422873513791,,,,,,
70,0.420936370418,,,,,,
71,0.420336746441,,,,,,
72,0.419771399988,,,,,,
73,0.41807191427,,,,,,
74,0.417873948891,,,,,,
75,0.417352144987,,,,,,
76,0.416756043076,,,,,,
77,0.412373373358,,,,,,
78,0.411645471997,,,,,,
79,0.410887159929,,,,,,
80,0.408599814342,,,,,,
81,0.407372229724,,,,,,
82,0.408435685428,,,,,,
83,0.407673314318,,,,,,
84,0.407629993275,,,,,,
85,0.40726711959,,,,,,
86,0.40626976778,,,,,,
87,0.405663833355,,,,,,
88,0.40537474902,,,,,,
89,0.404199247367,,,,,,
90,0.403937627538,,,,,,
91,0.403919723605,,,,,,
92,0.403802048555,,,,,,
93,0.400947208914,,,,,,
94,0.39582176759,,,,,,
95,0.393182146686,,,,,,
96,0.390632694758,,,,,,
97,0.389978448382,,,,,,
98,0.389048661625,,,,,,
99,0.388274941693,,,,,,
100,0.387464492161,,,,,,
101,0.387298497634,,,,,,
102,0.38362598091,,,,,,
103,0.381947797496,,,,,,
104,0.381192146951,,,,,,
105,0.37987705961,,,,,,
106,0.379344220183,,,,,,
107,0.378862086314,,,,,,
108,0.378577577118,,,,,,
109,0.374740259685,,,,,,
110,0.374477125102,,,,,,
111,0.374289543692,,,,,,
112,0.374210300935,,,,,,
113,0.373843838854,,,,,,
114,0.373737424201,,,,,,
115,0.373233713231,,,,,,
116,0.372372435405,,,,,,
117,0.371868761724,,,,,,
118,0.371210654854,,,,,,
119,0.370522749299,,,,,,
120,0.369601892685,,,,,,
121,0.369003972997,,,,,,
122,0.368143634485,,,,,,
123,0.367423380589,,,,,,
124,0.367174654941,,,,,,
125,0.366934836431,,,,,,
126,0.364372617723,,,,,,
127,0.364006650244,,,,,,
128,0.363883678109,,,,,,
129,0.363181110588,,,,,,
130,0.362615161527,,,,,,
131,0.362551248479,,,,,,
132,0.362442183122,,,,,,
133,0.361641771594,,,,,,
