Time(Iteration),CAB_User,CAB,CAB_original,LinUCB
0,5.22261953887,5.22261953887,5.22261953887,7.72684771238
1,7.023844516,7.023844516,7.023844516,14.0033260463
2,10.2882269092,10.2882269092,10.2882269092,21.0956373545
3,12.398997274,12.8533647451,12.398997274,23.8998278465
4,13.2643029392,13.977547597,13.2643029392,26.5394541884
5,14.2841008166,15.547580881,14.2841008166,28.5792643411
6,15.556201695,17.2886764098,15.556201695,31.2423586782
7,16.8869200518,19.3065497102,16.8869200518,33.0749759338
8,18.3913828784,20.6154402685,18.3913828784,35.2151033446
9,19.7855601193,22.0557548035,19.7855601193,37.3351834692
10,20.8520783453,23.7982508332,20.8520783453,38.5610418017
11,21.7262252769,26.098459174,21.7262252769,39.4552845272
12,22.4403354969,27.2382003742,22.4403354969,40.4855527743
13,22.9362188924,28.3728390192,22.9362188924,41.8482641294
14,23.7248802282,29.2281597126,23.7248802282,42.8250708656
15,24.330384576,30.5510677356,24.330384576,43.7920604322
16,25.3386400245,32.1724561407,25.3386400245,44.53921173
17,25.6261271942,32.778805774,25.6261271942,45.1645293974
18,25.881686506,33.4092775798,25.881686506,46.1323951411
19,26.1255858786,33.8457603153,26.1255858786,47.0763153276
20,26.9168205014,34.9616217415,26.9168205014,47.6975319928
21,27.5691553335,35.9664482613,27.5691553335,47.9261063896
22,27.7814636045,37.2451710741,27.7814636045,48.3038853231
23,28.2121060012,37.9929067185,28.2121060012,48.5545963347
24,28.791969522,38.8026424791,28.791969522,49.2286670056
25,29.360576491,39.9584124907,29.360576491,50.0730801098
26,29.9219930914,40.5350782326,29.9219930914,50.5290235639
27,30.1258150744,41.5740005281,30.1258150744,50.8605979388
28,30.2058392799,42.2958088546,30.2058392799,50.9433429122
29,30.7399237926,43.5244017947,30.7399237926,51.1682375429
30,31.0142738297,44.3441621532,31.0142738297,51.4629967241
31,31.3179969246,45.1406464488,31.3179969246,51.8242574469
32,31.5610991342,45.4934556321,31.5610991342,52.0990920988
33,31.7901764958,46.0573330404,31.7901764958,52.3969021637
34,32.0777269855,46.7912569059,32.0777269855,52.8894109167
35,32.8411450868,48.0537164234,32.8411450868,53.6365887773
36,33.1343242417,48.6468387535,33.1343242417,54.0722004573
