Time(Iteration),CAB_true_decrease
0,6.94185649509
1,10.4595125096
2,13.5739971919
3,18.4979100972
4,20.9768798594
5,24.4048155796
6,27.8138764231
7,31.1265441954
8,33.592582268
9,35.7329070572
10,37.6112716916
11,40.283039544
12,42.113778397
13,45.3656098623
14,47.8294700508
15,50.2265780433
16,52.3571932232
17,55.7036735865
18,57.7334754465
19,59.5536749423
20,61.4350405027
21,63.2782943019
22,65.7299880969
23,68.1414694011
24,70.3310029212
25,72.0858233845
26,74.8835224114
27,77.0948346624
28,78.6743665483
29,80.4578407123
30,82.47396671
31,84.238247395
32,86.3341487163
33,87.9799954533
34,89.7701767349
35,91.3060036224
36,93.5472459646
37,94.9504611437
38,96.7886362026
39,100.053794087
40,102.659081585
41,105.742494547
42,108.497641218
43,110.336630602
44,111.779727293
