Time(Iteration),CAB_true_decrease
0,7.15834948888
1,12.6449976393
2,18.1709164042
3,23.5070215857
4,28.8412499113
5,32.6938965007
6,36.9186469467
7,41.1250767646
8,45.3140527136
9,49.6807299409
10,53.8703515818
11,58.2614532536
12,62.2974949056
13,66.7169059703
14,70.4946442525
15,73.7759199955
16,77.3512686521
17,81.9015831226
18,84.585252838
19,86.7455712692
20,89.6863384382
21,93.0753771311
22,97.0387679445
23,99.5132982339
24,102.222137661
25,104.860898017
26,108.324875381
27,111.614440318
28,114.638946243
29,118.233160046
30,120.766959434
31,123.006733719
32,125.890418839
33,128.533050027
34,131.083439161
35,134.5917292
36,138.688331543
37,142.425999845
38,144.082434121
39,147.234585676
40,149.177124315
41,150.792131874
42,153.326236643
43,156.742444097
44,159.190502335
45,161.36707504
46,163.736202244
47,166.882557859
48,170.073236775
49,172.102238374
50,175.886663325
51,178.951789042
52,182.011032836
53,185.22177161
54,187.870683362
55,191.486809666
56,194.676713539
57,197.516420613
58,199.741089527
59,202.139412886
60,205.709585191
61,207.415665499
62,210.769794079
63,214.619350165
