Time(Iteration),LinUCB_new,LinUCB
0,6.09623872038,6.36977890198
1,12.6959877242,12.5874067041
2,17.6056823582,17.1571267165
3,22.2108665149,22.2011129058
4,25.544713649,26.2021646636
5,28.3728705703,30.3048429067
6,30.1962433938,33.2950824985
7,32.1860564379,35.9085662682
8,34.9484026254,37.9844187891
9,36.7410127022,39.8577339365
10,38.5592762448,41.8178933575
11,40.0395633852,44.1885965461
12,41.6046693304,46.0309489187
13,43.448117232,47.8288657575
14,44.5971915818,49.3536065533
15,45.3187742413,50.4310654092
16,46.2254064884,51.187455878
17,47.0284583923,52.083903054
18,47.7360602898,53.2305436775
19,48.5958322964,53.906655641
20,49.0427807748,54.0159976183
21,49.6711481209,54.6365108501
22,50.3628720225,55.8184125165
23,50.7288446883,56.4541701743
24,51.369356202,57.0555552285
25,51.7261314631,57.4438120874
26,52.1566736837,57.6564956414
27,52.3408471744,57.7082810358
28,52.8428857017,57.7969549155
29,53.2415184486,58.061560728
30,53.3767673087,58.1922526447
31,53.6332641809,58.4592974699
32,53.9454240447,58.6905299178
33,54.3239495125,59.3136087007
34,54.707567045,59.7597123376
35,55.3134507446,60.0744873773
36,55.612357851,60.1121560593
37,55.7873531495,60.2871513578
38,56.0166011466,60.5220596154
39,56.2741514723,60.9147418229
40,56.3971880823,61.2104963844
41,56.7633243271,61.4328941286
42,56.9606402928,61.5646330481
43,57.0452158437,61.6421226364
44,57.3112838751,62.1615091763
45,57.635079309,62.4701085899
46,57.716505699,62.5674797877
47,57.8780924844,62.7080491627
48,58.0911390472,62.8280582633
49,58.3075010252,63.0410638588
50,58.3645057061,63.1353337168
51,58.5079001143,63.6014358317
52,58.5434914867,63.9281694946
53,58.6500546807,64.1158062873
54,59.0884600573,64.4164277791
55,59.4546085649,64.8018827252
56,59.6556652034,64.9126943935
57,59.7341545772,64.9751324589
58,59.9570803758,65.2909044601
59,60.3323322777,65.7358063096
60,60.4251889275,65.8187805287
61,60.4876545662,65.8812461674
62,60.6051129659,65.9574939136
63,60.7219541165,66.0959303749
64,60.8116134437,66.1855897021
65,60.877613775,66.2780901428
66,61.1573823072,66.557858675
67,61.3785937298,66.6285764966
68,61.4025387077,66.6525214744
69,61.4415541205,66.7687029907
70,61.466402578,66.7935514481
71,61.6188748696,66.9460237398
72,61.6746780081,67.0165495972
73,61.8328287122,67.2016293696
74,61.8641337658,67.2095296543
75,61.8778367556,67.2232326442
76,61.9901790392,67.2820808232
77,62.1946354608,67.5278216238
78,62.1961854158,67.5293715787
79,62.2998131083,67.5558023806
80,62.30493962,67.6622766438
81,62.3986534915,67.7247520567
82,62.4957331244,67.8218316895
83,62.5496785908,67.875777156
84,62.5496785908,67.8954693711
85,62.6693899953,67.9275013742
86,62.7671045683,67.9552339027
87,62.8011792064,68.1859658856
88,62.9229367509,68.3532113091
89,63.0960148176,68.3990994725
90,63.1111849613,68.3998497098
91,63.1362809757,68.4261169458
