Time(Iteration),CAB,CAB_original
0,7.29355929553,7.29355929553
1,13.6098739907,13.6098739907
2,20.084280723,20.084280723
3,25.4761653302,25.4761653302
4,30.9128777317,30.9128777317
5,35.4663252241,35.4663252241
6,40.4044956007,40.4044956007
7,45.4552418737,45.4552418737
8,50.0067104957,50.0067104957
9,54.1176472865,54.1176472865
10,57.8137182479,57.8137182479
11,61.7175279566,61.7175279566
12,65.3082844186,65.2614899444
13,68.5539419862,68.5262405714
14,72.2800244448,72.25232303
15,75.8381021973,75.7752274963
16,79.2130422793,79.1635875861
17,82.6800355318,82.6715021447
18,85.2628583692,85.2543249821
19,87.8497146781,87.841181291
20,90.1350775716,90.1265441844
21,92.897817921,92.898294516
22,95.2305240364,95.3110067527
23,96.8811550047,97.1491463157
24,99.4658662322,99.7422614133
25,101.255713565,101.532758539
26,102.660130788,103.228477093
27,104.094904399,104.503323301
28,105.875396598,106.230678856
29,107.364088272,107.853440597
30,109.256637494,109.458868127
31,111.389937541,111.574009945
32,112.785815363,113.053465253
33,114.115195623,114.265826713
34,115.282257522,115.238336201
35,116.495353231,116.390209572
36,117.921703579,117.902889221
37,119.374600924,119.313528011
38,120.863090079,120.648595357
39,122.015686322,121.649495353
40,123.417556664,123.007138741
41,125.184435967,124.667977241
42,126.691206583,126.062468416
43,128.263315209,127.668514933
44,129.816040096,129.191420915
45,131.454107621,130.564981665
46,132.589928125,131.707987034
47,133.712851445,132.74475656
48,135.065795021,134.303037459
49,136.778704145,136.001612732
50,137.670817225,136.879652057
51,138.827845785,137.834344612
52,140.018797998,138.925486707
53,141.278010416,139.992692716
54,142.168537659,141.001833465
55,143.36095587,142.224758271
56,144.774593397,143.541950809
57,145.599982889,144.634679692
58,146.82203949,146.25583558
59,147.784524931,147.367401031
60,149.580437064,149.176329919
61,150.893007696,150.632469102
62,151.816274906,151.553130669
63,152.987581832,152.721095499
64,154.18358983,153.917103498
65,155.057779298,154.984843012
66,155.912812382,155.773849362
67,156.852942432,156.687255787
68,157.765742289,157.610076572
69,159.000656177,158.689065211
70,159.951287927,159.628815382
71,160.736286764,160.406450107
72,161.657311961,161.314759695
73,162.313157526,162.119255869
74,163.148577119,162.963233942
75,164.307556456,164.172483771
76,165.317707412,165.086932387
77,166.620200721,166.23682937
78,167.581004462,167.160095089
79,168.788775959,168.387923686
80,169.912880362,169.555654838
81,171.399392132,171.120204205
82,171.971940422,171.731571356
83,172.852020442,172.640967389
84,174.052215957,173.856578944
85,174.69838763,174.583460813
86,175.680854843,175.635724236
87,176.432854683,176.342895773
88,177.349844122,177.200210651
89,178.500708924,178.492332573
90,179.372002129,179.417797344
91,180.153282129,180.166366706
92,181.072583578,181.106177525
93,182.022365531,182.03686073
94,182.648922629,182.653032683
95,183.469279261,183.427123577
96,184.464570158,184.440840515
97,185.272809029,185.426023834
98,185.79967447,186.052876683
99,187.141903086,187.310989675
100,188.279431098,188.458385598
101,188.804576674,188.89303801
102,189.69511354,189.605948454
103,189.9782255,189.832663833
104,190.683370769,190.530378593
105,191.605324727,191.609084967
106,192.218520748,192.228672126
107,192.894176572,192.920186473
108,193.318575362,193.329207941
109,194.181884295,194.143369819
110,195.168667007,195.165854459
111,195.726380935,195.822204843
112,196.86040467,196.93451408
113,197.416707558,197.470688722
114,198.052997666,198.106978829
115,198.728742158,198.777368963
116,199.348044401,199.399081745
117,200.276126199,200.142365665
118,200.584950117,200.345657589
119,201.204734207,200.894622548
120,201.928483668,201.540936055
121,202.766429191,202.388646832
122,203.554970039,203.17718768
123,203.934050891,203.562241336
124,204.498003258,204.179305473
125,204.710706815,204.39200903
126,205.447463578,205.263531382
127,205.845217422,205.517247146
128,206.468433007,206.186488454
129,207.291538721,206.955988117
130,207.777073599,207.564208543
131,208.613077499,208.385794983
132,209.381999689,209.177382733
133,209.896618436,209.732748302
134,210.494110405,210.359675721
135,211.040601313,211.012346427
136,211.408933137,211.388240373
137,212.126224976,212.11848883
138,212.977246326,212.962161579
139,213.895630238,214.118675563
140,214.492126656,214.782631812
141,214.943598487,215.230160321
142,215.991232903,216.265608373
143,216.719809072,216.99403251
144,217.305102636,217.555581695
145,217.566798022,217.816233325
146,218.186587431,218.436022734
147,219.109112572,219.38432895
148,219.54161137,219.763204322
149,220.184569823,220.399629971
150,220.939089117,221.154989996
151,221.405658271,221.740363873
152,221.717124953,222.051830555
153,222.141283851,222.481693195
154,222.718070513,223.035046256
155,223.124067981,223.4703505
156,223.791353958,224.136570657
157,224.487061454,224.844845306
158,224.847533048,225.218586721
159,225.474071669,225.822121772
160,225.83976229,226.191397803
161,226.192813702,226.544449214
162,226.667200271,227.040240909
163,227.074346128,227.411801932
164,227.484428377,227.821884181
165,228.065352596,228.408332266
166,228.61686404,228.95984371
167,228.996445072,229.333586482
168,229.910364666,230.26008448
169,230.214446351,230.564166164
170,231.019225736,231.366457495
171,231.492712745,231.787642406
172,232.310769614,232.605699275
173,232.588883579,232.885291451
174,233.097513728,233.390459848
175,233.943869126,234.246130418
176,234.524508457,234.826386307
177,235.38820027,235.690078119
178,236.478845997,236.780723847
179,237.2305479,237.534055808
180,238.153502134,238.440660885
181,238.53297933,238.803867587
182,238.79253953,239.026181599
183,239.188822751,239.428133686
184,239.356100891,239.556565727
185,239.96970528,240.172275383
186,240.642197764,240.844767867
187,241.406001301,241.615475585
188,242.207585016,242.4170593
189,242.997253113,243.204942762
190,243.809848939,244.006126455
191,244.546835733,244.859166717
192,245.262309624,245.546374599
193,245.452253975,245.741996161
194,246.041071393,246.370275741
195,246.59349469,246.939581194
196,247.133624581,247.479711085
197,247.622673716,247.964609908
198,248.392526172,248.74710371
199,248.702505479,249.056535261
200,249.66382308,250.003820632
201,250.218218779,250.570743002
202,250.703153272,251.055677495
203,251.283096233,251.635396042
204,252.049795907,252.402095716
205,252.587531758,252.937006797
206,253.160158409,253.583367128
207,253.676958,254.100166719
208,254.311931187,254.754871985
209,254.895162182,255.344976957
210,255.33785919,255.787673965
211,256.214417494,256.642441464
212,256.78985662,257.240948065
213,257.527975947,257.979067393
214,257.947532317,258.396301014
215,258.622398948,259.122625173
216,258.997258819,259.51606886
217,259.35889247,259.881851248
218,259.596123691,260.118142518
219,260.283953072,260.8059719
220,260.702338617,261.224357445
221,260.895594979,261.412745511
222,261.38997241,261.907122942
223,262.014391432,262.509785302
224,263.052759185,263.546061931
225,263.785339655,264.278642401
226,264.409528494,264.907092203
227,264.784232582,265.306584617
228,265.608882021,266.131234057
229,266.166170147,266.683971026
230,266.701895084,267.201552134
231,267.22006656,267.71972361
232,268.01314269,268.51279974
233,268.421024223,268.906863774
234,268.775770855,269.261610405
235,268.973067184,269.458906735
236,269.504923111,269.990762662
237,269.842346934,270.319052424
238,270.424237395,270.909643438
239,270.758755775,271.23562911
240,271.431837915,271.899096796
241,272.410924224,272.877561857
242,273.05844435,273.525081984
243,273.63310544,274.038978243
244,274.402587137,274.80845994
245,274.850369572,275.256242375
246,275.16645251,275.572325313
247,275.737919763,276.143792566
248,276.020590646,276.426463448
249,276.582646597,276.9885194
250,277.259132718,277.661791677
251,277.613317837,278.015976796
252,278.163661612,278.568123486
253,278.316209577,278.720671452
254,278.854322544,279.192251867
255,279.848903553,280.184094225
256,280.38508705,280.720277722
257,280.880491856,281.215682528
258,281.341251669,281.678441341
259,282.16756689,282.498863972
260,282.641540906,282.972234828
261,283.066013063,283.377318858
262,283.467644672,283.778950467
263,284.419636428,284.741565373
264,284.971062993,285.248787712
265,285.908284302,286.189492231
266,286.82862201,287.058760359
267,287.306259089,287.536397438
268,287.585697889,287.802054133
269,288.250883295,288.467239539
270,288.878747898,289.095506641
271,289.149180363,289.365939106
272,289.625974543,289.857401806
273,289.849308922,290.080736184
274,290.511752254,290.743179516
275,290.930517551,291.115993772
276,291.121072537,291.306548758
277,291.659543264,291.839510232
278,292.425283776,292.669982526
279,292.777095677,293.024909446
280,293.458967441,293.694886988
281,293.995033004,294.233153712
282,294.517341295,294.757845558
283,294.909544014,295.150048277
284,295.102031003,295.342535266
285,295.896031818,296.181509054
286,296.555137312,296.8187334
287,296.846820356,297.093324246
288,297.508707262,297.755211152
289,297.953946001,298.193862304
290,298.808363241,299.048279544
291,299.477295719,299.69643133
292,300.424643914,300.636929133
293,300.858166205,301.070451424
294,301.432805223,301.650212788
295,301.841682335,302.0590899
296,302.164191322,302.381598887
297,302.519524496,302.739701509
298,302.835327525,303.04465154
299,303.395947254,303.605271269
