Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB,CAB_cbj,CAB_cbij
0,7.67342176341,7.67342176341,7.67342176341,7.67342176341,7.67342176341,7.67342176341
1,15.9832486842,13.0010699795,10.8130625879,15.4958118365,13.0022338377,13.7124276129
2,21.3184486407,19.0915632347,12.6002107167,20.6376401013,17.1273883943,19.0200907521
3,25.0498453779,22.9716521574,13.98056469,23.7201901014,20.5479725301,23.6093454211
4,28.1942134381,26.4319383355,15.1227233939,26.4670317332,22.293855517,25.7609951601
5,31.120020798,28.3370824385,16.4202259622,28.846497119,23.4639236033,27.9543928951
6,32.9570379497,31.0253924953,17.7448189213,30.8387732529,25.5684864584,29.4721663841
7,34.5618042728,33.1127925235,18.2312593953,33.3006200213,26.6138948403,31.4110024104
8,36.8610115553,35.3668664978,19.281537051,35.4023956757,28.7010263644,33.1250532433
9,39.26153054,37.2771761982,20.468381903,37.6929945853,30.2358070449,34.0561612605
10,40.5510776978,38.5723660341,20.9787800409,39.1250958154,31.1815712553,35.1327643727
11,41.8908689142,39.533925673,21.4632778591,40.3840329955,31.7506244534,35.703999099
12,43.4518258401,41.5455432089,22.0774601883,41.024101809,32.7422787052,36.5283057965
13,45.1607286566,42.6740524333,22.8069490782,42.7274601745,33.7148419977,37.5650158848
14,47.1736756122,43.4291683298,23.4247696315,44.3856199053,34.4947000198,38.2320448311
15,48.4374417335,44.4934417092,23.6583674281,45.1840092241,34.7600120393,38.713894609
16,49.1735845871,45.5558374863,23.8796017061,46.1476225367,34.9290408462,38.8003038436
17,50.4267715973,46.1155772867,24.3117879172,47.2218725606,35.8270134533,39.937782903
18,51.2893680892,47.5769341823,24.8581201787,48.4203979612,37.056475996,40.7038222525
19,51.8797764203,48.5766646196,25.3304177725,49.1489075841,37.4023891951,41.0606162829
20,52.7588968795,49.3500257104,25.5280487105,49.8761454997,37.8382512922,41.4561847607
21,53.4353688435,49.8918698584,26.0212442734,50.4873227367,38.4149526704,41.7800569677
22,54.2129202965,50.6687161553,26.3763616333,51.1916243711,39.0383699851,42.6434910545
23,54.5752116279,50.9681447692,26.6947807558,51.6441070172,39.191070059,42.8252309252
24,55.472393272,51.972520677,27.0730416295,52.0831561203,39.7561317361,43.0001515193
25,56.0910512805,52.4625983237,27.3379724623,52.845752878,40.1727087938,43.3683773396
26,56.4841860373,52.8736224965,27.5493743591,53.3655138267,40.3616377044,43.3801493459
27,56.6846472788,53.0818880276,27.5644291497,53.7556479434,40.5693210005,43.511872786
28,56.9922222865,53.402010291,27.6825587398,54.0049286598,40.7103051603,43.6120772806
29,57.5790309077,53.5529104751,27.795036134,54.3617511934,40.8270853901,43.8327894277
30,57.9340886167,53.6501811521,27.857968619,54.6674310806,40.901808668,43.8584341695
31,58.2401861234,53.9826064754,27.9848452527,55.2189866263,41.0377932867,43.9783652231
32,59.0669435546,54.6585679134,28.2677584344,55.9561055797,41.4340632161,44.4103848137
33,59.5436169846,55.0120083357,28.3405849286,56.1729949401,41.7334176301,44.466035162
34,59.9933419331,55.4938288602,28.6114867506,56.7733171863,41.9608728822,44.7687623891
