Time(Iteration),LinUCB_new,LinUCB
0,7.07429576264,6.92164679048
1,11.6906348227,11.974480107
2,15.9786246311,16.1682454649
3,18.4984742047,18.7005350817
4,21.6115763102,21.7484690774
5,23.814990965,24.0689663905
6,25.9866596613,26.4648010238
7,27.9924494077,28.4705907702
8,29.9429005064,30.3998689954
9,31.2726179887,32.0266770223
10,33.5374142055,34.5629381598
11,34.2405390994,35.3124757209
12,35.0362635397,36.2883429068
13,36.0903885013,37.105650689
14,37.1457140917,38.1748633957
15,38.6397174343,39.8608093479
16,39.8943799715,40.9100517704
17,40.5880238677,41.8167807357
18,41.1478627486,42.3783823288
19,41.9314363086,43.0961831017
20,42.5074212433,43.5915011438
21,43.0234727627,44.1075526632
22,43.5009455203,44.5933701717
23,43.8492259841,44.9192731895
24,44.1590266308,45.2760520157
25,44.7157311743,45.7909384005
26,45.6963986597,46.7515770035
27,46.3084535169,47.3184680317
28,46.8452018668,47.6720066339
29,47.1175260324,47.9443307996
30,47.8635829098,48.7523456688
31,48.1662509795,49.0143261593
32,48.7524606588,49.6235956533
33,49.1259667735,50.0924517863
34,49.3650197653,50.3764429635
35,49.8454134442,51.0428906155
36,50.1754394305,51.3367368134
37,50.7111521069,52.1473486132
38,50.8195519054,52.2553118171
39,50.9064449868,52.3422048984
40,51.0430737814,52.478833693
41,51.1336120838,52.5693719955
42,51.5671006619,52.9578833012
43,51.7899763162,53.1680299599
44,51.9519163948,53.3365156273
45,52.1240006697,53.6590915554
46,52.3253287631,53.8298848906
47,52.4643888186,53.9689449462
48,52.7001615093,54.2047176368
49,52.8006384319,54.3051945595
50,52.902381735,54.4069378626
51,53.0928904869,54.6408289695
52,53.2072073502,54.7551458328
53,53.4379987963,54.9859372789
54,53.4909406052,55.0315695909
55,53.5847997207,55.1254287064
56,53.6694606814,55.204354573
57,53.7150602288,55.2499541204
58,54.0468240163,55.5817179079
59,54.0478183826,55.5875884104
60,54.1044490861,55.6442191139
61,54.2939385152,55.837206288
62,54.4009218106,55.9768958824
63,54.5352019314,56.0754692576
64,54.5637336879,56.1098727513
65,54.8099340048,56.3560730682
66,54.9513764219,56.5771513218
67,54.9911525204,56.6169274202
68,55.0639149507,56.6754755126
69,55.1235076417,56.7350682036
70,55.1880262233,56.8092188806
71,55.2495576742,56.8578219735
72,55.3532976486,56.9591668715
73,55.4368959128,56.9957437048
74,55.5963894387,57.1552372307
75,55.6991058888,57.3001902785
76,55.7538482657,57.4358838119
77,55.9301961966,57.6048184477
78,56.2298960783,57.9045183294
79,56.2826894141,57.9573116652
80,56.4243678156,58.0852355642
81,56.6008450313,58.1733084593
82,56.614893407,58.187356835
83,56.6974711601,58.2699345882
84,56.7738677675,58.295955018
85,56.8139592409,58.4332204114
86,56.8927357053,58.515088543
87,56.9354111962,58.557764034
88,57.003055627,58.6218926735
89,57.0258850034,58.6567458642
90,57.1146191848,58.7508329343
91,57.1735292923,58.7950752771
92,57.3099237045,58.9314696893
93,57.3802911012,59.0381777123
94,57.3921910492,59.0500776603
95,57.4559830058,59.1477988069
96,57.4559830058,59.1477988069
97,57.4968157773,59.1886315784
98,57.5236931668,59.24048827
99,57.5390112015,59.2558063047
100,57.6263255969,59.3848714057
101,57.7377593719,59.4963051807
102,57.8313542484,59.5768073678
103,57.8355159726,59.5768073678
104,57.8642326117,59.6055240069
105,57.8927760759,59.6398059505
106,57.954838351,59.6470995432
107,58.0030696353,59.6866255371
108,58.2025527487,59.8954087731
109,58.2105776097,59.9034336341
110,58.2425643649,59.9420639791
111,58.3114776819,59.9851090456
112,58.4499079799,60.1235393435
113,58.5460922134,60.219723577
114,58.6984294995,60.3574200062
115,58.7389488041,60.3979393109
116,58.8460637995,60.5050543062
117,58.8932226058,60.5236497823
118,58.9216936245,60.5473849087
119,58.9555697955,60.5812610797
120,58.9851023735,60.6107936576
121,58.9871909948,60.612882279
122,58.9902555316,60.6159468158
123,59.0620872251,60.6877785093
124,59.1366033916,60.7622946757
125,59.1432434649,60.7689347491
126,59.1590963345,60.7822174511
127,59.2424343763,60.8655554929
128,59.2614012965,60.8845224131
129,59.3803556288,61.0034767454
130,59.4168422745,61.2112776809
131,59.4168422745,61.2112776809
132,59.4185112233,61.2129466297
133,59.4679215799,61.2623569864
134,59.4880630296,61.3193545529
135,59.5243062848,61.3604482187
136,59.7156501483,61.5517920822
137,59.7371665419,61.6329765004
138,59.7414097757,61.6813977822
139,59.7828537781,61.7228417845
140,59.8876006901,61.82396331
141,59.896838426,61.9480399425
142,59.8992783435,62.026007661
143,59.9361801225,62.06290944
144,60.003254009,62.1299833265
145,60.1348629071,62.2699643098
146,60.1489174743,62.284018877
147,60.1495594406,62.2846608433
148,60.1931994209,62.3370954126
149,60.1931994209,62.3582922665
150,60.1931994209,62.3582922665
151,60.2372170784,62.402309924
152,60.257408767,62.4225016126
153,60.257408767,62.4225016126
154,60.2825040646,62.4475969102
155,60.4432409877,62.6083338333
156,60.4558912081,62.6209840537
157,60.4763760712,62.6414689168
158,60.542233873,62.7860690189
159,60.5452917645,62.7891269103
160,60.5807262775,62.8245614233
161,60.6000639908,62.8823047428
162,60.7315169553,62.8868295584
163,60.7793271292,62.9323218958
164,60.7944822816,62.9743874128
165,60.7944822816,62.9743874128
166,60.8191300368,62.9995033211
167,60.8191300368,62.9995033211
168,60.9024561002,63.1009050269
169,60.984236012,63.1826849387
170,61.0320293154,63.2304782421
171,61.0335931669,63.2320420937
172,61.0335931669,63.2320420937
173,61.1870830018,63.3855319285
174,61.1870830018,63.3855319285
175,61.2080906595,63.4229006259
176,61.2080906595,63.4384422317
177,61.2691491029,63.4995006751
178,61.2982250501,63.5285766224
179,61.3224037134,63.5351800434
180,61.3259421478,63.5812022534
181,61.3399935242,63.5952536298
182,61.4271102709,63.6810537126
183,61.4271102709,63.6810537126
184,61.4332826787,63.6872261204
185,61.4632362478,63.7171796895
186,61.7256850932,63.9704578289
187,61.7256850932,63.9704578289
188,61.7335225041,63.9782952398
189,61.7707039797,64.0154767154
190,61.7839804404,64.0287531761
191,61.8124614662,64.0572342019
192,61.8179568261,64.0627295618
193,62.0008800964,64.2456528321
194,62.0150592146,64.2598319503
