Time(Iteration),CAB_decrease,CAB_original,CAB_increase,CAB_optimal,LinUCB
0,6.42472679174,6.20099365683,6.42472679174,6.42472679174,6.83120066404
1,9.11746447767,10.9491619298,10.867055132,9.11746447767,11.4243403673
2,11.3815617977,14.5797900199,14.7281828978,11.3815617977,15.7366729083
3,13.0933862881,17.8453944534,17.5001049214,13.0933862881,18.6196126677
4,14.686185967,21.2931213888,20.4497156901,14.686185967,21.6540485757
5,15.9088808854,24.302852523,22.2474632118,15.9088808854,23.6814698477
6,18.0306097133,28.0169064767,24.6730356662,18.0306097133,25.9010221068
7,18.923578896,30.1560045952,26.723738634,18.923578896,27.6223988551
8,19.8115911324,32.2180403317,28.1370132304,19.8115911324,28.7165166187
9,20.8880284556,34.4171072148,29.4637040481,20.8880284556,30.1821264878
10,21.5122004077,35.4440784194,30.5425248967,21.5122004077,31.1604548983
11,21.9692668558,36.8699338351,31.2234436446,21.9692668558,31.4693480943
12,22.859994612,38.4033880412,32.6081807526,22.859994612,32.958117469
13,23.2698323499,39.6317062971,33.3539720249,23.2698323499,33.7431912516
14,23.9384423271,40.4752007945,34.2565084396,23.9384423271,34.5673674515
15,24.2686164633,41.0851770485,34.8523138749,24.2686164633,35.1921825368
16,24.7606039575,41.825579459,35.5010400967,24.7606039575,35.8443589959
17,25.5660542667,42.3206706086,36.3332416087,25.5660542667,36.6230616083
18,25.8933583098,42.9986092322,37.1752432629,25.8933583098,37.3886122983
19,26.2143363417,43.2168749921,37.467283887,26.2143363417,37.8781741242
20,26.6176136523,43.85335192,38.3458309402,26.6176136523,38.6725589181
21,27.1272796926,44.8572797421,39.1405225346,27.1272796926,39.4593914028
22,27.5492048311,45.552342547,39.7449862306,27.5492048311,40.3632025053
23,28.0556921329,46.1003926826,40.4763720428,28.0556921329,41.0628705023
24,28.3393661588,46.4695903422,40.7445701119,28.3393661588,41.2952547281
25,28.637033578,46.7565046646,41.1661201511,28.637033578,41.7168047673
26,28.890546386,47.0020792714,41.2944329461,28.890546386,41.8451175623
27,29.3023140616,47.2515983632,41.4276169721,29.3023140616,42.1998823439
