Time(Iteration),CAB,CAB_original,LinUCB
0,9.00508632877,9.00508632877,9.00508632877
1,18.8277457021,18.8277457021,18.8277457021
2,24.6062768289,24.6636367425,24.6062768289
3,32.0696676507,31.5066395005,31.6158137993
4,40.7077751006,37.7600832569,39.7889346506
5,45.3019624845,43.057285389,45.1313300886
6,50.4447837322,47.7789041524,49.8353641242
7,56.247109417,53.2067571952,55.4905627694
8,60.3863198139,56.802836162,59.4853214398
9,63.153260386,59.5001182004,62.9121891034
10,67.114170886,63.6756579539,66.7053398406
11,69.9624423631,66.4179579766,70.1515174512
12,73.8201707009,69.5498285136,73.2505275384
13,77.1163461969,72.3920327471,75.4261725404
14,79.220144264,73.7415786483,77.1306235037
15,81.273535278,75.3797070633,79.5125907622
16,84.2283883404,77.1931868998,82.2835512302
17,86.899217601,78.7752523227,84.4964941778
18,88.3277190931,80.3395410299,85.7732213122
19,89.2633309024,81.4086608366,86.9875282121
20,90.6402519741,82.7216221777,88.0153820099
21,91.9126751857,83.3353525974,89.1726285749
22,93.4959993304,84.6180101706,90.4693935905
23,94.5043069131,85.2529970816,91.3165720417
24,96.3524868221,86.5243318083,93.1024401712
25,97.9125418449,87.6782548695,94.5798885265
26,98.3890388444,88.3564062064,95.1744287079
27,99.9595392609,89.796730733,96.8571424291
28,101.32645015,90.9332402882,97.9903544846
29,102.057540247,91.6827611399,98.9169243548
30,102.655865984,92.1293489513,99.4073064566
31,103.445252458,92.8963233947,100.376086793
32,104.435400517,93.8163890716,101.233536988
33,105.230858683,94.5381722534,101.852229053
34,105.931021273,95.1214057051,102.473595949
35,106.487207778,95.6898543387,103.04532496
36,107.562030651,96.6548764669,104.303026553
37,108.294018118,97.2923647971,105.068932108
38,109.192971058,97.9420098167,105.911780172
39,110.644716403,99.2887356162,107.462299061
40,110.948296048,99.7257887564,108.112510541
41,111.555955496,100.38160518,108.916350599
42,111.949635155,100.705063659,109.832148349
43,112.051718044,100.752222028,110.472832271
44,112.580456311,101.249111582,111.426295287
45,112.851229646,101.65947347,112.033381616
46,113.033877082,101.82025394,112.146337614
47,113.495214616,102.263060725,112.936532273
48,113.873124026,102.640970136,113.430287726
49,114.166841243,102.921811029,113.911481681
50,114.579939885,103.204584758,114.401810908
51,114.678743248,103.300563433,114.652683244
52,114.913898799,103.626263511,115.193161054
53,115.036437624,103.750354829,115.584891632
54,115.179324235,103.841489183,115.897821553
55,115.477175555,104.144540545,116.145917512
56,115.654435073,104.494020058,116.384894181
57,115.842963363,104.678878273,116.774907786
58,116.09951926,104.959555677,117.338289524
59,116.271937303,105.166546452,117.560834424
60,116.399981054,105.283149733,117.868217923
61,116.734724343,105.58545167,118.23709203
62,116.827756455,105.681862638,118.504708896
63,116.847082176,105.690458582,118.711095172
64,116.933346013,105.71957524,118.754514179
65,117.143161188,106.067022441,119.167987484
66,117.470560117,106.39442137,119.88932184
67,117.521320843,106.445182096,120.279890769
68,117.61539547,106.515981111,120.376232013
69,117.761163216,106.661748857,120.830919449
70,117.973072655,106.871984978,121.048992823
71,118.190735901,107.089648224,121.51349159
72,118.226325377,107.167042663,121.583091373
73,118.28155773,107.222275016,121.832773282
74,118.338492959,107.280267008,122.057943789
75,118.356872634,107.298646683,122.27846108
76,118.412420071,107.397813319,122.440911308
77,118.533565965,107.512682098,122.664505644
78,118.665831527,107.604370253,123.078501756
79,118.804827735,107.681402193,123.245673896
80,119.023366951,107.832826552,123.48087056
81,119.059224044,107.889662736,123.631253775
82,119.180677111,108.058860605,124.017619091
83,119.310103817,108.242035251,124.319399016
84,119.434499151,108.361222441,124.632107457
85,119.473242842,108.380129214,124.89211185
86,119.538717225,108.412733514,124.930235039
87,119.751787306,108.458766527,125.036074938
88,119.979504836,108.676699033,125.348222804
89,120.07820016,108.775394356,125.639714135
90,120.114669755,108.811863951,125.767005459
91,120.1998944,108.915567194,125.767005459
92,120.495696457,109.21136925,125.864986785
93,120.547913194,109.311772855,125.917203522
94,120.816880883,109.591100735,126.097466481
95,120.828413822,109.602633675,126.19175033
96,120.867831828,109.708006579,126.231168336
97,121.190925482,109.919979889,126.60821504
98,121.510298621,110.231394556,126.840393353
99,121.543908013,110.295823374,126.92014811
100,121.855528135,110.598177933,127.26670691
101,121.921567704,110.664217502,127.370529396
102,121.951027081,110.722768675,127.403525353
103,122.028919177,110.756610708,127.437367386
104,122.0615635,110.762602325,127.454154011
105,122.129895713,110.80701553,127.522486223
106,122.151162834,110.828282651,127.543753345
107,122.16360239,110.85505687,127.650700004
108,122.181643159,110.925842684,127.690135031
109,122.215660655,110.925842684,127.802372983
110,122.287231997,111.021882464,127.848575233
111,122.299534686,111.067131772,127.941745346
112,122.309181705,111.07677879,127.960727173
113,122.482684288,111.275837558,128.054714315
114,122.720408924,111.503682373,128.234378385
115,122.829622965,111.589287906,128.343592425
116,123.156612588,111.925779123,128.595478525
117,123.164051209,111.929524838,128.602917146
118,123.24103756,112.019189034,128.692756024
119,123.255161962,112.033313436,128.708099353
120,123.255161962,112.048322321,128.708099353
121,123.27207859,112.066444653,128.733192949
122,123.342743935,112.138675472,128.803858294
123,123.377444014,112.182465795,128.858731699
124,123.458915439,112.281605949,128.932746328
125,123.740638671,112.563329181,129.21446956
126,123.925990982,112.751592722,129.39766683
127,124.053471133,112.775939262,129.478892995
128,124.082317569,112.809123349,129.507739431
129,124.15354244,112.880348219,129.578964302
130,124.15354244,112.880348219,129.578964302
131,124.15354244,112.880348219,129.578964302
132,124.169381781,112.896187561,129.607861054
133,124.544834216,113.239540565,129.891440889
134,124.582262439,113.239540565,129.950995685
135,124.694771407,113.352049533,130.063504653
136,124.712607436,113.356241446,130.070809637
137,124.746810108,113.398984193,130.116737191
138,124.760833519,113.413007603,130.130760601
139,124.902559904,113.575643147,130.259916321
140,125.112005256,113.774474602,130.507031761
141,125.200070919,113.866381394,130.590711194
142,125.322872993,113.983795242,130.713513267
143,125.519283512,114.195418641,130.869946914
144,125.628469874,114.298606914,131.034745348
145,125.718954262,114.353165241,131.080404132
146,125.788249851,114.421109104,131.14969972
147,125.868906064,114.501765317,131.23639168
148,125.868906064,114.501890796,131.23639168
149,125.901324614,114.581587293,131.26881023
150,125.909414617,114.589677296,131.276900233
151,125.977891475,114.658154154,131.345377091
152,126.012398488,114.698948564,131.379884104
153,126.166659814,114.776016547,131.492583648
154,126.166659814,114.776016547,131.526106857
155,126.197699107,114.80705584,131.557146151
156,126.274930181,114.884286914,131.634377224
157,126.287950675,114.900849186,131.647397719
158,126.336227527,114.949126038,131.695674571
159,126.352001055,114.949126038,131.695674571
160,126.412402955,114.990391447,131.752167745
161,126.541216705,115.137834332,131.914686312
162,126.619161033,115.227491337,131.99705779
163,126.943638156,115.573519024,132.164669036
164,127.095490747,115.710984966,132.323694741
165,127.101040718,115.716534936,132.329244711
166,127.201817353,115.817311572,132.430021347
167,127.237749211,115.830712411,132.453075225
168,127.32273001,115.92297524,132.499395582
169,127.407910709,116.00815594,132.584576281
170,127.455308218,116.055553448,132.659595299
171,127.679698623,116.233331641,132.820137806
172,127.842110974,116.390590566,132.972598941
173,127.842110974,116.390590566,132.972598941
174,127.939155896,116.459777388,133.069643864
175,128.174530696,116.679045198,133.265562325
176,128.197155221,116.684818152,133.282413896
177,128.197155221,116.684818152,133.282413896
