Time(Iteration),CABDiff,CAB
0,7.03189948153,7.03189948153
1,12.1917469079,12.1917469079
2,17.5325198608,17.5325198608
3,22.2617700665,22.2617700665
4,25.022150665,25.022150665
5,28.5307633852,28.5307633852
6,30.5670036456,30.5670036456
7,32.4025273435,32.4025273435
8,34.6919413547,34.6919413547
9,36.6600273067,36.6600273067
10,39.1359580138,39.1359580138
11,39.7590530215,39.7590530215
12,40.7978358366,40.7978358366
13,42.290431076,42.290431076
14,42.9496719004,42.9496719004
15,43.5085663014,43.5085663014
16,43.8307776737,43.8307776737
17,44.6323880313,44.6323880313
18,45.4749192292,45.4749192292
19,46.1914393098,46.1914393098
20,47.2600757936,47.2600757936
21,47.9656727457,47.9656727457
22,48.5419596777,48.5419596777
23,49.1839332826,49.1839332826
24,49.6580166146,49.6580166146
25,50.4390430006,50.4390430006
26,51.1956668901,51.1956668901
27,51.5064466076,51.5064466076
28,51.987765333,51.987765333
29,52.4076921659,52.4076921659
30,52.8260518568,52.8260518568
31,53.4090970648,53.4090970648
32,53.6229066183,53.6229066183
33,53.8123993193,53.8123993193
34,53.9184711579,53.9184711579
35,54.3609591095,54.3609591095
36,54.7880233792,54.7880233792
37,54.9885914382,54.9885914382
38,55.0944974202,55.0944974202
39,55.266003661,55.266003661
40,55.6648371309,55.6648371309
41,55.674663752,55.674663752
42,55.7233029383,55.7233029383
43,56.0661495379,56.0661495379
44,56.1033364181,56.1033364181
45,56.4955815878,56.4955815878
46,56.7815417143,56.7815417143
47,57.0927116413,57.0927116413
48,57.3527443914,57.3527443914
49,57.5043794055,57.5043794055
50,57.7715950327,57.7715950327
51,57.9797459102,57.9797459102
52,58.2875583147,58.2875583147
53,58.4448748345,58.4448748345
54,58.5095290838,58.5095290838
55,58.7829160057,58.7829160057
56,58.8748141779,58.8748141779
57,59.2931948682,59.2931948682
58,59.5133810614,59.5133810614
59,59.5156438771,59.5156438771
60,59.577749152,59.577749152
61,60.0284145165,60.0284145165
62,60.1721177727,60.1721177727
63,60.2109156501,60.2109156501
64,60.2404466709,60.2404466709
65,60.3343077029,60.3343077029
66,60.3913061537,60.3913061537
67,60.6221781701,60.6221781701
68,60.6822137908,60.6822137908
69,60.6822137908,60.6822137908
70,60.7150761454,60.7150761454
71,60.8638771894,60.8638771894
72,60.8638771894,60.8638771894
73,61.0999663968,61.0999663968
74,61.1362187165,61.1362187165
75,61.1535944001,61.1535944001
76,61.2118401361,61.2118401361
77,61.2997124041,61.2997124041
78,61.3981136807,61.3981136807
79,61.4524532281,61.4524532281
