Time(Iteration),CAB_idealNew,CAB_original,CAB_optimal,LinUCB
0,8.37541924248,6.03146023734,8.37541924248,8.02712904718
1,14.6086081105,12.2991001202,11.9190728751,14.4958273757
2,18.8169427955,16.3171722172,14.2439740264,18.6231293285
3,22.3828214667,21.8453603542,17.0810177751,22.9061911507
4,25.4028839213,25.9531966049,20.0873139875,25.7972609245
5,28.2884984846,30.1822540532,22.6314431068,29.0473665235
6,31.5807504163,33.0061070558,23.8481019493,31.9193511827
7,33.6229572687,35.6600389242,25.9755344284,34.6007362371
8,36.4513550322,37.7379323898,27.0215070947,37.5888723359
9,39.7449304794,40.703658205,28.0125937081,40.7935389538
10,41.2365761946,42.4742735868,28.9969216181,42.3247534023
11,43.0119820269,44.3436058499,29.6552049084,43.3180496061
12,44.7940622295,45.6179921148,30.4467021362,45.1021160074
13,46.5761792896,47.4247215861,31.7473004611,47.2132085171
14,47.9375980399,49.4943526476,31.9705931229,48.1826508385
15,48.9699891612,51.6737949417,32.5922445124,49.1310194429
16,50.1836475182,53.0409633674,33.2929829876,50.2593008975
17,51.5534828638,54.011171273,33.8735306878,51.3493374644
18,53.2702434316,55.9962897948,34.9249801898,53.126517498
19,54.3424496911,57.4951845786,35.5429912906,54.1251874925
20,55.5029152813,59.0722144416,36.0733560636,55.3608240493
21,56.8591660779,60.0948758149,36.7645386864,56.466530581
22,58.9377590005,61.3426276761,37.2745856763,58.1487519768
23,60.3084825972,62.6534427982,37.9610751142,59.4585962047
24,61.3088084168,63.4038913797,38.6712501925,60.7959450541
25,62.2882992209,65.137673364,39.0540317259,62.5344522732
26,63.1097800107,65.7148721157,39.4283363606,63.2336061683
27,64.0433848222,67.0215424938,39.4758907089,64.1633060087
28,64.7508416527,67.5341440698,39.7900540294,64.993502063
29,65.6801059191,68.0882891393,39.7955240439,66.0443390875
30,66.9705204446,69.2117884639,40.2245428705,67.2279344041
31,68.1633072977,70.0150663344,40.3755650529,67.7598615076
32,69.2605424066,70.8978557222,40.3848145015,68.4517986738
33,70.1612021117,71.6719664553,40.6224794232,69.3390095245
34,70.5761530058,72.045434102,40.8947942018,69.8593539305
35,71.6242270374,72.8476292483,41.0312503303,70.6065386456
36,72.2545531807,73.5267332291,41.2208289917,70.9604598214
37,72.5565449928,74.1439214244,41.3919833014,71.6654711812
38,73.6143986913,74.6433616742,41.4564671842,73.0110617096
39,74.2623234066,74.8524333493,41.57501348,73.3825298043
40,74.5641640398,75.2942317822,41.7112847088,73.7374993143
41,75.0539138366,75.9521593936,41.8696516013,74.4090475436
42,75.8732469372,76.6149846847,42.1114882036,75.0596047924
43,76.7539865301,77.6935094532,42.2516374086,75.886008357
44,77.0878423827,78.1346128186,42.3319970615,76.442859315
45,77.830867051,79.0760534279,42.5601404909,77.0866552551
46,78.3227517639,79.7907016593,42.6338918259,77.9169243444
47,78.5296089328,80.8253844948,42.704670107,78.2632036844
48,79.4832752563,81.1478860104,42.8592879806,78.6950847075
49,79.8019998415,81.4892521783,42.9150704242,79.4258104779
50,79.9863947369,81.7565463327,43.0053413871,79.7209775114
51,80.3505009399,82.5203018516,43.408697445,80.2236598299
52,80.5781812283,83.1238657069,43.5936068895,80.6963914602
53,80.7051009488,83.894175377,43.8745335561,81.2516838401
54,80.9851473784,84.4702684865,44.0806314666,81.7993683794
55,81.1454497354,84.9944013021,44.2042309635,82.2561403589
56,81.2646555445,85.820162116,44.5086976188,82.8341310101
57,81.6309783804,86.1083557056,44.5763322993,83.8228816451
58,81.7913438765,86.6671049229,44.7767956346,84.0797730159
59,81.9351029296,86.9344479538,44.9257830569,84.5669731546
60,82.1233214912,87.3239756394,45.0745206397,85.1752398338
61,82.3527363555,87.6788142858,45.151854641,85.7282879967
62,82.6857271428,88.0779502226,45.1780796545,86.4122715726
63,82.7813022024,88.2378415057,45.2969568513,86.6849654353
64,83.0477735218,88.5673131129,45.4190168813,86.847559558
65,83.1496028927,88.7512077534,45.5280897444,87.2288378142
66,83.3432070317,88.8611395963,45.5736166583,87.6108849039
67,83.4286642083,89.1599559377,45.5891733374,88.2271517429
68,83.6056272065,89.486728302,45.7714046623,88.748195018
69,83.6878862838,89.7129425556,45.7957495624,89.0316543114
70,83.8802006946,90.2686597579,46.0429159341,89.76007923
71,83.9595581,90.8859772354,46.1287317462,89.818751937
72,84.3517781423,91.4126815086,46.1852915592,90.1850474483
73,84.444002015,91.612482172,46.2103381549,90.41214933
74,84.579614115,91.8225199546,46.2640578599,90.8476798285
75,84.7911267707,91.9594846875,46.4631310973,91.1336391699
76,85.0662579379,92.2307067962,46.5627841264,91.4933689323
77,85.111209106,92.526614071,46.6990680033,91.8581661434
78,85.1931804038,92.7093169877,46.8024156982,92.0194739788
79,85.3682929307,92.8330807727,46.9498260285,92.2190020831
80,85.7207723946,93.0720743364,46.9765562568,92.6946118711
81,85.7465146808,93.5272731281,47.0205028597,93.1384866826
82,85.7683450405,93.8515088014,47.1137457677,93.1841388362
83,85.9249795965,94.0969815971,47.1184176087,93.521272414
84,86.1715750373,94.662178442,47.3124871461,94.1221440979
85,86.2108897042,94.7752885308,47.3876796492,94.3797703891
86,86.2630016964,94.9586710348,47.4816014734,94.8109504147
87,86.3382716283,95.1706429515,47.5552694662,95.070525568
88,86.4806910038,95.4351921919,47.6084726875,95.4266668398
89,86.6731945377,95.8325595509,47.6564650404,95.6823465812
90,86.7550745009,96.1680111239,47.7058433965,95.8379926891
91,86.8126608752,96.2254978859,47.7845821459,96.2132392235
92,86.8779525344,96.531676536,47.8417503738,96.4849439518
93,86.9457283175,96.8325376685,47.8838579182,96.7679119719
94,87.1639512636,97.015725811,48.1789310958,97.2337380238
95,87.3744300853,97.211797681,48.3081402777,97.4712147062
96,87.4177881393,97.2875454006,48.4150697258,97.96755452
97,87.5241104483,97.5581256629,48.5211004243,98.7097951855
98,87.5421526303,97.6414326315,48.5414599601,98.9925904037
99,87.625366642,97.9292830601,48.61737129,99.3112171214
100,87.684429506,98.1036539641,48.6538959507,99.7844718961
101,87.7962113368,98.5725989047,48.714351295,100.161913288
102,87.9219767331,98.983704287,48.7316997496,100.516269125
103,87.9934696321,99.2560206458,48.7797707476,100.551533741
104,88.1165148071,99.3544826912,48.8623317911,100.717637944
105,88.1712722205,99.5064645494,48.9381995509,101.212202748
106,88.3278829893,99.6834539695,49.0263779464,101.530397308
107,88.3899956701,100.160422687,49.0500576753,101.833910843
108,88.5216088202,100.433917497,49.107670357,102.189426222
109,88.63211192,100.63282733,49.223991648,102.416160467
110,88.6455212404,100.668058446,49.2374009684,102.677458373
111,88.7581841018,100.813830603,49.2393616658,103.024401909
112,88.9311429143,100.825524765,49.4295029588,103.297264011
113,89.1016125841,101.120300159,49.5701852771,103.655710711
114,89.2008632276,101.277599202,49.5840156651,103.777512046
115,89.28022644,101.581503349,49.6007383696,103.955918149
116,89.4504171386,101.814438855,49.6917055832,104.116841843
117,89.5060047474,102.19026033,49.8051093729,104.506067198
118,89.6405197879,102.734304671,49.8811725125,104.92211835
119,89.7508460359,102.932751562,49.9958563708,105.340028162
120,89.7582219656,103.054489364,50.0384174799,105.528147695
121,89.7714612255,103.391862651,50.1062183254,105.683929987
122,89.8783721439,103.644214628,50.2602798189,105.861015394
123,90.0238213087,103.771589499,50.3792733401,105.882465489
124,90.0438199562,103.92577627,50.4239800205,106.005947983
125,90.0469306883,104.502355874,50.4270907526,106.221209457
126,90.1056083855,104.676765053,50.5045709174,106.30254663
127,90.2576501303,104.849359012,50.5356614626,106.57216686
128,90.3105334024,105.192857697,50.5788128919,106.599604586
129,90.4367788353,105.365868697,50.6148623383,106.818027302
130,90.6545749042,105.595164073,50.7580741804,107.159718859
131,90.6684132933,105.728569445,50.7982246272,107.374140316
132,90.9312867093,105.905684854,50.8535586369,107.625280322
133,91.0885288784,106.158655012,50.9635375501,108.006542297
134,91.1632562732,106.42666842,51.0349771591,108.140349681
135,91.1904457003,106.647138514,51.0621665861,108.376261413
136,91.2288512353,106.941818261,51.0814369226,108.520243978
137,91.489877185,106.941818261,51.1407176215,108.87112784
138,91.5867176416,107.283313922,51.2183849287,109.292846828
139,91.6552566272,107.368134243,51.2263752412,109.416623964
140,91.7490087567,107.899547628,51.3549961177,109.677929497
141,91.810143374,107.995988144,51.3549961177,109.810841153
142,91.9134771908,108.256516336,51.3719144012,109.971205026
143,91.943743279,108.478698172,51.4021804895,110.253423015
144,92.1277397736,108.708618575,51.4021804895,110.68959833
145,92.1449743615,108.877239439,51.4021804895,110.853811653
146,92.2108694912,109.041081899,51.434125783,111.036902898
147,92.2302266794,109.145554548,51.4408718877,111.15522306
148,92.3321258416,109.259037583,51.517110083,111.449393278
149,92.3791047495,109.41329314,51.619858779,111.75389025
150,92.49065447,109.613629712,51.7170635599,111.847682302
151,92.4953947038,109.881692704,51.7471720936,112.230034754
152,92.5701872959,110.124491165,51.7823385856,112.586665216
153,92.6856916552,110.364840045,51.785830506,112.814994735
154,92.7322383471,110.461367429,51.8381928894,112.947941842
155,92.8878294298,110.605144256,51.8592577317,113.055781656
156,92.9699154864,110.802853473,51.9046529502,113.242797807
157,93.0331560017,111.07484392,51.9178239165,113.466313496
158,93.0522807762,111.26580503,51.9655400327,113.569499854
159,93.0662202567,111.353253254,51.9889962764,113.692271292
160,93.1290550229,111.655294654,52.0909231218,113.907193341
161,93.2323754988,111.834769014,52.1492450175,114.156571318
162,93.2791603656,111.962633692,52.1828753131,114.457103788
163,93.3175508809,112.000749021,52.1885950086,114.635352197
164,93.3735614961,112.220170516,52.2535433934,114.962994945
165,93.4449472796,112.640487834,52.4932469504,115.287971765
166,93.5876648036,112.910151543,52.4984347507,115.357751527
167,93.6225883348,112.940648389,52.5307186432,115.45844265
168,93.6836981571,113.051519758,52.5852041947,115.528833936
169,93.896930771,113.220795814,52.6176037231,115.847360676
170,93.9621452845,113.29866899,52.6550199366,116.0378256
171,94.001064422,113.493229855,52.6979802583,116.231130623
172,94.0598045142,113.631956985,52.7304536375,116.478861293
173,94.1304941958,113.890866667,52.7931937679,116.720677052
174,94.1376077883,113.963971531,52.7984729499,116.839012254
175,94.1376077883,114.184835261,52.860173431,116.973111449
176,94.1901240124,114.293936906,52.9040567436,117.181326455
177,94.2500752076,114.486049008,52.9771149779,117.479629233
178,94.3205466304,114.572244895,53.0444011916,117.589670538
179,94.4259200918,114.708712571,53.0680711792,117.690493982
180,94.4381156334,114.828660803,53.0802667207,117.764703843
181,94.4639973169,114.923804003,53.1041193875,117.968362698
182,94.4861483824,115.072359155,53.1369211305,118.056593901
183,94.5812482902,115.37072269,53.1900117737,118.176426772
184,94.6026744086,115.437405575,53.2484310979,118.19785289
185,94.649305696,115.711238028,53.2906558031,118.30866847
186,94.6820553392,115.776697436,53.2999493497,118.381122311
187,94.6820553392,115.824734986,53.3053349158,118.54538257
188,94.7401809451,115.863686276,53.3559308904,118.66515927
189,94.8042241437,116.11697352,53.4080063458,118.731657137
190,94.813535362,116.360286129,53.4285949615,118.792605258
191,94.8249552678,116.487959827,53.4547952628,118.901573132
192,94.8311057896,116.693000575,53.4625553725,118.971995664
193,94.8417403855,116.894483704,53.4793450856,119.082540558
194,94.8503078543,117.004180458,53.4879125544,119.145915886
195,94.9493906756,117.161539584,53.5154785683,119.241531139
196,95.04562265,117.293427184,53.5488813895,119.440315287
197,95.127724342,117.364941812,53.6545356282,119.571278627
198,95.1396615918,117.415793986,53.6848381967,119.648160815
199,95.1396615918,117.470474282,53.6848381967,119.85939839
