Time(Iteration),CAB_original,CAB_cbj+cbij
0,8.17310118235,6.41799055479
1,14.2338411207,11.8154976771
2,17.0569692645,17.1950878869
3,20.6995591698,22.111738766
4,24.0076340128,26.6618022283
5,27.3138817918,30.3699310341
6,29.6790758505,33.0092659912
7,31.66662903,36.0519810118
8,33.9552190884,37.8100955371
9,35.5740250133,39.404969687
10,36.6963956904,41.667401345
11,37.7677718634,43.7416379055
12,38.3632479234,45.4972670861
13,39.2292470366,47.3469948849
14,40.3922332859,48.5088449082
15,41.0284810936,49.2792087786
16,41.7063370978,50.3837990094
17,42.5165884564,51.2052909872
18,43.1038593746,52.0159898825
19,43.5556177368,53.3303057065
20,43.9770200093,53.9358781255
21,44.5434532808,54.5973078874
22,44.7002845515,55.0550220404
23,44.7797111839,55.4741390279
24,45.2119281959,55.8220017469
25,45.459766312,56.0951697892
26,45.8015501762,56.5270070871
27,45.9738070727,57.3351064572
28,46.4114155275,57.7809516338
29,46.5314019452,58.2722225034
30,46.8176554297,58.9643907529
31,47.1339855987,59.5173965736
32,47.2760587895,60.0862418816
33,47.2869351045,60.4006375812
34,47.4095391922,60.9222171623
35,47.6429855855,61.0455311973
36,47.8411525883,61.4060947907
37,48.2440374598,61.8724069021
38,48.4553279748,62.1878017979
39,48.8969143529,62.4515007898
40,49.1323169746,62.8240994539
41,49.2115868296,63.0938809331
42,49.6091035027,63.5569048262
43,49.821021347,63.7671196791
44,49.9964743548,63.9555104914
45,50.029185555,64.0702028777
46,50.0708064958,64.1659581192
47,50.1556089315,64.3723900295
48,50.2967494806,64.4797722011
49,50.4702108068,65.091990776
50,50.6097399671,65.472318117
51,50.611686139,65.4917915637
52,50.9165948439,65.9051145596
53,51.062011728,66.0734841077
54,51.1394806152,66.2166488198
55,51.2944981474,66.5376352744
56,51.2944981474,66.6299476736
57,51.4411789766,66.6548195851
58,51.5586251226,66.8461391815
59,51.6817049597,66.9045447265
60,51.9170037736,67.0410277206
61,52.0492869862,67.157975986
