Time(Iteration),CAB_originalCoTheta,CAB_decreaseCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.97471860366,0.965584500472,0.965584500472,0.965613391938,,,,,,
1,0.952393699257,0.942151819765,0.942151819765,0.939414139608,,,,,,
2,0.93807362398,0.927295385824,0.927295385824,0.912361038647,,,,,,
3,0.909723698613,0.901520146962,0.901520146962,0.891178802295,,,,,,
4,0.895020745633,0.884545821363,0.884545821363,0.870563778058,,,,,,
5,0.870879868544,0.859186665711,0.859186665711,0.857892624654,,,,,,
6,0.858023913332,0.838631948552,0.838631948552,0.837871299281,,,,,,
7,0.846193229413,0.824071178164,0.824071178164,0.825253704196,,,,,,
8,0.823062018613,0.800338426876,0.800338426876,0.798488357728,,,,,,
9,0.80290908232,0.778090604797,0.778090604797,0.777062044237,,,,,,
10,0.779097189321,0.766809743669,0.766809743669,0.763324707674,,,,,,
11,0.770271647339,0.756181210298,0.756181210298,0.754859490255,,,,,,
12,0.760464911618,0.742442169947,0.742442169947,0.740658133421,,,,,,
13,0.750066321357,0.734362118707,0.734362118707,0.729807065335,,,,,,
14,0.732075874017,0.723988142162,0.723988142162,0.713541160161,,,,,,
15,0.714221527587,0.711561529003,0.711561529003,0.705381060809,,,,,,
16,0.6992896267,0.695145944949,0.695145944949,0.697446040977,,,,,,
17,0.692665802291,0.679758121749,0.679758121749,0.685968487955,,,,,,
18,0.678079082533,0.664552525368,0.664552525368,0.670340015703,,,,,,
19,0.668561552397,0.652552231818,0.652552231818,0.665297225304,,,,,,
20,0.655303372128,0.639026808413,0.639026808413,0.65209959792,,,,,,
21,0.649866715408,0.630763773397,0.630763773397,0.645606265206,,,,,,
22,0.644151492181,0.62298121825,0.62298121825,0.634859505024,,,,,,
23,0.635319135926,0.614053283015,0.614053283015,0.626512100332,,,,,,
24,0.626775374063,0.605715275717,0.605715275717,0.617761902469,,,,,,
25,0.614981966998,0.59830959321,0.59830959321,0.607676886949,,,,,,
26,0.609796387974,0.595311047237,0.595311047237,0.601625776348,,,,,,
27,0.600213736698,0.583895183883,0.583895183883,0.586568475403,,,,,,
28,0.595077540038,0.577414955143,0.577414955143,0.579030136103,,,,,,
29,0.589211354957,0.569589256874,0.569589256874,0.572060991582,,,,,,
30,0.586321273844,0.562072592135,0.562072592135,0.564867459695,,,,,,
31,0.58250100687,0.55861821814,0.55861821814,0.561567346099,,,,,,
32,0.574751197173,0.554308357553,0.554308357553,0.553084267032,,,,,,
33,0.568997539516,0.545396166535,0.545396166535,0.545572156706,,,,,,
34,0.560130567065,0.535274123509,0.535274123509,0.539977498052,,,,,,
35,0.557259034742,0.529289904696,0.529289904696,0.531046570563,,,,,,
36,0.55116995005,0.519964299443,0.519964299443,0.520573648284,,,,,,
37,0.545371531739,0.511350969742,0.511350969742,0.512515454042,,,,,,
38,0.535461287143,0.498559311726,0.498559311726,0.506502775613,,,,,,
39,0.531637955671,0.494649536496,0.494649536496,0.503007958578,,,,,,
40,0.527985230477,0.489881240298,0.489881240298,0.49775693863,,,,,,
41,0.525111854685,0.484914499327,0.484914499327,0.493624960529,,,,,,
42,0.518782821583,0.484446085125,0.484446085125,0.492664860156,,,,,,
43,0.515307080461,0.479454355324,0.479454355324,0.489606406498,,,,,,
44,0.507291940873,0.474690620746,0.474690620746,0.483582174843,,,,,,
45,0.503081782509,0.467791760054,0.467791760054,0.479985064519,,,,,,
46,0.498975009001,0.460590633017,0.460590633017,0.477115257111,,,,,,
47,0.495060734861,0.451885752407,0.451885752407,0.471663072387,,,,,,
48,0.48954168816,0.444724466782,0.444724466782,0.466565331634,,,,,,
49,0.480018377998,0.43889720069,0.43889720069,0.460254842045,,,,,,
50,0.47749283996,0.43220203855,0.43220203855,0.454761637151,,,,,,
51,0.475122505356,0.427291627474,0.427291627474,0.45116136918,,,,,,
