Time(Iteration),LinUCBCoTheta,CAB_originalCoTheta,CAB_noupdateCoTheta,,,,,,
0,0.980539198558,0.986073796395,0.982260744295,,,,,,
1,0.968841837149,0.971775153789,0.969435014829,,,,,,
2,0.957553097478,0.965009820278,0.95785808385,,,,,,
3,0.937639526986,0.943029873797,0.937989876253,,,,,,
4,0.924772294808,0.916461011871,0.920000468317,,,,,,
5,0.91967695279,0.911888637165,0.911727745965,,,,,,
6,0.902844034587,0.901708326845,0.89273041961,,,,,,
7,0.905085652303,0.903037660315,0.895290095169,,,,,,
8,0.897939778184,0.89092869239,0.884516450465,,,,,,
9,0.885666165848,0.870531315976,0.872463313539,,,,,,
10,0.867636484912,0.862658454507,0.850959869006,,,,,,
11,0.856698682832,0.848791043112,0.844747530136,,,,,,
12,0.837978016853,0.838654787034,0.81896383168,,,,,,
13,0.830461460523,0.831991918755,0.810798919141,,,,,,
14,0.831354504411,0.829376935844,0.8119874065,,,,,,
15,0.819946391387,0.823781029073,0.799194753122,,,,,,
16,0.814633319537,0.808768315726,0.794500581035,,,,,,
17,0.808974455787,0.801760329314,0.788974515251,,,,,,
18,0.790548747067,0.804831110616,0.775982436145,,,,,,
19,0.778966443741,0.79788337473,0.767323655524,,,,,,
20,0.786364212772,0.798858458326,0.774481370156,,,,,,
21,0.773874833287,0.78824594927,0.763278856565,,,,,,
22,0.76475920814,0.790214214587,0.753421704088,,,,,,
23,0.755901319205,0.785496862142,0.745485548511,,,,,,
24,0.755993488412,0.782822019267,0.748514523255,,,,,,
25,0.749314565391,0.774750838854,0.736056897616,,,,,,
26,0.748557569989,0.763845313725,0.732902361848,,,,,,
27,0.742995273695,0.759823873891,0.728249768109,,,,,,
28,0.733443915795,0.755192463167,0.715957654313,,,,,,
29,0.720863797017,0.749299369427,0.703376604887,,,,,,
30,0.72176024595,0.745838677604,0.709246187705,,,,,,
31,0.716897643243,0.73951858581,0.705097766282,,,,,,
32,0.70758091511,0.72650882182,0.69407717538,,,,,,
33,0.700949583296,0.725353854373,0.689267754882,,,,,,
34,0.699972192799,0.719008910166,0.685241396319,,,,,,
35,0.699122849802,0.715850415578,0.68272554308,,,,,,
36,0.697535771123,0.71341251165,0.680825928359,,,,,,
37,0.692959287128,0.708034500829,0.670833873787,,,,,,
38,0.691510077829,0.70286815869,0.671093952236,,,,,,
39,0.681002673561,0.695190191824,0.668143145544,,,,,,
40,0.681920353394,0.697199349916,0.66944542419,,,,,,
41,0.684591540973,0.700038134755,0.667567206354,,,,,,
42,0.676465268327,0.690098312657,0.65925932649,,,,,,
43,0.673697290527,0.68502615774,0.652805237298,,,,,,
44,0.6709084103,0.680526477345,0.645375254423,,,,,,
45,0.663671550431,0.67685479415,0.643579049227,,,,,,
46,0.658469874427,0.673054528308,0.639572695207,,,,,,
47,0.657337581624,0.671853637753,0.636917575968,,,,,,
48,0.645288190987,0.661142968211,0.625151023415,,,,,,
49,0.645759187251,0.6602713117,0.623995115428,,,,,,
50,0.641542796078,0.65973717643,0.614293429012,,,,,,
51,0.639038628068,0.660644468443,0.616305664934,,,,,,
52,0.637785229168,0.662973581275,0.612420295901,,,,,,
53,0.636933378357,0.658812016749,0.611512988381,,,,,,
54,0.630369969973,0.657707889055,0.602909917011,,,,,,
55,0.621931278545,0.649108727048,0.594473384378,,,,,,
56,0.621744489782,0.641921775694,0.593637065903,,,,,,
57,0.624782302869,0.639004670567,0.590953056895,,,,,,
58,0.624065972968,0.630379584149,0.589279716109,,,,,,
59,0.621153114183,0.632140085125,0.584556483653,,,,,,
60,0.611838576912,0.625588476057,0.581950352991,,,,,,
61,0.608852814391,0.623371921438,0.582215433159,,,,,,
62,0.607436692226,0.617460648344,0.57508693998,,,,,,
63,0.605452020536,0.615939866619,0.572234013472,,,,,,
64,0.601840495717,0.612576535199,0.569570099917,,,,,,
65,0.606385342479,0.610327594652,0.577858562897,,,,,,
66,0.607416199875,0.608986605225,0.576703761794,,,,,,
67,0.605117809573,0.6072744416,0.574506936755,,,,,,
68,0.603357187501,0.604792780995,0.570576281573,,,,,,
69,0.605743898958,0.604721223253,0.573860173922,,,,,,
70,0.600141093369,0.601741283322,0.572013270978,,,,,,
71,0.590276917628,0.599877424198,0.566020417666,,,,,,
72,0.587945740546,0.596259821865,0.569893599378,,,,,,
73,0.584843297853,0.590806393725,0.565117544414,,,,,,
74,0.583504862584,0.59105530573,0.561469599041,,,,,,
75,0.583770935007,0.593368371232,0.56169198448,,,,,,
76,0.583848653026,0.590859174363,0.564451267685,,,,,,
77,0.585797783047,0.591032920262,0.559693876476,,,,,,
78,0.585817190622,0.585714807048,0.55513928206,,,,,,
79,0.576635875348,0.579529302174,0.547528282559,,,,,,
80,0.574093197065,0.571363469163,0.547545622255,,,,,,
81,0.572042013416,0.567225158402,0.543205238103,,,,,,
82,0.570054115049,0.565814546706,0.540894196339,,,,,,
83,0.568638083307,0.565518671944,0.541163890936,,,,,,
84,0.568345355852,0.564174408988,0.541882436656,,,,,,
85,0.565891916764,0.565524132297,0.541374036756,,,,,,
86,0.560295556169,0.563984057687,0.54026179693,,,,,,
87,0.5567055273,0.554590323769,0.538381572762,,,,,,
88,0.556541808599,0.552089164236,0.533100953045,,,,,,
89,0.552508404267,0.547767818648,0.532932155076,,,,,,
90,0.546389057324,0.546725643281,0.527515906869,,,,,,
91,0.545759582874,0.547582667578,0.528085345809,,,,,,
92,0.547202823541,0.547171126346,0.527303556144,,,,,,
93,0.543781031706,0.545201752404,0.524814564422,,,,,,
